rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Chad,TCD,6.5,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Chad,TCD,21.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Chad,TCD,0.689790276164435,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Chad,TCD,0.00125341,per 100 people,2019.0
6,Social issues ,Press freedom score,C4_Restrictions on gatherings,Chad,TCD,39.7,score,2020.0
8,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Chad,TCD,5.71,score,2018.0
9,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Chad,TCD,106.43382055499453,score,2020.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Chad,TCD,1015.759,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Chad,TCD,-1.41773,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Chad,TCD,21.6130009,Percentage of total employment,2020.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Chad,TCD,15.4135,Rate (risk-weighted prevalence),2019.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Chad,TCD,7.615,percent change,2020.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Chad,TCD,0.7,percent,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Chad,TCD,142.0,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Chad,TCD,50.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Chad,TCD,0.398,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Chad,TCD,70.6689987,Percentage of total population,2020.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Chad,TCD,0.029464,percent,2019.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Chad,TCD,17.0,score,2021.0
24,Social issues ,Net migration,C4_Restrictions on gatherings,Chad,TCD,10000.0,net total / data are 5 year estimates,2019.0
25,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Chad,TCD,15.43209877,proportion,2020.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Chad,TCD,41.0,percent,2019.0
27,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Chad,TCD,0.260355,percent,2019.0
28,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Chad,TCD,0.2322,Ones,2017.0
29,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Chad,TCD,48.0648,per 100 people,2019.0
30,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Chad,TCD,-1.340024,score,2019.0
31,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Chad,TCD,1839.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Chad,TCD,14.0,score,2021.0
37,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Chad,TCD,5.59,score,2018.0
38,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Chad,TCD,-1.283358,score,2019.0
41,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Chad,TCD,35.0,percent,2020.0
42,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Chad,TCD,0.0434,Ones,2017.0
44,Health,"Prevalence of HIV, total (% of population ages 15-49)",C4_Restrictions on gatherings,Chad,TCD,1.2,percent,2019.0
46,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Chad,TCD,102.0,"Number (cumulative total by Dec 26,2020)",2020.0
48,Environment,Access to electricity ,C4_Restrictions on gatherings,Chad,TCD,11.7593555450439,percent of population,2018.0
49,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Chad,TCD,0.069756,metric tons per capita,2016.0
50,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Chad,TCD,1.94299996,percent of total labor force,2020.0
51,Social issues ,Life Ladder ,C4_Restrictions on gatherings,Chad,TCD,4.355400085449219,score,2021.0
53,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Chad,TCD,-1.119248,score,2019.0
54,Health,Prevalence of down syndrome,C4_Restrictions on gatherings,Chad,TCD,0.000164,percent,2019.0
56,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Chad,TCD,0.03288,percent,2019.0
57,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Chad,TCD,6524.0,number,2019.0
58,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Chad,TCD,89.357395570733,percent of total final energy consumption,2015.0
59,Economics,Volume of exports,C4_Restrictions on gatherings,Chad,TCD,15.532,percent change,2020.0
60,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Chad,TCD,-1.420567,score,2019.0
64,Health,Prevalence of obesity,C4_Restrictions on gatherings,Chad,TCD,6.1,percent,2016.0
65,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Chad,TCD,3.4,percent,2020.0
68,Governance,Personal Freedom Score ,C4_Restrictions on gatherings,Chad,TCD,5.47,score,2018.0
69,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Chad,TCD,3.0,score,2021.0
70,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Chad,TCD,0.000605,percent,2019.0
71,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Chad,TCD,0.001418,percent,2019.0
74,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Chad,TCD,0.031601,percent,2019.0
76,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Chad,TCD,0.016921,percent,2019.0
