rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Turkmenistan,TKM,21.251,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Turkmenistan,TKM,19.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Turkmenistan,TKM,20.02662699935999,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0868407,per 100 people,2019.0
6,Social issues ,Press freedom score,C4_Restrictions on gatherings,Turkmenistan,TKM,85.44,score,2020.0
9,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Turkmenistan,TKM,69.05814193586684,score,2020.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Turkmenistan,TKM,70630.09,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-2.131469,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Turkmenistan,TKM,37.901001,Percentage of total employment,2020.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Turkmenistan,TKM,36.7436,Rate (risk-weighted prevalence),2019.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Turkmenistan,TKM,13.399,percent change,2020.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Turkmenistan,TKM,1.2,percent,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Turkmenistan,TKM,45.0,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Turkmenistan,TKM,99.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Turkmenistan,TKM,0.715,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Turkmenistan,TKM,64.3619995,Percentage of total population,2020.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Turkmenistan,TKM,0.024608,percent,2019.0
22,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,kWh,2015.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Turkmenistan,TKM,2.0,score,2021.0
24,Social issues ,Net migration,C4_Restrictions on gatherings,Turkmenistan,TKM,-25001.0,net total / data are 5 year estimates,2019.0
25,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Turkmenistan,TKM,25.0,proportion,2020.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Turkmenistan,TKM,99.0,percent,2019.0
27,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Turkmenistan,TKM,0.260769,percent,2019.0
28,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Turkmenistan,TKM,4.4273,Ones,2014.0
29,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Turkmenistan,TKM,162.861,per 100 people,2019.0
30,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-0.093641,score,2019.0
31,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Turkmenistan,TKM,2.0,score,2021.0
35,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Turkmenistan,TKM,100.0,percent of total,2015.0
36,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Turkmenistan,TKM,4893.409616107925,kg of oil equivalent per capita,2014.0
38,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Turkmenistan,TKM,-1.414785,score,2019.0
39,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,percent of total,2015.0
40,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Turkmenistan,TKM,-191.5113367678815,percent of energy use,2014.0
41,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Turkmenistan,TKM,7.6,percent,2020.0
42,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Turkmenistan,TKM,2.2247,Ones,2014.0
43,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,percent of total,2015.0
46,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
48,Environment,Access to electricity ,C4_Restrictions on gatherings,Turkmenistan,TKM,100.0,percent of population,2018.0
