rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Uganda,UGA,23.7065,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Uganda,UGA,27.0,score,2020.0
3,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Uganda,UGA,-0.3742244,score,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Uganda,UGA,0.0275667,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Uganda,UGA,30071.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Uganda,UGA,11.00673,Rate (risk-weighted prevalence),2019.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Uganda,UGA,21.97896822817033,per 1 million people,2019.0
8,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Uganda,UGA,6.58,score,2018.0
11,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Uganda,UGA,-1.165626,score,2019.0
12,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Uganda,UGA,4.0,percent,2020.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Uganda,UGA,57.2726,per 100 people,2019.0
14,Social issues ,Press freedom score,C4_Restrictions on gatherings,Uganda,UGA,40.95,score,2020.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Uganda,UGA,230.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Uganda,UGA,20.9360008,Percentage of total employment,2020.0
17,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Uganda,UGA,27.9,percent,2020.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Uganda,UGA,34.8583878,proportion,2020.0
19,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Uganda,UGA,50.49432,micrograms per cubic meter,2017.0
20,Health,Prevalence of obesity,C4_Restrictions on gatherings,Uganda,UGA,5.3,percent,2016.0
23,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Uganda,UGA,0.029795,percent,2019.0
25,Social issues ,Net migration,C4_Restrictions on gatherings,Uganda,UGA,843469.0,net total / data are 5 year estimates,2019.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Uganda,UGA,87.0,percent,2019.0
27,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Uganda,UGA,0.168,Ones,2017.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Uganda,UGA,10.524460278,"proportion, pero 100,000 people",2018.0
30,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Uganda,UGA,200.0,Cases,2019.0
32,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Uganda,UGA,1.0,percent,2018.0
33,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Uganda,UGA,92.7703684743757,score,2020.0
34,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Uganda,UGA,0.035064,percent,2019.0
35,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Uganda,UGA,0.044787,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Uganda,UGA,11.0,score,2021.0
37,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Uganda,UGA,-0.5852001,score,2019.0
38,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Uganda,UGA,-5.40918641336909,percent of GNI,2018.0
40,Economics,Volume of imports,C4_Restrictions on gatherings,Uganda,UGA,10.77,percent change,2020.0
41,Health,"Prevalence of HIV, total (% of population ages 15-49)",C4_Restrictions on gatherings,Uganda,UGA,5.8,percent,2019.0
42,Governance,Human Development Index,C4_Restrictions on gatherings,Uganda,UGA,0.544,index,2019.0
43,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Uganda,UGA,5680.183,kt,2016.0
44,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Uganda,UGA,0.019377,percent,2019.0
46,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Uganda,UGA,186902.0,number,2019.0
47,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Uganda,UGA,-0.6457884,score,2019.0
48,Social issues ,Proportion of women in managerial positions (%),C4_Restrictions on gatherings,Uganda,UGA,31.76,percent,2017.0
49,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Uganda,UGA,34.0,score,2021.0
50,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Uganda,UGA,0.143267,metric tons per capita,2016.0
52,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Uganda,UGA,23.0,score,2021.0
54,Environment,Access to electricity ,C4_Restrictions on gatherings,Uganda,UGA,42.65,percent of population,2018.0
55,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Uganda,UGA,0.395223,percent,2019.0
57,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Uganda,UGA,1.91900003,percent of total labor force,2020.0
58,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Uganda,UGA,93.0,percent,2019.0
60,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Uganda,UGA,67.1230011,Percentage of females of the total population,2020.0
