rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Bosnia and Herzegovina,BIH,69.9463,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C5_Close public transport,Bosnia and Herzegovina,BIH,790620.0,number,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Bosnia and Herzegovina,BIH,104881.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Bosnia and Herzegovina,BIH,0.226067,percent,2019.0
5,Environment,Electricity production from oil sources,C5_Close public transport,Bosnia and Herzegovina,BIH,0.3135197389468296,percent of total,2015.0
6,Governance,Rule of law estimate ,C5_Close public transport,Bosnia and Herzegovina,BIH,-0.2335416,score,2019.0
7,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Bosnia and Herzegovina,BIH,52.598999,Percentage of total employment,2020.0
8,Environment,Fossil fuel energy consumption,C5_Close public transport,Bosnia and Herzegovina,BIH,77.52204,percent of total,2014.0
9,Demographics,Fixed broadband subscriptions,C5_Close public transport,Bosnia and Herzegovina,BIH,22.5958,per 100 people,2019.0
10,Governance,Control of corruption estimate,C5_Close public transport,Bosnia and Herzegovina,BIH,-0.6131452,score,2019.0
11,Governance,Voice and accountability estimate,C5_Close public transport,Bosnia and Herzegovina,BIH,-0.1992863,score,2019.0
12,Governance,Economic Freedom Score,C5_Close public transport,Bosnia and Herzegovina,BIH,6.9,score,2018.0
13,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Bosnia and Herzegovina,BIH,6.451938,metric tons per capita,2016.0
14,Governance,Corruption Perceptions Index,C5_Close public transport,Bosnia and Herzegovina,BIH,35.0,score,2020.0
15,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Bosnia and Herzegovina,BIH,12.8,percent,2020.0
16,Environment,Electricity production from coal sources ,C5_Close public transport,Bosnia and Herzegovina,BIH,63.9772218312112,percent of total,2015.0
17,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Bosnia and Herzegovina,BIH,21.42857143,proportion,2020.0
18,Social issues ,Net migration,C5_Close public transport,Bosnia and Herzegovina,BIH,-107926.0,net total / data are 5 year estimates,2019.0
19,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Bosnia and Herzegovina,BIH,68.0,percent,2019.0
20,Health,Prevalence of obesity,C5_Close public transport,Bosnia and Herzegovina,BIH,17.9,percent,2016.0
22,Economics,Volume of imports,C5_Close public transport,Bosnia and Herzegovina,BIH,7.616,percent change,2020.0
23,Environment,"Energy imports, net ",C5_Close public transport,Bosnia and Herzegovina,BIH,22.73008923303759,percent of energy use,2014.0
24,Health,Prevalence of down syndrome,C5_Close public transport,Bosnia and Herzegovina,BIH,0.000148,percent,2019.0
25,Environment,Combustible renewables and waste,C5_Close public transport,Bosnia and Herzegovina,BIH,17.82021,percent of total energy,2014.0
26,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Bosnia and Herzegovina,BIH,9.1,percent,2020.0
27,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Bosnia and Herzegovina,BIH,27.0,Cases,2019.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C5_Close public transport,Bosnia and Herzegovina,BIH,1.1733102602,"proportion, pero 100,000 people",2018.0
29,Health,"Physicians (per 1,000 people)",C5_Close public transport,Bosnia and Herzegovina,BIH,2.1616,Ones,2015.0
30,Health,Prevalence of anxiety disorders,C5_Close public transport,Bosnia and Herzegovina,BIH,0.042006,percent,2019.0
31,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Bosnia and Herzegovina,BIH,34.0,score,2021.0
32,Social issues ,Life Ladder ,C5_Close public transport,Bosnia and Herzegovina,BIH,5.8130998611450195,score,2021.0
33,Demographics,Secure Internet servers ,C5_Close public transport,Bosnia and Herzegovina,BIH,2656.164798545895,per 1 million people,2019.0
34,Health,Mortality due to COVID-19,C5_Close public transport,Bosnia and Herzegovina,BIH,3583.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Economics,Volume of exports,C5_Close public transport,Bosnia and Herzegovina,BIH,6.006,percent change,2020.0
37,Social issues ,Press freedom score,C5_Close public transport,Bosnia and Herzegovina,BIH,28.51,score,2020.0
39,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C5_Close public transport,Bosnia and Herzegovina,BIH,46.1380005,Percentage of total population,2020.0
40,Environment,Electric power consumption ,C5_Close public transport,Bosnia and Herzegovina,BIH,3446.766667509069,kWh per capita,2014.0
41,Health,Prevalence of total cancers,C5_Close public transport,Bosnia and Herzegovina,BIH,0.017833,percent,2019.0
43,Health,Prevalence of chronic kidney disease,C5_Close public transport,Bosnia and Herzegovina,BIH,0.122278,percent,2019.0
44,Environment,Energy use ,C5_Close public transport,Bosnia and Herzegovina,BIH,185.7423830661979,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
45,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Bosnia and Herzegovina,BIH,-0.4004397,score,2019.0
46,Environment,CO2 emissions (kt),C5_Close public transport,Bosnia and Herzegovina,BIH,21847.99,kt,2016.0
48,Governance,Personal Freedom Score ,C5_Close public transport,Bosnia and Herzegovina,BIH,7.78,score,2018.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Bosnia and Herzegovina,BIH,73.0,percent,2019.0
50,Environment,Access to electricity ,C5_Close public transport,Bosnia and Herzegovina,BIH,100.0,percent of population,2018.0
53,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C5_Close public transport,Bosnia and Herzegovina,BIH,99.9552350286901,percent of total,2017.0
55,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Bosnia and Herzegovina,BIH,19.0,score,2021.0
56,Environment,Renewable energy consumption ,C5_Close public transport,Bosnia and Herzegovina,BIH,40.7500602307998,percent of total final energy consumption,2015.0
60,Health,Prevalence of Depressive disorders,C5_Close public transport,Bosnia and Herzegovina,BIH,0.036675,percent,2019.0
61,Social issues ,Proportion of women in managerial positions (%),C5_Close public transport,Bosnia and Herzegovina,BIH,24.32,percent,2019.0
62,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Bosnia and Herzegovina,BIH,27.74767,micrograms per cubic meter,2017.0
63,Governance,Human Freedom Score ,C5_Close public transport,Bosnia and Herzegovina,BIH,7.34,score,2018.0
64,Demographics,Mobile cellular subscriptions,C5_Close public transport,Bosnia and Herzegovina,BIH,111.907,per 100 people,2019.0
66,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C5_Close public transport,Bosnia and Herzegovina,BIH,6.2,percent,2018.0
67,Governance,Human Development Index,C5_Close public transport,Bosnia and Herzegovina,BIH,0.78,index,2019.0
69,Governance,Total freedom in the world score ,C5_Close public transport,Bosnia and Herzegovina,BIH,53.0,score,2021.0
