rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Iran (Islamic Republic of),IRN,70.0046,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C5_Close public transport,Iran (Islamic Republic of),IRN,25.0,score,2020.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Iran (Islamic Republic of),IRN,1145651.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,Iran (Islamic Republic of),IRN,1035.073658211205,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,Iran (Islamic Republic of),IRN,53273.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,Net migration,C5_Close public transport,Iran (Islamic Republic of),IRN,-274998.0,net total / data are 5 year estimates,2019.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Iran (Islamic Republic of),IRN,6.0,score,2021.0
9,Social issues ,Life Ladder ,C5_Close public transport,Iran (Islamic Republic of),IRN,4.721199989318848,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,Iran (Islamic Republic of),IRN,0.078518,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,Iran (Islamic Republic of),IRN,10.4038,per 100 people,2019.0
12,Social issues ,Gini index (World Bank estimate),C5_Close public transport,Iran (Islamic Republic of),IRN,40.8,index ,2017.0
13,Health,Summary exposure value tobacco,C5_Close public transport,Iran (Islamic Republic of),IRN,23.79375,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,Iran (Islamic Republic of),IRN,0.066478,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Iran (Islamic Republic of),IRN,10.0,score,2021.0
16,Health,"Physicians (per 1,000 people)",C5_Close public transport,Iran (Islamic Republic of),IRN,1.5844,Ones,2018.0
17,Environment,CO2 emissions (kt),C5_Close public transport,Iran (Islamic Republic of),IRN,661710.2,kt,2016.0
18,Environment,Electricity production from coal sources ,C5_Close public transport,Iran (Islamic Republic of),IRN,0.1646278235275253,percent of total,2015.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Iran (Islamic Republic of),IRN,0.319627,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,Iran (Islamic Republic of),IRN,0.913005056748309,percent of total final energy consumption,2015.0
21,Environment,"Energy imports, net ",C5_Close public transport,Iran (Islamic Republic of),IRN,-33.39527219269894,percent of energy use,2014.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Iran (Islamic Republic of),IRN,13.0,Cases,2019.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Iran (Islamic Republic of),IRN,5.797101449,proportion,2020.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Iran (Islamic Republic of),IRN,38.97876,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Iran (Islamic Republic of),IRN,2.6286,Ones,2017.0
28,Environment,Electric power consumption ,C5_Close public transport,Iran (Islamic Republic of),IRN,3022.122562985995,kWh per capita,2014.0
