rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Italy,ITA,74.3872,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C5_Close public transport,Italy,ITA,53.0,score,2020.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Italy,ITA,1921778.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,Italy,ITA,15168.84742419059,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,Italy,ITA,67894.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,Net migration,C5_Close public transport,Italy,ITA,744713.0,net total / data are 5 year estimates,2019.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Italy,ITA,36.0,score,2021.0
9,Social issues ,Life Ladder ,C5_Close public transport,Italy,ITA,6.483099937438965,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,Italy,ITA,0.061518,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,Italy,ITA,28.6977,per 100 people,2019.0
12,Social issues ,Gini index (World Bank estimate),C5_Close public transport,Italy,ITA,35.9,index ,2017.0
13,Health,Summary exposure value tobacco,C5_Close public transport,Italy,ITA,24.1109,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,Italy,ITA,0.119063,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Italy,ITA,54.0,score,2021.0
16,Health,"Physicians (per 1,000 people)",C5_Close public transport,Italy,ITA,3.9774,Ones,2018.0
17,Environment,CO2 emissions (kt),C5_Close public transport,Italy,ITA,320411.5,kt,2014.0
18,Environment,Electricity production from coal sources ,C5_Close public transport,Italy,ITA,16.12007302121735,percent of total,2015.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Italy,ITA,0.135809,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,Italy,ITA,16.5168505774397,percent of total final energy consumption,2015.0
21,Environment,"Energy imports, net ",C5_Close public transport,Italy,ITA,76.4179821065515,percent of energy use,2015.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Italy,ITA,7.1,Cases,2019.0
23,Environment,"Adjusted net savings, including particulate emission damage",C5_Close public transport,Italy,ITA,6.35496645087684,percent of GNI,2018.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Italy,ITA,35.71428571,proportion,2020.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Italy,ITA,16.75071,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Italy,ITA,5.7401,Ones,2018.0
