rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Jordan,JOR,66.7903,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C5_Close public transport,Jordan,JOR,49.0,score,2020.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Jordan,JOR,271514.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,Jordan,JOR,108.1006809352966,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,Jordan,JOR,3518.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,Net migration,C5_Close public transport,Jordan,JOR,51099.0,net total / data are 5 year estimates,2019.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Jordan,JOR,11.0,score,2021.0
9,Social issues ,Life Ladder ,C5_Close public transport,Jordan,JOR,4.394599914550781,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,Jordan,JOR,0.053733,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,Jordan,JOR,4.65247,per 100 people,2019.0
13,Health,Summary exposure value tobacco,C5_Close public transport,Jordan,JOR,37.85658,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,Jordan,JOR,0.057381,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Jordan,JOR,23.0,score,2021.0
16,Health,"Physicians (per 1,000 people)",C5_Close public transport,Jordan,JOR,2.3237,Ones,2017.0
17,Environment,CO2 emissions (kt),C5_Close public transport,Jordan,JOR,25107.95,kt,2016.0
18,Environment,Electricity production from coal sources ,C5_Close public transport,Jordan,JOR,0.0,percent of total,2015.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Jordan,JOR,0.068178,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,Jordan,JOR,3.22917004202291,percent of total final energy consumption,2015.0
21,Environment,"Energy imports, net ",C5_Close public transport,Jordan,JOR,96.81229729348095,percent of energy use,2014.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Jordan,JOR,5.5,Cases,2019.0
23,Environment,"Adjusted net savings, including particulate emission damage",C5_Close public transport,Jordan,JOR,3.29239824018849,percent of GNI,2018.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Jordan,JOR,15.38461538,proportion,2020.0
25,Economics,"Central government debt, total",C5_Close public transport,Jordan,JOR,74.0718607324365,percent of GDP,2016.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Jordan,JOR,33.00608,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Jordan,JOR,2.8212,Ones,2018.0
28,Environment,Electric power consumption ,C5_Close public transport,Jordan,JOR,1864.675855480166,kWh per capita,2014.0
29,Demographics,Mobile cellular subscriptions,C5_Close public transport,Jordan,JOR,77.0046,per 100 people,2019.0
30,Health,Prevalence of chronic kidney disease,C5_Close public transport,Jordan,JOR,0.078386,percent,2019.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Jordan,JOR,72.5999985,Percentage of total employment,2020.0
32,Environment,Electricity production from oil sources,C5_Close public transport,Jordan,JOR,50.58903965499106,percent of total,2015.0
34,Economics,Volume of imports,C5_Close public transport,Jordan,JOR,2.242,percent change,2020.0
35,Health,Prevalence of total cancers,C5_Close public transport,Jordan,JOR,0.005894,percent,2019.0
36,Governance,Rule of law estimate ,C5_Close public transport,Jordan,JOR,0.1439575,score,2019.0
37,Health,Prevalence of down syndrome,C5_Close public transport,Jordan,JOR,0.000408,percent,2019.0
39,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Jordan,JOR,-0.3578623,score,2019.0
41,Health,Prevalence of Hypertensive heart disease,C5_Close public transport,Jordan,JOR,0.003102,percent,2019.0
42,Health,Prevalence of Depressive disorders,C5_Close public transport,Jordan,JOR,0.041946,percent,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C5_Close public transport,Jordan,JOR,14.6129999,percent of total labor force,2020.0
45,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C5_Close public transport,Jordan,JOR,100.0,percent of total,2017.0
46,Environment,Energy use (kg of oil equivalent per capita),C5_Close public transport,Jordan,JOR,916.9928326626906,kg of oil equivalent per capita,2014.0
48,Governance,Personal Freedom Score ,C5_Close public transport,Jordan,JOR,6.21,score,2018.0
50,Governance,Regulatory quality estimate,C5_Close public transport,Jordan,JOR,0.0346094,score,2019.0
51,Health,Prevalence of obesity,C5_Close public transport,Jordan,JOR,35.5,percent,2016.0
52,Governance,Government effectiveness estimate,C5_Close public transport,Jordan,JOR,0.0994703,score,2019.0
53,Governance,Voice and accountability estimate,C5_Close public transport,Jordan,JOR,-0.6650451,score,2019.0
54,Governance,Human Freedom Score ,C5_Close public transport,Jordan,JOR,6.92,score,2018.0
55,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Jordan,JOR,89.0,percent,2019.0
56,Social issues ,Press freedom score,C5_Close public transport,Jordan,JOR,42.08,score,2020.0
57,Governance,Economic Freedom Score,C5_Close public transport,Jordan,JOR,7.62,score,2018.0
58,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C5_Close public transport,Jordan,JOR,39.1899986,Percentage of total population,2020.0
59,Environment,Energy use ,C5_Close public transport,Jordan,JOR,89.1733987991687,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
60,Governance,Human Development Index,C5_Close public transport,Jordan,JOR,0.729,index,2019.0
62,Governance,Total freedom in the world score ,C5_Close public transport,Jordan,JOR,34.0,score,2021.0
64,Governance,Control of corruption estimate,C5_Close public transport,Jordan,JOR,0.1279795,score,2019.0
65,Environment,"Electricity production from oil, gas and coal sources",C5_Close public transport,Jordan,JOR,99.03229199537184,percent of total,2015.0
67,Social issues ,"Intentional homicides (per 100,000 people)",C5_Close public transport,Jordan,JOR,1.3591066275,"proportion, pero 100,000 people",2017.0
68,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C5_Close public transport,Jordan,JOR,14.4040003,Percentage of females of the total population,2020.0
71,Demographics,Fixed telephone subscriptions,C5_Close public transport,Jordan,JOR,356046.0,number,2019.0
72,Environment,"Electricity production from renewable sources, excluding hydroelectric",C5_Close public transport,Jordan,JOR,131000000.0,kWh,2015.0
73,Environment,Fossil fuel energy consumption,C5_Close public transport,Jordan,JOR,97.60845,percent of total,2014.0
75,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Jordan,JOR,7.3,percent,2020.0
76,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Jordan,JOR,87.0,percent,2019.0
79,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C5_Close public transport,Jordan,JOR,3.8,percent,2018.0
81,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Jordan,JOR,2.628701,metric tons per capita,2016.0
82,Governance,Fragile States Index Total ,C5_Close public transport,Jordan,JOR,75.42853052941282,score,2020.0
85,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Jordan,JOR,7.1,percent,2020.0
88,Economics,Volume of exports,C5_Close public transport,Jordan,JOR,4.933,percent change,2020.0
98,Environment,Electricity production from nuclear sources ,C5_Close public transport,Jordan,JOR,0.0,percent of total,2014.0
112,Environment,Combustible renewables and waste,C5_Close public transport,Jordan,JOR,0.061775,percent of total energy,2014.0
117,Environment,Access to electricity ,C5_Close public transport,Jordan,JOR,99.9,percent of population,2018.0
