rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Japan,JPN,84.5881,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C5_Close public transport,Japan,JPN,74.0,score,2020.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Japan,JPN,193031.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,Japan,JPN,18701.35263448566,per 1 million people,2019.0
5,Economics,Stock market capitalization (US$ million),C5_Close public transport,Japan,JPN,6191073290000.0,US Dollar,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,Japan,JPN,2828.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,Net migration,C5_Close public transport,Japan,JPN,357800.0,net total / data are 5 year estimates,2019.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Japan,JPN,40.0,score,2021.0
9,Social issues ,Life Ladder ,C5_Close public transport,Japan,JPN,5.940499782562256,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,Japan,JPN,0.025458,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,Japan,JPN,32.162,per 100 people,2019.0
13,Health,Summary exposure value tobacco,C5_Close public transport,Japan,JPN,23.29695,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,Japan,JPN,0.076043,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Japan,JPN,56.0,score,2021.0
16,Health,"Physicians (per 1,000 people)",C5_Close public transport,Japan,JPN,2.4115,Ones,2016.0
17,Environment,CO2 emissions (kt),C5_Close public transport,Japan,JPN,1135886.0,kt,2016.0
18,Environment,Electricity production from coal sources ,C5_Close public transport,Japan,JPN,33.15273562543347,percent of total,2015.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Japan,JPN,0.222438,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,Japan,JPN,6.29735708059289,percent of total final energy consumption,2015.0
21,Environment,"Energy imports, net ",C5_Close public transport,Japan,JPN,93.01912813954318,percent of energy use,2015.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Japan,JPN,13.0,Cases,2019.0
23,Environment,"Adjusted net savings, including particulate emission damage",C5_Close public transport,Japan,JPN,7.30820946012523,percent of GNI,2018.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Japan,JPN,9.892473118,proportion,2020.0
25,Economics,"Central government debt, total",C5_Close public transport,Japan,JPN,196.5816940447835,percent of GDP,2016.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Japan,JPN,11.70478,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Japan,JPN,12.1531,Ones,2018.0
28,Environment,Electric power consumption ,C5_Close public transport,Japan,JPN,7819.714635909362,kWh per capita,2014.0
29,Demographics,Mobile cellular subscriptions,C5_Close public transport,Japan,JPN,139.201,per 100 people,2019.0
30,Health,Prevalence of chronic kidney disease,C5_Close public transport,Japan,JPN,0.201751,percent,2019.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Japan,JPN,72.5739975,Percentage of total employment,2020.0
32,Environment,Electricity production from oil sources,C5_Close public transport,Japan,JPN,7.519420129705795,percent of total,2015.0
33,Social issues ,Proportion of women in managerial positions (%),C5_Close public transport,Japan,JPN,14.93,percent,2018.0
34,Economics,Volume of imports,C5_Close public transport,Japan,JPN,1.678,percent change,2020.0
35,Health,Prevalence of total cancers,C5_Close public transport,Japan,JPN,0.035415,percent,2019.0
36,Governance,Rule of law estimate ,C5_Close public transport,Japan,JPN,1.537965,score,2019.0
37,Health,Prevalence of down syndrome,C5_Close public transport,Japan,JPN,0.000365,percent,2019.0
39,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Japan,JPN,1.041225,score,2019.0
40,Economics,Expenditure on education (% of GDP),C5_Close public transport,Japan,JPN,2.53911,percent,2018.0
41,Health,Prevalence of Hypertensive heart disease,C5_Close public transport,Japan,JPN,0.002715,percent,2019.0
42,Health,Prevalence of Depressive disorders,C5_Close public transport,Japan,JPN,0.026608,percent,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C5_Close public transport,Japan,JPN,2.33899999,percent of total labor force,2020.0
44,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C5_Close public transport,Japan,JPN,76078.2,international $ in PPP,2020.0
45,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C5_Close public transport,Japan,JPN,76.7615082281987,percent of total,2017.0
46,Environment,Energy use (kg of oil equivalent per capita),C5_Close public transport,Japan,JPN,3428.557216004279,kg of oil equivalent per capita,2015.0
47,Governance,Serious assault (rate),C5_Close public transport,Japan,JPN,19.07,rate,2016.0
48,Governance,Personal Freedom Score ,C5_Close public transport,Japan,JPN,9.1,score,2018.0
50,Governance,Regulatory quality estimate,C5_Close public transport,Japan,JPN,1.326957,score,2019.0
51,Health,Prevalence of obesity,C5_Close public transport,Japan,JPN,4.3,percent,2016.0
52,Governance,Government effectiveness estimate,C5_Close public transport,Japan,JPN,1.586664,score,2019.0
53,Governance,Voice and accountability estimate,C5_Close public transport,Japan,JPN,0.9595044,score,2019.0
54,Governance,Human Freedom Score ,C5_Close public transport,Japan,JPN,8.49,score,2018.0
55,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Japan,JPN,98.0,percent,2019.0
56,Social issues ,Press freedom score,C5_Close public transport,Japan,JPN,28.86,score,2020.0
57,Governance,Economic Freedom Score,C5_Close public transport,Japan,JPN,7.88,score,2018.0
