rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Liberia,LBR,7.98448,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C5_Close public transport,Liberia,LBR,8000.0,number,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Liberia,LBR,1779.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Liberia,LBR,0.245765,percent,2019.0
6,Governance,Rule of law estimate ,C5_Close public transport,Liberia,LBR,-0.9952112,score,2019.0
7,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Liberia,LBR,46.8610001,Percentage of total employment,2020.0
9,Demographics,Fixed broadband subscriptions,C5_Close public transport,Liberia,LBR,0.191399,per 100 people,2019.0
10,Governance,Control of corruption estimate,C5_Close public transport,Liberia,LBR,-0.8775807,score,2019.0
11,Governance,Voice and accountability estimate,C5_Close public transport,Liberia,LBR,-0.0283429,score,2019.0
12,Governance,Economic Freedom Score,C5_Close public transport,Liberia,LBR,6.28,score,2018.0
13,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Liberia,LBR,0.3022,metric tons per capita,2016.0
14,Governance,Corruption Perceptions Index,C5_Close public transport,Liberia,LBR,28.0,score,2020.0
15,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Liberia,LBR,4.7,percent,2020.0
17,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Liberia,LBR,12.32876712,proportion,2020.0
18,Social issues ,Net migration,C5_Close public transport,Liberia,LBR,-25000.0,net total / data are 5 year estimates,2019.0
19,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Liberia,LBR,85.0,percent,2019.0
20,Health,Prevalence of obesity,C5_Close public transport,Liberia,LBR,9.9,percent,2016.0
22,Economics,Volume of imports,C5_Close public transport,Liberia,LBR,1.161,percent change,2020.0
24,Health,Prevalence of down syndrome,C5_Close public transport,Liberia,LBR,0.000147,percent,2019.0
26,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Liberia,LBR,28.0,percent,2020.0
