rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Marshall Islands,MHL,38.7012,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C5_Close public transport,Marshall Islands,MHL,2361.0,number,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Marshall Islands,MHL,4.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Marshall Islands,MHL,0.436263,percent,2019.0
6,Governance,Rule of law estimate ,C5_Close public transport,Marshall Islands,MHL,-0.0330941,score,2019.0
9,Demographics,Fixed broadband subscriptions,C5_Close public transport,Marshall Islands,MHL,1.72242,per 100 people,2019.0
10,Governance,Control of corruption estimate,C5_Close public transport,Marshall Islands,MHL,-0.0434163,score,2019.0
11,Governance,Voice and accountability estimate,C5_Close public transport,Marshall Islands,MHL,1.136616,score,2019.0
13,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Marshall Islands,MHL,2.477059,metric tons per capita,2016.0
15,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Marshall Islands,MHL,4.2,percent,2020.0
17,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Marshall Islands,MHL,6.060606061,proportion,2020.0
19,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Marshall Islands,MHL,85.0,percent,2019.0
20,Health,Prevalence of obesity,C5_Close public transport,Marshall Islands,MHL,52.9,percent,2016.0
24,Health,Prevalence of down syndrome,C5_Close public transport,Marshall Islands,MHL,0.000176,percent,2019.0
26,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Marshall Islands,MHL,32.2,percent,2020.0
27,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Marshall Islands,MHL,483.0,Cases,2019.0
30,Health,Prevalence of anxiety disorders,C5_Close public transport,Marshall Islands,MHL,0.040904,percent,2019.0
31,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Marshall Islands,MHL,55.0,score,2021.0
33,Demographics,Secure Internet servers ,C5_Close public transport,Marshall Islands,MHL,340.1881240325901,per 1 million people,2019.0
34,Health,Mortality due to COVID-19,C5_Close public transport,Marshall Islands,MHL,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Economics,Volume of exports,C5_Close public transport,Marshall Islands,MHL,3.404,percent change,2020.0
41,Health,Prevalence of total cancers,C5_Close public transport,Marshall Islands,MHL,0.00506,percent,2019.0
42,Economics,"Foreign direct investment, net",C5_Close public transport,Marshall Islands,MHL,9752050.0,US Dollar,2018.0
43,Health,Prevalence of chronic kidney disease,C5_Close public transport,Marshall Islands,MHL,0.085326,percent,2019.0
45,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Marshall Islands,MHL,0.8625854,score,2019.0
46,Environment,CO2 emissions (kt),C5_Close public transport,Marshall Islands,MHL,143.013,kt,2016.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Marshall Islands,MHL,79.0,percent,2019.0
50,Environment,Access to electricity ,C5_Close public transport,Marshall Islands,MHL,96.3554763793945,percent of population,2018.0
51,Demographics,People with basic handwashing facilities including soap and water (% of population),C5_Close public transport,Marshall Islands,MHL,82.5021672835689,proportion,2017.0
