rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,North Macedonia,MKD,79.1678,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C5_Close public transport,North Macedonia,MKD,35.0,score,2020.0
3,Health,Prevalence of COVID-19,C5_Close public transport,North Macedonia,MKD,77134.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,North Macedonia,MKD,690.1983672344884,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,North Macedonia,MKD,2254.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,Net migration,C5_Close public transport,North Macedonia,MKD,-4999.0,net total / data are 5 year estimates,2019.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,North Macedonia,MKD,27.0,score,2021.0
9,Social issues ,Life Ladder ,C5_Close public transport,North Macedonia,MKD,5.101200103759766,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,North Macedonia,MKD,0.04209,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,North Macedonia,MKD,21.3278,per 100 people,2019.0
12,Social issues ,Gini index (World Bank estimate),C5_Close public transport,North Macedonia,MKD,34.2,index ,2017.0
13,Health,Summary exposure value tobacco,C5_Close public transport,North Macedonia,MKD,38.4296,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,North Macedonia,MKD,0.116386,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,North Macedonia,MKD,39.0,score,2021.0
16,Health,"Physicians (per 1,000 people)",C5_Close public transport,North Macedonia,MKD,2.8736,Ones,2015.0
17,Environment,CO2 emissions (kt),C5_Close public transport,North Macedonia,MKD,7051.641,kt,2016.0
18,Environment,Electricity production from coal sources ,C5_Close public transport,North Macedonia,MKD,58.3599008147361,percent of total,2015.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,North Macedonia,MKD,0.221918,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,North Macedonia,MKD,24.2181297260889,percent of total final energy consumption,2015.0
21,Environment,"Energy imports, net ",C5_Close public transport,North Macedonia,MKD,51.77099873997075,percent of energy use,2014.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,North Macedonia,MKD,12.0,Cases,2019.0
23,Environment,"Adjusted net savings, including particulate emission damage",C5_Close public transport,North Macedonia,MKD,14.648777635903,percent of GNI,2018.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,North Macedonia,MKD,35.83333333,proportion,2020.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,North Macedonia,MKD,29.72694,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,North Macedonia,MKD,3.7917,Ones,2015.0
28,Environment,Electric power consumption ,C5_Close public transport,North Macedonia,MKD,3496.528738674784,kWh per capita,2014.0
