rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Namibia,NAM,51.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C5_Close public transport,Namibia,NAM,51.0,score,2020.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Namibia,NAM,18041.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C5_Close public transport,Namibia,NAM,146.7210256040216,per 1 million people,2019.0
6,Health,Mortality due to COVID-19,C5_Close public transport,Namibia,NAM,169.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Social issues ,Net migration,C5_Close public transport,Namibia,NAM,-24030.0,net total / data are 5 year estimates,2019.0
8,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Namibia,NAM,31.0,score,2021.0
9,Social issues ,Life Ladder ,C5_Close public transport,Namibia,NAM,4.574100017547607,score,2021.0
10,Health,Prevalence of anxiety disorders,C5_Close public transport,Namibia,NAM,0.034737,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C5_Close public transport,Namibia,NAM,2.53811,per 100 people,2019.0
12,Social issues ,Gini index (World Bank estimate),C5_Close public transport,Namibia,NAM,59.1,index ,2015.0
13,Health,Summary exposure value tobacco,C5_Close public transport,Namibia,NAM,14.04101,Rate (risk-weighted prevalence),2019.0
14,Health,Prevalence of Diabetes,C5_Close public transport,Namibia,NAM,0.032395,percent,2019.0
15,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Namibia,NAM,46.0,score,2021.0
16,Health,"Physicians (per 1,000 people)",C5_Close public transport,Namibia,NAM,0.4182,Ones,2018.0
17,Environment,CO2 emissions (kt),C5_Close public transport,Namibia,NAM,4228.051,kt,2016.0
18,Environment,Electricity production from coal sources ,C5_Close public transport,Namibia,NAM,0.4557291666666667,percent of total,2015.0
19,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Namibia,NAM,0.249577,percent,2019.0
20,Environment,Renewable energy consumption ,C5_Close public transport,Namibia,NAM,26.4684298435307,percent of total final energy consumption,2015.0
21,Environment,"Energy imports, net ",C5_Close public transport,Namibia,NAM,74.44166879409099,percent of energy use,2014.0
22,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Namibia,NAM,486.0,Cases,2019.0
23,Environment,"Adjusted net savings, including particulate emission damage",C5_Close public transport,Namibia,NAM,0.0349065450058491,percent of GNI,2018.0
24,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Namibia,NAM,43.26923077,proportion,2020.0
25,Economics,"Central government debt, total",C5_Close public transport,Namibia,NAM,23.89961863587537,percent of GDP,2014.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C5_Close public transport,Namibia,NAM,25.35877,micrograms per cubic meter,2017.0
27,Health,"Nurses and midwives (per 1,000 people)",C5_Close public transport,Namibia,NAM,1.954,Ones,2018.0
28,Environment,Electric power consumption ,C5_Close public transport,Namibia,NAM,1652.569025657267,kWh per capita,2014.0
29,Demographics,Mobile cellular subscriptions,C5_Close public transport,Namibia,NAM,113.165,per 100 people,2019.0
30,Health,Prevalence of chronic kidney disease,C5_Close public transport,Namibia,NAM,0.052431,percent,2019.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Namibia,NAM,61.8230019,Percentage of total employment,2020.0
32,Environment,Electricity production from oil sources,C5_Close public transport,Namibia,NAM,1.7578125,percent of total,2015.0
33,Social issues ,Proportion of women in managerial positions (%),C5_Close public transport,Namibia,NAM,43.57,percent,2018.0
34,Economics,Volume of imports,C5_Close public transport,Namibia,NAM,4.88,percent change,2020.0
35,Health,Prevalence of total cancers,C5_Close public transport,Namibia,NAM,0.003963,percent,2019.0
36,Governance,Rule of law estimate ,C5_Close public transport,Namibia,NAM,0.3099801,score,2019.0
37,Health,Prevalence of down syndrome,C5_Close public transport,Namibia,NAM,0.00025,percent,2019.0
38,Health,"Prevalence of HIV, total (% of population ages 15-49)",C5_Close public transport,Namibia,NAM,11.5,percent,2019.0
39,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Namibia,NAM,0.5339198,score,2019.0
41,Health,Prevalence of Hypertensive heart disease,C5_Close public transport,Namibia,NAM,0.000493,percent,2019.0
42,Health,Prevalence of Depressive disorders,C5_Close public transport,Namibia,NAM,0.032581,percent,2019.0
43,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C5_Close public transport,Namibia,NAM,20.5869999,percent of total labor force,2020.0
45,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C5_Close public transport,Namibia,NAM,100.0,percent of total,2017.0
