rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Niger,NER,5.25049,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C5_Close public transport,Niger,NER,114352.0,number,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Niger,NER,2361.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Niger,NER,0.242059,percent,2019.0
5,Environment,Electricity production from oil sources,C5_Close public transport,Niger,NER,57.6271186440678,percent of total,2015.0
6,Governance,Rule of law estimate ,C5_Close public transport,Niger,NER,-0.5329312,score,2019.0
7,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Niger,NER,17.9769993,Percentage of total employment,2020.0
8,Environment,Fossil fuel energy consumption,C5_Close public transport,Niger,NER,24.06037,percent of total,2014.0
9,Demographics,Fixed broadband subscriptions,C5_Close public transport,Niger,NER,0.0400419,per 100 people,2019.0
10,Governance,Control of corruption estimate,C5_Close public transport,Niger,NER,-0.5541663,score,2019.0
11,Governance,Voice and accountability estimate,C5_Close public transport,Niger,NER,-0.5653689,score,2019.0
12,Governance,Economic Freedom Score,C5_Close public transport,Niger,NER,5.85,score,2018.0
13,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Niger,NER,0.097016,metric tons per capita,2016.0
14,Governance,Corruption Perceptions Index,C5_Close public transport,Niger,NER,32.0,score,2020.0
15,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Niger,NER,1.9,percent,2020.0
16,Environment,Electricity production from coal sources ,C5_Close public transport,Niger,NER,41.6195856873823,percent of total,2015.0
17,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Niger,NER,16.95906433,proportion,2020.0
18,Social issues ,Net migration,C5_Close public transport,Niger,NER,20001.0,net total / data are 5 year estimates,2019.0
19,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Niger,NER,79.0,percent,2019.0
20,Health,Prevalence of obesity,C5_Close public transport,Niger,NER,5.5,percent,2016.0
22,Economics,Volume of imports,C5_Close public transport,Niger,NER,11.803,percent change,2020.0
23,Environment,"Energy imports, net ",C5_Close public transport,Niger,NER,-5.809741917825311,percent of energy use,2014.0
24,Health,Prevalence of down syndrome,C5_Close public transport,Niger,NER,0.000164,percent,2019.0
25,Environment,Combustible renewables and waste,C5_Close public transport,Niger,NER,71.49025,percent of total energy,2014.0
26,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Niger,NER,46.7,percent,2020.0
27,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Niger,NER,84.0,Cases,2019.0
29,Health,"Physicians (per 1,000 people)",C5_Close public transport,Niger,NER,0.0433,Ones,2016.0
30,Health,Prevalence of anxiety disorders,C5_Close public transport,Niger,NER,0.025645,percent,2019.0
31,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Niger,NER,28.0,score,2021.0
32,Social issues ,Life Ladder ,C5_Close public transport,Niger,NER,5.074100017547607,score,2021.0
33,Demographics,Secure Internet servers ,C5_Close public transport,Niger,NER,0.8579745408924608,per 1 million people,2019.0
34,Health,Mortality due to COVID-19,C5_Close public transport,Niger,NER,82.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Economics,Volume of exports,C5_Close public transport,Niger,NER,9.212,percent change,2020.0
36,Health,"Prevalence of HIV, total (% of population ages 15-49)",C5_Close public transport,Niger,NER,0.2,percent,2019.0
37,Social issues ,Press freedom score,C5_Close public transport,Niger,NER,28.25,score,2020.0
39,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C5_Close public transport,Niger,NER,71.8300018,Percentage of total population,2020.0
