rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Panama,PAN,63.6284,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C5_Close public transport,Panama,PAN,741269.0,number,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Panama,PAN,203295.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Panama,PAN,0.265443,percent,2019.0
5,Environment,Electricity production from oil sources,C5_Close public transport,Panama,PAN,27.75835275835276,percent of total,2015.0
6,Governance,Rule of law estimate ,C5_Close public transport,Panama,PAN,-0.119035,score,2019.0
7,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Panama,PAN,67.4940033,Percentage of total employment,2020.0
8,Environment,Fossil fuel energy consumption,C5_Close public transport,Panama,PAN,80.71266,percent of total,2014.0
9,Demographics,Fixed broadband subscriptions,C5_Close public transport,Panama,PAN,13.5281,per 100 people,2019.0
10,Governance,Control of corruption estimate,C5_Close public transport,Panama,PAN,-0.579924,score,2019.0
11,Governance,Voice and accountability estimate,C5_Close public transport,Panama,PAN,0.6217133,score,2019.0
12,Governance,Economic Freedom Score,C5_Close public transport,Panama,PAN,7.8,score,2018.0
13,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Panama,PAN,2.654141,metric tons per capita,2016.0
14,Governance,Corruption Perceptions Index,C5_Close public transport,Panama,PAN,35.0,score,2020.0
15,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Panama,PAN,10.8,percent,2020.0
16,Environment,Electricity production from coal sources ,C5_Close public transport,Panama,PAN,6.915306915306915,percent of total,2015.0
17,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Panama,PAN,22.53521127,proportion,2020.0
18,Social issues ,Net migration,C5_Close public transport,Panama,PAN,56000.0,net total / data are 5 year estimates,2019.0
19,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Panama,PAN,97.0,percent,2019.0
20,Health,Prevalence of obesity,C5_Close public transport,Panama,PAN,22.7,percent,2016.0
21,Health,Hospital beds (per 10 000 population),C5_Close public transport,Panama,PAN,22.5,Ones,2016.0
22,Economics,Volume of imports,C5_Close public transport,Panama,PAN,7.538,percent change,2020.0
23,Environment,"Energy imports, net ",C5_Close public transport,Panama,PAN,80.9045483773801,percent of energy use,2014.0
24,Health,Prevalence of down syndrome,C5_Close public transport,Panama,PAN,0.000247,percent,2019.0
25,Environment,Combustible renewables and waste,C5_Close public transport,Panama,PAN,7.011983,percent of total energy,2014.0
26,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Panama,PAN,14.7,percent,2020.0
27,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Panama,PAN,37.0,Cases,2019.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C5_Close public transport,Panama,PAN,9.3850224618,"proportion, pero 100,000 people",2018.0
29,Health,"Physicians (per 1,000 people)",C5_Close public transport,Panama,PAN,1.5687,Ones,2016.0
30,Health,Prevalence of anxiety disorders,C5_Close public transport,Panama,PAN,0.039188,percent,2019.0
31,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Panama,PAN,48.0,score,2021.0
32,Social issues ,Life Ladder ,C5_Close public transport,Panama,PAN,6.179599761962891,score,2021.0
33,Demographics,Secure Internet servers ,C5_Close public transport,Panama,PAN,1893.115619934727,per 1 million people,2019.0
34,Health,Mortality due to COVID-19,C5_Close public transport,Panama,PAN,3481.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Economics,Volume of exports,C5_Close public transport,Panama,PAN,7.271,percent change,2020.0
37,Social issues ,Press freedom score,C5_Close public transport,Panama,PAN,29.78,score,2020.0
39,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C5_Close public transport,Panama,PAN,66.5429993,Percentage of total population,2020.0
40,Environment,Electric power consumption ,C5_Close public transport,Panama,PAN,2064.175797135069,kWh per capita,2014.0
41,Health,Prevalence of total cancers,C5_Close public transport,Panama,PAN,0.009725,percent,2019.0
43,Health,Prevalence of chronic kidney disease,C5_Close public transport,Panama,PAN,0.117177,percent,2019.0
44,Environment,Energy use ,C5_Close public transport,Panama,PAN,39.47232420109791,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
45,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Panama,PAN,0.3068049,score,2019.0
46,Environment,CO2 emissions (kt),C5_Close public transport,Panama,PAN,10714.97,kt,2016.0
48,Governance,Personal Freedom Score ,C5_Close public transport,Panama,PAN,7.93,score,2018.0
