rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Portugal,PRT,75.3464,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C5_Close public transport,Portugal,PRT,5128710.0,number,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Portugal,PRT,366952.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Portugal,PRT,0.125343,percent,2019.0
5,Environment,Electricity production from oil sources,C5_Close public transport,Portugal,PRT,2.558452448275189,percent of total,2015.0
6,Governance,Rule of law estimate ,C5_Close public transport,Portugal,PRT,1.135677,score,2019.0
7,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Portugal,PRT,69.7509995,Percentage of total employment,2020.0
8,Environment,Fossil fuel energy consumption,C5_Close public transport,Portugal,PRT,77.02412,percent of total,2015.0
9,Demographics,Fixed broadband subscriptions,C5_Close public transport,Portugal,PRT,38.7993,per 100 people,2019.0
10,Governance,Control of corruption estimate,C5_Close public transport,Portugal,PRT,0.7639953,score,2019.0
11,Governance,Voice and accountability estimate,C5_Close public transport,Portugal,PRT,1.238783,score,2019.0
12,Governance,Economic Freedom Score,C5_Close public transport,Portugal,PRT,7.6,score,2018.0
13,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Portugal,PRT,4.720545,metric tons per capita,2016.0
14,Governance,Corruption Perceptions Index,C5_Close public transport,Portugal,PRT,61.0,score,2020.0
15,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Portugal,PRT,8.5,percent,2020.0
16,Environment,Electricity production from coal sources ,C5_Close public transport,Portugal,PRT,28.71823872389384,percent of total,2015.0
17,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Portugal,PRT,40.0,proportion,2020.0
18,Social issues ,Net migration,C5_Close public transport,Portugal,PRT,-30001.0,net total / data are 5 year estimates,2019.0
19,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Portugal,PRT,99.0,percent,2019.0
20,Health,Prevalence of obesity,C5_Close public transport,Portugal,PRT,20.8,percent,2016.0
22,Economics,Volume of imports,C5_Close public transport,Portugal,PRT,4.706,percent change,2020.0
23,Environment,"Energy imports, net ",C5_Close public transport,Portugal,PRT,76.8605636843599,percent of energy use,2015.0
24,Health,Prevalence of down syndrome,C5_Close public transport,Portugal,PRT,0.000492,percent,2019.0
25,Environment,Combustible renewables and waste,C5_Close public transport,Portugal,PRT,10.3586,percent of total energy,2015.0
26,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Portugal,PRT,3.3,percent,2020.0
27,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Portugal,PRT,19.0,Cases,2019.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C5_Close public transport,Portugal,PRT,0.78976680624,"proportion, pero 100,000 people",2018.0
29,Health,"Physicians (per 1,000 people)",C5_Close public transport,Portugal,PRT,5.124,Ones,2017.0
30,Health,Prevalence of anxiety disorders,C5_Close public transport,Portugal,PRT,0.090807,percent,2019.0
31,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Portugal,PRT,57.0,score,2021.0
32,Social issues ,Life Ladder ,C5_Close public transport,Portugal,PRT,5.928999900817871,score,2021.0
33,Demographics,Secure Internet servers ,C5_Close public transport,Portugal,PRT,19182.0041975119,per 1 million people,2019.0
34,Health,Mortality due to COVID-19,C5_Close public transport,Portugal,PRT,5977.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Economics,Volume of exports,C5_Close public transport,Portugal,PRT,4.072,percent change,2020.0
37,Social issues ,Press freedom score,C5_Close public transport,Portugal,PRT,11.83,score,2020.0
39,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C5_Close public transport,Portugal,PRT,58.4220009,Percentage of total population,2020.0
40,Environment,Electric power consumption ,C5_Close public transport,Portugal,PRT,4662.600799802944,kWh per capita,2014.0
41,Health,Prevalence of total cancers,C5_Close public transport,Portugal,PRT,0.034976,percent,2019.0
43,Health,Prevalence of chronic kidney disease,C5_Close public transport,Portugal,PRT,0.115819,percent,2019.0
44,Environment,Energy use ,C5_Close public transport,Portugal,PRT,68.41576372642427,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
45,Governance,Political stability and absence of violence/terrorism estimate,C5_Close public transport,Portugal,PRT,1.128248,score,2019.0
46,Environment,CO2 emissions (kt),C5_Close public transport,Portugal,PRT,48741.76,kt,2016.0
48,Governance,Personal Freedom Score ,C5_Close public transport,Portugal,PRT,8.94,score,2018.0
49,Health,"Immunization, DPT (% of children ages 12-23 months)",C5_Close public transport,Portugal,PRT,99.0,percent,2019.0
50,Environment,Access to electricity ,C5_Close public transport,Portugal,PRT,100.0,percent of population,2018.0
53,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C5_Close public transport,Portugal,PRT,16.0083566266812,percent of total,2017.0
55,Governance,Aggregate score for the Political Rights category,C5_Close public transport,Portugal,PRT,39.0,score,2021.0
56,Environment,Renewable energy consumption ,C5_Close public transport,Portugal,PRT,27.15729838594,percent of total final energy consumption,2015.0
57,Social issues ,Gini index (World Bank estimate),C5_Close public transport,Portugal,PRT,33.8,index ,2017.0
60,Health,Prevalence of Depressive disorders,C5_Close public transport,Portugal,PRT,0.058834,percent,2019.0
