rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Slovakia,SVK,82.8537,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C5_Close public transport,Slovakia,SVK,675297.0,number,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Slovakia,SVK,149275.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Slovakia,SVK,0.195474,percent,2019.0
5,Environment,Electricity production from oil sources,C5_Close public transport,Slovakia,SVK,1.441874436767798,percent of total,2015.0
6,Governance,Rule of law estimate ,C5_Close public transport,Slovakia,SVK,0.5567357,score,2019.0
7,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Slovakia,SVK,61.8339996,Percentage of total employment,2020.0
8,Environment,Fossil fuel energy consumption,C5_Close public transport,Slovakia,SVK,64.0915,percent of total,2015.0
9,Demographics,Fixed broadband subscriptions,C5_Close public transport,Slovakia,SVK,29.0469,per 100 people,2019.0
10,Governance,Control of corruption estimate,C5_Close public transport,Slovakia,SVK,0.3272027,score,2019.0
11,Governance,Voice and accountability estimate,C5_Close public transport,Slovakia,SVK,0.9109987,score,2019.0
12,Governance,Economic Freedom Score,C5_Close public transport,Slovakia,SVK,7.63,score,2018.0
13,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Slovakia,SVK,5.970322,metric tons per capita,2016.0
14,Governance,Corruption Perceptions Index,C5_Close public transport,Slovakia,SVK,49.0,score,2020.0
16,Environment,Electricity production from coal sources ,C5_Close public transport,Slovakia,SVK,12.51126464403725,percent of total,2015.0
17,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Slovakia,SVK,20.0,proportion,2020.0
18,Social issues ,Net migration,C5_Close public transport,Slovakia,SVK,7423.0,net total / data are 5 year estimates,2019.0
19,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Slovakia,SVK,96.0,percent,2019.0
20,Health,Prevalence of obesity,C5_Close public transport,Slovakia,SVK,20.5,percent,2016.0
22,Economics,Volume of imports,C5_Close public transport,Slovakia,SVK,5.189,percent change,2020.0
23,Environment,"Energy imports, net ",C5_Close public transport,Slovakia,SVK,60.65114478134527,percent of energy use,2015.0
24,Health,Prevalence of down syndrome,C5_Close public transport,Slovakia,SVK,0.000134,percent,2019.0
25,Environment,Combustible renewables and waste,C5_Close public transport,Slovakia,SVK,4.673051,percent of total energy,2015.0
27,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Slovakia,SVK,4.5,Cases,2019.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C5_Close public transport,Slovakia,SVK,1.1369852689,"proportion, pero 100,000 people",2018.0
29,Health,"Physicians (per 1,000 people)",C5_Close public transport,Slovakia,SVK,3.4156,Ones,2017.0
