rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Turkmenistan,TKM,21.251,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C5_Close public transport,Turkmenistan,TKM,682000.0,number,2019.0
3,Health,Prevalence of COVID-19,C5_Close public transport,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Prevalence of Respiratory infections and tuberculosis,C5_Close public transport,Turkmenistan,TKM,0.260769,percent,2019.0
5,Environment,Electricity production from oil sources,C5_Close public transport,Turkmenistan,TKM,0.0,percent of total,2015.0
6,Governance,Rule of law estimate ,C5_Close public transport,Turkmenistan,TKM,-1.414785,score,2019.0
7,Economics,Employment in services (% of total employment) (modeled ILO estimate),C5_Close public transport,Turkmenistan,TKM,37.901001,Percentage of total employment,2020.0
9,Demographics,Fixed broadband subscriptions,C5_Close public transport,Turkmenistan,TKM,0.0868407,per 100 people,2019.0
10,Governance,Control of corruption estimate,C5_Close public transport,Turkmenistan,TKM,-1.511905,score,2019.0
11,Governance,Voice and accountability estimate,C5_Close public transport,Turkmenistan,TKM,-2.131469,score,2019.0
13,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Turkmenistan,TKM,12.47359,metric tons per capita,2016.0
14,Governance,Corruption Perceptions Index,C5_Close public transport,Turkmenistan,TKM,19.0,score,2020.0
15,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C5_Close public transport,Turkmenistan,TKM,3.8,percent,2020.0
16,Environment,Electricity production from coal sources ,C5_Close public transport,Turkmenistan,TKM,0.0,percent of total,2015.0
17,Social issues ,Proportion of seats held by women in national parliaments (%),C5_Close public transport,Turkmenistan,TKM,25.0,proportion,2020.0
18,Social issues ,Net migration,C5_Close public transport,Turkmenistan,TKM,-25001.0,net total / data are 5 year estimates,2019.0
19,Health,"Immunization, measles (% of children ages 12-23 months)",C5_Close public transport,Turkmenistan,TKM,99.0,percent,2019.0
20,Health,Prevalence of obesity,C5_Close public transport,Turkmenistan,TKM,18.6,percent,2016.0
22,Economics,Volume of imports,C5_Close public transport,Turkmenistan,TKM,13.399,percent change,2020.0
23,Environment,"Energy imports, net ",C5_Close public transport,Turkmenistan,TKM,-191.5113367678815,percent of energy use,2014.0
24,Health,Prevalence of down syndrome,C5_Close public transport,Turkmenistan,TKM,0.000232,percent,2019.0
25,Environment,Combustible renewables and waste,C5_Close public transport,Turkmenistan,TKM,0.0275,percent of total energy,2014.0
26,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C5_Close public transport,Turkmenistan,TKM,7.6,percent,2020.0
27,Health,"Incidence of tuberculosis (per 100,000 people)",C5_Close public transport,Turkmenistan,TKM,45.0,Cases,2019.0
29,Health,"Physicians (per 1,000 people)",C5_Close public transport,Turkmenistan,TKM,2.2247,Ones,2014.0
30,Health,Prevalence of anxiety disorders,C5_Close public transport,Turkmenistan,TKM,0.024608,percent,2019.0
31,Governance,Aggregate score for the Civil Liberties category,C5_Close public transport,Turkmenistan,TKM,2.0,score,2021.0
32,Social issues ,Life Ladder ,C5_Close public transport,Turkmenistan,TKM,5.066400051116943,score,2021.0
33,Demographics,Secure Internet servers ,C5_Close public transport,Turkmenistan,TKM,20.02662699935999,per 1 million people,2019.0
34,Health,Mortality due to COVID-19,C5_Close public transport,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Economics,Volume of exports,C5_Close public transport,Turkmenistan,TKM,5.694,percent change,2020.0
37,Social issues ,Press freedom score,C5_Close public transport,Turkmenistan,TKM,85.44,score,2020.0
38,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C5_Close public transport,Turkmenistan,TKM,43908.6,international $ in PPP,2020.0
39,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C5_Close public transport,Turkmenistan,TKM,64.3619995,Percentage of total population,2020.0
