rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Australia,AUS,86.545,percent of population,2019.0
2,Health,Prevalence of COVID-19,C6_Stay at home requirements,Australia,AUS,28094.0,"Number (cumulative total by Dec 26,2020)",2020.0
3,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Australia,AUS,77.0,score,2020.0
4,Demographics,Secure Internet servers ,C6_Stay at home requirements,Australia,AUS,36720.85344180703,per 1 million people,2019.0
5,Economics,"Central government debt, total",C6_Stay at home requirements,Australia,AUS,0.054648482520169,percent of GDP,2016.0
6,Governance,Serious assault (rate),C6_Stay at home requirements,Australia,AUS,292.02,rate,2018.0
7,Social issues ,Press freedom score,C6_Stay at home requirements,Australia,AUS,20.21,score,2020.0
8,Economics,Volume of exports,C6_Stay at home requirements,Australia,AUS,2.366,percent change,2020.0
9,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Australia,AUS,110.621,per 100 people,2019.0
10,Health,Summary exposure value tobacco,C6_Stay at home requirements,Australia,AUS,21.19674,Rate (risk-weighted prevalence),2019.0
11,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Australia,AUS,34.5413,per 100 people,2019.0
12,Health,Prevalence of down syndrome,C6_Stay at home requirements,Australia,AUS,0.000425,percent,2019.0
13,Social issues ,Net migration,C6_Stay at home requirements,Australia,AUS,791229.0,net total / data are 5 year estimates,2019.0
14,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Australia,AUS,95.0,percent,2019.0
15,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Australia,AUS,7820000.0,number,2019.0
16,Social issues ,Life Ladder ,C6_Stay at home requirements,Australia,AUS,7.183499813079834,score,2021.0
17,Health,Prevalence of total cancers,C6_Stay at home requirements,Australia,AUS,0.041621,percent,2019.0
18,Health,Prevalence of obesity,C6_Stay at home requirements,Australia,AUS,29.0,percent,2016.0
19,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Australia,AUS,3.6778,Ones,2017.0
20,Governance,Control of corruption estimate,C6_Stay at home requirements,Australia,AUS,1.811107,score,2019.0
21,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Australia,AUS,30.46357616,proportion,2020.0
22,Health,Prevalence of Diabetes,C6_Stay at home requirements,Australia,AUS,0.064669,percent,2019.0
23,Governance,Government effectiveness estimate,C6_Stay at home requirements,Australia,AUS,1.571896,score,2019.0
24,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Australia,AUS,6.4,percent,2018.0
25,Governance,Human Freedom Score ,C6_Stay at home requirements,Australia,AUS,8.68,score,2018.0
26,Governance,Human Development Index,C6_Stay at home requirements,Australia,AUS,0.944,index,2019.0
27,Environment,Electricity production from coal sources ,C6_Stay at home requirements,Australia,AUS,62.87161680064691,percent of total,2015.0
28,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,Australia,AUS,57.0,score,2021.0
29,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Australia,AUS,15.53922,metric tons per capita,2016.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C6_Stay at home requirements,Australia,AUS,8.550324,micrograms per cubic meter,2017.0
31,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Australia,AUS,0.064051,percent,2019.0
32,Health,Mortality due to COVID-19,C6_Stay at home requirements,Australia,AUS,908.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Australia,AUS,60.2050018,Percentage of females of the total population,2020.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C6_Stay at home requirements,Australia,AUS,5.32800007,percent of total labor force,2020.0
35,Social issues ,Proportion of women in managerial positions (%),C6_Stay at home requirements,Australia,AUS,37.8,percent,2018.0
36,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Australia,AUS,12.5508,Ones,2017.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C6_Stay at home requirements,Australia,AUS,6.9,Cases,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",C6_Stay at home requirements,Australia,AUS,4.42268183065241,percent of GNI,2018.0
40,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C6_Stay at home requirements,Australia,AUS,2.1,percent,2020.0
41,Environment,Renewable energy consumption ,C6_Stay at home requirements,Australia,AUS,9.18050295980786,percent of total final energy consumption,2015.0
42,Governance,Voice and accountability estimate,C6_Stay at home requirements,Australia,AUS,1.315125,score,2019.0
43,Health,"Prevalence of HIV, total (% of population ages 15-49)",C6_Stay at home requirements,Australia,AUS,0.1,percent,2019.0
45,Governance,Regulatory quality estimate,C6_Stay at home requirements,Australia,AUS,1.873539,score,2019.0
46,Social issues ,Gini index (World Bank estimate),C6_Stay at home requirements,Australia,AUS,34.4,index ,2014.0
47,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Australia,AUS,1.086503,score,2019.0
48,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Australia,AUS,0.108301,percent,2019.0
49,Governance,Rule of law estimate ,C6_Stay at home requirements,Australia,AUS,1.734145,score,2019.0
50,Economics,Expenditure on social protection (% of GDP),C6_Stay at home requirements,Australia,AUS,9.73273,percent,2019.0
51,Environment,"Energy imports, net ",C6_Stay at home requirements,Australia,AUS,-190.1909475821543,percent of energy use,2015.0
52,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Australia,AUS,0.001582,percent,2019.0
53,Environment,Electricity production from oil sources,C6_Stay at home requirements,Australia,AUS,2.695064136104901,percent of total,2015.0
55,Environment,Fossil fuel energy consumption,C6_Stay at home requirements,Australia,AUS,89.62563,percent of total,2015.0
56,Governance,Total freedom in the world score ,C6_Stay at home requirements,Australia,AUS,97.0,score,2021.0
57,Economics,Volume of imports,C6_Stay at home requirements,Australia,AUS,2.424,percent change,2020.0
58,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C6_Stay at home requirements,Australia,AUS,24.8935837696774,percent of total,2017.0
59,Environment,"Electricity production from oil, gas and coal sources",C6_Stay at home requirements,Australia,AUS,86.36215890532591,percent of total,2015.0
60,Environment,CO2 emissions (kt),C6_Stay at home requirements,Australia,AUS,375907.8,kt,2016.0
61,Environment,Access to electricity ,C6_Stay at home requirements,Australia,AUS,100.0,percent of population,2018.0
62,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C6_Stay at home requirements,Australia,AUS,31.7493305206299,proportion,2018.0
63,Governance,Economic Freedom Score,C6_Stay at home requirements,Australia,AUS,8.23,score,2018.0
64,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Australia,AUS,0.050533,percent,2019.0
66,Governance,Aggregate score for the Political Rights category,C6_Stay at home requirements,Australia,AUS,40.0,score,2021.0
67,Demographics,People using at least basic sanitation services (% of population),C6_Stay at home requirements,Australia,AUS,99.9911523822512,proportion,2017.0
68,Environment,Energy use ,C6_Stay at home requirements,Australia,AUS,114.2045654214777,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
70,Environment,"Electricity production from renewable sources, excluding hydroelectric",C6_Stay at home requirements,Australia,AUS,21044000000.0,kWh,2015.0
71,Economics,Employment in services (% of total employment) (modeled ILO estimate),C6_Stay at home requirements,Australia,AUS,77.7330017,Percentage of total employment,2020.0
73,Environment,Combustible renewables and waste,C6_Stay at home requirements,Australia,AUS,3.33011,percent of total energy,2015.0
74,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Australia,AUS,65.3690033,Percentage of total population,2020.0
