rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Chile,CHL,82.3275,percent of population,2019.0
2,Health,Prevalence of COVID-19,C6_Stay at home requirements,Chile,CHL,581135.0,"Number (cumulative total by Dec 26,2020)",2020.0
3,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Chile,CHL,67.0,score,2020.0
4,Demographics,Secure Internet servers ,C6_Stay at home requirements,Chile,CHL,11013.69678553832,per 1 million people,2019.0
6,Governance,Serious assault (rate),C6_Stay at home requirements,Chile,CHL,65.21,rate,2018.0
7,Social issues ,Press freedom score,C6_Stay at home requirements,Chile,CHL,27.31,score,2020.0
8,Economics,Volume of exports,C6_Stay at home requirements,Chile,CHL,3.277,percent change,2020.0
9,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Chile,CHL,132.185,per 100 people,2019.0
10,Health,Summary exposure value tobacco,C6_Stay at home requirements,Chile,CHL,25.21771,Rate (risk-weighted prevalence),2019.0
11,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Chile,CHL,18.0947,per 100 people,2019.0
12,Health,Prevalence of down syndrome,C6_Stay at home requirements,Chile,CHL,0.000576,percent,2019.0
13,Social issues ,Net migration,C6_Stay at home requirements,Chile,CHL,558539.0,net total / data are 5 year estimates,2019.0
14,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Chile,CHL,95.0,percent,2019.0
15,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Chile,CHL,2750270.0,number,2019.0
16,Social issues ,Life Ladder ,C6_Stay at home requirements,Chile,CHL,6.171899795532227,score,2021.0
17,Health,Prevalence of total cancers,C6_Stay at home requirements,Chile,CHL,0.014596,percent,2019.0
18,Health,Prevalence of obesity,C6_Stay at home requirements,Chile,CHL,28.0,percent,2016.0
19,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Chile,CHL,2.5912,Ones,2018.0
20,Governance,Control of corruption estimate,C6_Stay at home requirements,Chile,CHL,1.088457,score,2019.0
21,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Chile,CHL,22.58064516,proportion,2020.0
22,Health,Prevalence of Diabetes,C6_Stay at home requirements,Chile,CHL,0.083622,percent,2019.0
23,Governance,Government effectiveness estimate,C6_Stay at home requirements,Chile,CHL,1.06042,score,2019.0
24,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Chile,CHL,4.6,percent,2018.0
25,Governance,Human Freedom Score ,C6_Stay at home requirements,Chile,CHL,8.18,score,2018.0
26,Governance,Human Development Index,C6_Stay at home requirements,Chile,CHL,0.851,index,2019.0
27,Environment,Electricity production from coal sources ,C6_Stay at home requirements,Chile,CHL,37.14433523021211,percent of total,2015.0
28,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,Chile,CHL,55.0,score,2021.0
29,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Chile,CHL,4.713172,metric tons per capita,2016.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C6_Stay at home requirements,Chile,CHL,21.0363,micrograms per cubic meter,2017.0
31,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Chile,CHL,0.061691,percent,2019.0
32,Health,Mortality due to COVID-19,C6_Stay at home requirements,Chile,CHL,16051.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Chile,CHL,51.9659996,Percentage of females of the total population,2020.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C6_Stay at home requirements,Chile,CHL,7.09600019,percent of total labor force,2020.0
35,Social issues ,Proportion of women in managerial positions (%),C6_Stay at home requirements,Chile,CHL,27.26,percent,2018.0
36,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Chile,CHL,13.3248,Ones,2018.0
37,Health,Hospital beds (per 10 000 population),C6_Stay at home requirements,Chile,CHL,20.6,Ones,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C6_Stay at home requirements,Chile,CHL,18.0,Cases,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",C6_Stay at home requirements,Chile,CHL,0.526902592218389,percent of GNI,2018.0
40,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C6_Stay at home requirements,Chile,CHL,1.6,percent,2020.0
41,Environment,Renewable energy consumption ,C6_Stay at home requirements,Chile,CHL,24.8825542739544,percent of total final energy consumption,2015.0
42,Governance,Voice and accountability estimate,C6_Stay at home requirements,Chile,CHL,1.019602,score,2019.0
43,Health,"Prevalence of HIV, total (% of population ages 15-49)",C6_Stay at home requirements,Chile,CHL,0.5,percent,2019.0
45,Governance,Regulatory quality estimate,C6_Stay at home requirements,Chile,CHL,1.224169,score,2019.0
46,Social issues ,Gini index (World Bank estimate),C6_Stay at home requirements,Chile,CHL,44.4,index ,2017.0
47,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Chile,CHL,0.2063824,score,2019.0
48,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Chile,CHL,0.101495,percent,2019.0
49,Governance,Rule of law estimate ,C6_Stay at home requirements,Chile,CHL,1.073613,score,2019.0
51,Environment,"Energy imports, net ",C6_Stay at home requirements,Chile,CHL,65.23645644631547,percent of energy use,2015.0
52,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Chile,CHL,0.003437,percent,2019.0
53,Environment,Electricity production from oil sources,C6_Stay at home requirements,Chile,CHL,4.186398185363524,percent of total,2015.0
55,Environment,Fossil fuel energy consumption,C6_Stay at home requirements,Chile,CHL,74.64721,percent of total,2015.0
56,Governance,Total freedom in the world score ,C6_Stay at home requirements,Chile,CHL,93.0,score,2021.0
57,Economics,Volume of imports,C6_Stay at home requirements,Chile,CHL,2.414,percent change,2020.0
58,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C6_Stay at home requirements,Chile,CHL,97.6630177077565,percent of total,2017.0
59,Environment,"Electricity production from oil, gas and coal sources",C6_Stay at home requirements,Chile,CHL,56.39566503508563,percent of total,2015.0
