rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Congo (Dem. Rep.),COD,8.6199,percent of population,2019.0
2,Health,Prevalence of COVID-19,C6_Stay at home requirements,Congo (Dem. Rep.),COD,15087.0,"Number (cumulative total by Dec 26,2020)",2020.0
3,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Congo (Dem. Rep.),COD,18.0,score,2020.0
4,Demographics,Secure Internet servers ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,3.030283233430196,per 1 million people,2019.0
7,Social issues ,Press freedom score,C6_Stay at home requirements,Congo (Dem. Rep.),COD,49.09,score,2020.0
8,Economics,Volume of exports,C6_Stay at home requirements,Congo (Dem. Rep.),COD,11.853,percent change,2020.0
9,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Congo (Dem. Rep.),COD,42.7733,per 100 people,2019.0
10,Health,Summary exposure value tobacco,C6_Stay at home requirements,Congo (Dem. Rep.),COD,6.374913,Rate (risk-weighted prevalence),2019.0
11,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.00549555,per 100 people,2019.0
12,Health,Prevalence of down syndrome,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.000168,percent,2019.0
13,Social issues ,Net migration,C6_Stay at home requirements,Congo (Dem. Rep.),COD,119303.0,net total / data are 5 year estimates,2019.0
14,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,57.0,percent,2019.0
15,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.0,number,2019.0
17,Health,Prevalence of total cancers,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.001767,percent,2019.0
18,Health,Prevalence of obesity,C6_Stay at home requirements,Congo (Dem. Rep.),COD,6.7,percent,2016.0
19,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.074,Ones,2016.0
20,Governance,Control of corruption estimate,C6_Stay at home requirements,Congo (Dem. Rep.),COD,-1.538931,score,2019.0
21,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Congo (Dem. Rep.),COD,12.8,proportion,2020.0
22,Health,Prevalence of Diabetes,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.026853,percent,2019.0
23,Governance,Government effectiveness estimate,C6_Stay at home requirements,Congo (Dem. Rep.),COD,-1.627429,score,2019.0
24,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.5,percent,2018.0
25,Governance,Human Freedom Score ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,5.29,score,2018.0
26,Governance,Human Development Index,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.48,index,2019.0
27,Environment,Electricity production from coal sources ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.0,percent of total,2015.0
29,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.025645,metric tons per capita,2016.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C6_Stay at home requirements,Congo (Dem. Rep.),COD,44.90926,micrograms per cubic meter,2017.0
31,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.034311,percent,2019.0
32,Health,Mortality due to COVID-19,C6_Stay at home requirements,Congo (Dem. Rep.),COD,366.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,60.4430008,Percentage of females of the total population,2020.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,4.25,percent of total labor force,2020.0
36,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,1.1101,Ones,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,320.0,Cases,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",C6_Stay at home requirements,Congo (Dem. Rep.),COD,-7.93567786303182,percent of GNI,2018.0
40,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,40.8,percent,2020.0
41,Environment,Renewable energy consumption ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,95.8176997146271,percent of total final energy consumption,2015.0
42,Governance,Voice and accountability estimate,C6_Stay at home requirements,Congo (Dem. Rep.),COD,-1.365966,score,2019.0
43,Health,"Prevalence of HIV, total (% of population ages 15-49)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.8,percent,2019.0
45,Governance,Regulatory quality estimate,C6_Stay at home requirements,Congo (Dem. Rep.),COD,-1.509667,score,2019.0
47,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Congo (Dem. Rep.),COD,-1.808007,score,2019.0
48,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.03469,percent,2019.0
49,Governance,Rule of law estimate ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,-1.786088,score,2019.0
51,Environment,"Energy imports, net ",C6_Stay at home requirements,Congo (Dem. Rep.),COD,1.959267301396918,percent of energy use,2014.0
52,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.000515,percent,2019.0
53,Environment,Electricity production from oil sources,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.1341981659583986,percent of total,2015.0
55,Environment,Fossil fuel energy consumption,C6_Stay at home requirements,Congo (Dem. Rep.),COD,5.355814,percent of total,2014.0
57,Economics,Volume of imports,C6_Stay at home requirements,Congo (Dem. Rep.),COD,14.27,percent change,2020.0
58,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C6_Stay at home requirements,Congo (Dem. Rep.),COD,100.0,percent of total,2017.0
59,Environment,"Electricity production from oil, gas and coal sources",C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.1789308879445314,percent of total,2015.0
60,Environment,CO2 emissions (kt),C6_Stay at home requirements,Congo (Dem. Rep.),COD,2020.517,kt,2016.0
61,Environment,Access to electricity ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,18.9776611328125,percent of population,2018.0
63,Governance,Economic Freedom Score,C6_Stay at home requirements,Congo (Dem. Rep.),COD,5.15,score,2018.0
64,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.042079,percent,2019.0
68,Environment,Energy use ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,378.068952319107,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
70,Environment,"Electricity production from renewable sources, excluding hydroelectric",C6_Stay at home requirements,Congo (Dem. Rep.),COD,10000000.0,kWh,2015.0
71,Economics,Employment in services (% of total employment) (modeled ILO estimate),C6_Stay at home requirements,Congo (Dem. Rep.),COD,25.1000004,Percentage of total employment,2020.0
73,Environment,Combustible renewables and waste,C6_Stay at home requirements,Congo (Dem. Rep.),COD,67.19736,percent of total energy,2014.0
74,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Congo (Dem. Rep.),COD,63.2190018,Percentage of total population,2020.0
75,Environment,Electricity production from nuclear sources ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.0,percent of total,2014.0
77,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Congo (Dem. Rep.),COD,0.354508,percent,2019.0
82,Governance,Fragile States Index Total ,C6_Stay at home requirements,Congo (Dem. Rep.),COD,109.39462095485345,score,2020.0
