rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Dominican Republic,DOM,74.8243,percent of population,2019.0
2,Health,Prevalence of COVID-19,C6_Stay at home requirements,Dominican Republic,DOM,157929.0,"Number (cumulative total by Dec 26,2020)",2020.0
3,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Dominican Republic,DOM,28.0,score,2020.0
4,Demographics,Secure Internet servers ,C6_Stay at home requirements,Dominican Republic,DOM,113.1394684661212,per 1 million people,2019.0
6,Governance,Serious assault (rate),C6_Stay at home requirements,Dominican Republic,DOM,30.22,rate,2016.0
7,Social issues ,Press freedom score,C6_Stay at home requirements,Dominican Republic,DOM,27.9,score,2020.0
8,Economics,Volume of exports,C6_Stay at home requirements,Dominican Republic,DOM,5.0,percent change,2020.0
9,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Dominican Republic,DOM,83.3238,per 100 people,2019.0
10,Health,Summary exposure value tobacco,C6_Stay at home requirements,Dominican Republic,DOM,14.2975,Rate (risk-weighted prevalence),2019.0
11,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Dominican Republic,DOM,8.24921,per 100 people,2019.0
12,Health,Prevalence of down syndrome,C6_Stay at home requirements,Dominican Republic,DOM,0.00041,percent,2019.0
13,Social issues ,Net migration,C6_Stay at home requirements,Dominican Republic,DOM,-150000.0,net total / data are 5 year estimates,2019.0
14,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Dominican Republic,DOM,96.0,percent,2019.0
15,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Dominican Republic,DOM,1210020.0,number,2019.0
16,Social issues ,Life Ladder ,C6_Stay at home requirements,Dominican Republic,DOM,5.545100212097168,score,2021.0
17,Health,Prevalence of total cancers,C6_Stay at home requirements,Dominican Republic,DOM,0.007002,percent,2019.0
18,Health,Prevalence of obesity,C6_Stay at home requirements,Dominican Republic,DOM,27.6,percent,2016.0
19,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Dominican Republic,DOM,1.56,Ones,2017.0
20,Governance,Control of corruption estimate,C6_Stay at home requirements,Dominican Republic,DOM,-0.763217,score,2019.0
21,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Dominican Republic,DOM,27.89473684,proportion,2020.0
22,Health,Prevalence of Diabetes,C6_Stay at home requirements,Dominican Republic,DOM,0.043365,percent,2019.0
23,Governance,Government effectiveness estimate,C6_Stay at home requirements,Dominican Republic,DOM,-0.357478,score,2019.0
24,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Dominican Republic,DOM,2.5,percent,2018.0
25,Governance,Human Freedom Score ,C6_Stay at home requirements,Dominican Republic,DOM,7.37,score,2018.0
26,Governance,Human Development Index,C6_Stay at home requirements,Dominican Republic,DOM,0.756,index,2019.0
27,Environment,Electricity production from coal sources ,C6_Stay at home requirements,Dominican Republic,DOM,12.85691065720323,percent of total,2015.0
28,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,Dominican Republic,DOM,41.0,score,2021.0
29,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Dominican Republic,DOM,2.429209,metric tons per capita,2016.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C6_Stay at home requirements,Dominican Republic,DOM,13.72632,micrograms per cubic meter,2017.0
31,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Dominican Republic,DOM,0.047396,percent,2019.0
32,Health,Mortality due to COVID-19,C6_Stay at home requirements,Dominican Republic,DOM,2376.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Dominican Republic,DOM,51.5999985,Percentage of females of the total population,2020.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C6_Stay at home requirements,Dominican Republic,DOM,5.91900015,percent of total labor force,2020.0
35,Social issues ,Proportion of women in managerial positions (%),C6_Stay at home requirements,Dominican Republic,DOM,41.06,percent,2017.0
36,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Dominican Republic,DOM,1.3802,Ones,2018.0
37,Health,Hospital beds (per 10 000 population),C6_Stay at home requirements,Dominican Republic,DOM,15.6,Ones,2017.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C6_Stay at home requirements,Dominican Republic,DOM,42.0,Cases,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",C6_Stay at home requirements,Dominican Republic,DOM,19.3499133196743,percent of GNI,2018.0
40,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C6_Stay at home requirements,Dominican Republic,DOM,5.9,percent,2020.0
41,Environment,Renewable energy consumption ,C6_Stay at home requirements,Dominican Republic,DOM,16.480109206897,percent of total final energy consumption,2015.0
42,Governance,Voice and accountability estimate,C6_Stay at home requirements,Dominican Republic,DOM,0.201905,score,2019.0
43,Health,"Prevalence of HIV, total (% of population ages 15-49)",C6_Stay at home requirements,Dominican Republic,DOM,0.9,percent,2019.0
44,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),C6_Stay at home requirements,Dominican Republic,DOM,2.0,proportion,2014.0
45,Governance,Regulatory quality estimate,C6_Stay at home requirements,Dominican Republic,DOM,-0.0535924,score,2019.0
46,Social issues ,Gini index (World Bank estimate),C6_Stay at home requirements,Dominican Republic,DOM,43.7,index ,2018.0
47,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Dominican Republic,DOM,0.0189059,score,2019.0
48,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Dominican Republic,DOM,0.07603,percent,2019.0
49,Governance,Rule of law estimate ,C6_Stay at home requirements,Dominican Republic,DOM,-0.3476975,score,2019.0
51,Environment,"Energy imports, net ",C6_Stay at home requirements,Dominican Republic,DOM,86.7171002235763,percent of energy use,2014.0
52,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Dominican Republic,DOM,0.001989,percent,2019.0
53,Environment,Electricity production from oil sources,C6_Stay at home requirements,Dominican Republic,DOM,53.48106409492333,percent of total,2015.0
54,Demographics,People with basic handwashing facilities including soap and water (% of population),C6_Stay at home requirements,Dominican Republic,DOM,55.1819809572288,proportion,2017.0
55,Environment,Fossil fuel energy consumption,C6_Stay at home requirements,Dominican Republic,DOM,86.5636,percent of total,2014.0
56,Governance,Total freedom in the world score ,C6_Stay at home requirements,Dominican Republic,DOM,67.0,score,2021.0
57,Economics,Volume of imports,C6_Stay at home requirements,Dominican Republic,DOM,5.548,percent change,2020.0
58,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C6_Stay at home requirements,Dominican Republic,DOM,99.9134426224712,percent of total,2017.0
59,Environment,"Electricity production from oil, gas and coal sources",C6_Stay at home requirements,Dominican Republic,DOM,88.36755702443517,percent of total,2015.0
60,Environment,CO2 emissions (kt),C6_Stay at home requirements,Dominican Republic,DOM,25258.3,kt,2016.0
61,Environment,Access to electricity ,C6_Stay at home requirements,Dominican Republic,DOM,100.0,percent of population,2018.0
62,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C6_Stay at home requirements,Dominican Republic,DOM,18.123119354248,proportion,2016.0
63,Governance,Economic Freedom Score,C6_Stay at home requirements,Dominican Republic,DOM,7.58,score,2018.0
64,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Dominican Republic,DOM,0.039451,percent,2019.0
65,Social issues ,"Primary completion rate, total (% of relevant age group)",C6_Stay at home requirements,Dominican Republic,DOM,93.3040924072266,proportion,2019.0
66,Governance,Aggregate score for the Political Rights category,C6_Stay at home requirements,Dominican Republic,DOM,26.0,score,2021.0
67,Demographics,People using at least basic sanitation services (% of population),C6_Stay at home requirements,Dominican Republic,DOM,83.8932063216788,proportion,2017.0
68,Environment,Energy use ,C6_Stay at home requirements,Dominican Republic,DOM,51.84925939066515,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
70,Environment,"Electricity production from renewable sources, excluding hydroelectric",C6_Stay at home requirements,Dominican Republic,DOM,972000000.0,kWh,2015.0
71,Economics,Employment in services (% of total employment) (modeled ILO estimate),C6_Stay at home requirements,Dominican Republic,DOM,71.2689972,Percentage of total employment,2020.0
72,Social issues ,Coverage of social safety net programs (% of population),C6_Stay at home requirements,Dominican Republic,DOM,55.2362822496594,proportion,2016.0
73,Environment,Combustible renewables and waste,C6_Stay at home requirements,Dominican Republic,DOM,10.04958,percent of total energy,2014.0
74,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Dominican Republic,DOM,64.3789978,Percentage of total population,2020.0
75,Environment,Electricity production from nuclear sources ,C6_Stay at home requirements,Dominican Republic,DOM,0.0,percent of total,2014.0
77,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Dominican Republic,DOM,0.271518,percent,2019.0
78,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C6_Stay at home requirements,Dominican Republic,DOM,93.7784576416016,proportion,2016.0
82,Governance,Fragile States Index Total ,C6_Stay at home requirements,Dominican Republic,DOM,64.35620204936144,score,2020.0
83,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C6_Stay at home requirements,Dominican Republic,DOM,7.6,percent,2020.0
84,Demographics,Rural population (% of total population),C6_Stay at home requirements,Dominican Republic,DOM,18.172,proportion,2019.0
85,Governance,Personal Freedom Score ,C6_Stay at home requirements,Dominican Republic,DOM,7.16,score,2018.0
87,Environment,Electric power consumption ,C6_Stay at home requirements,Dominican Republic,DOM,1615.515242330238,kWh per capita,2014.0
88,Social issues ,Progression to secondary school (%),C6_Stay at home requirements,Dominican Republic,DOM,93.1639,proportion,2017.0
90,Environment,Energy use (kg of oil equivalent per capita),C6_Stay at home requirements,Dominican Republic,DOM,751.7953940403207,kg of oil equivalent per capita,2014.0
92,Health,"Immunization, DPT (% of children ages 12-23 months)",C6_Stay at home requirements,Dominican Republic,DOM,89.0,percent,2019.0
95,Social issues ,Proportion of people living below 50 percent of median income (%),C6_Stay at home requirements,Dominican Republic,DOM,14.2,proportion,2018.0
102,Demographics,Urban population (% of total population),C6_Stay at home requirements,Dominican Republic,DOM,81.828,total,2019.0
104,Demographics,"Population, total",C6_Stay at home requirements,Dominican Republic,DOM,10738958.0,total,2019.0
105,Social issues ,"Intentional homicides (per 100,000 people)",C6_Stay at home requirements,Dominican Republic,DOM,10.04973395,"proportion, pero 100,000 people",2018.0
108,Demographics,Refugee population by country or territory of asylum,C6_Stay at home requirements,Dominican Republic,DOM,164.0,proportion,2019.0
111,Demographics,Age dependency ratio (% of working-age population),C6_Stay at home requirements,Dominican Republic,DOM,53.86292148418482,proportion,2019.0
