rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Gibraltar,GIB,94.4445,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Gibraltar,GIB,16968.0,number,2019.0
4,Health,Prevalence of COVID-19,C6_Stay at home requirements,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Environment,Electric power consumption ,C6_Stay at home requirements,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
7,Environment,Electricity production from oil sources,C6_Stay at home requirements,Gibraltar,GIB,100.0,percent of total,2015.0
13,Environment,Fossil fuel energy consumption,C6_Stay at home requirements,Gibraltar,GIB,99.51282,percent of total,2014.0
14,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Gibraltar,GIB,120.284,per 100 people,2019.0
18,Environment,Combustible renewables and waste,C6_Stay at home requirements,Gibraltar,GIB,0.0,percent of total energy,2014.0
19,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Gibraltar,GIB,56.2891,per 100 people,2019.0
21,Environment,Energy use (kg of oil equivalent per capita),C6_Stay at home requirements,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
24,Environment,"Energy imports, net ",C6_Stay at home requirements,Gibraltar,GIB,100.0,percent of energy use,2014.0
25,Environment,CO2 emissions (kt),C6_Stay at home requirements,Gibraltar,GIB,634.391,kt,2016.0
32,Environment,Electricity production from coal sources ,C6_Stay at home requirements,Gibraltar,GIB,0.0,percent of total,2015.0
38,Health,Mortality due to COVID-19,C6_Stay at home requirements,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
44,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
55,Environment,"Electricity production from oil, gas and coal sources",C6_Stay at home requirements,Gibraltar,GIB,100.0,percent of total,2015.0
59,Environment,Electricity production from nuclear sources ,C6_Stay at home requirements,Gibraltar,GIB,0.0,percent of total,2014.0
74,Demographics,Secure Internet servers ,C6_Stay at home requirements,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
80,Environment,Renewable energy consumption ,C6_Stay at home requirements,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
90,Environment,"Electricity production from renewable sources, excluding hydroelectric",C6_Stay at home requirements,Gibraltar,GIB,0.0,kWh,2015.0
117,Environment,Access to electricity ,C6_Stay at home requirements,Gibraltar,GIB,100.0,percent of population,2018.0
