rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Guyana,GUY,37.3258,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Guyana,GUY,135795.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Guyana,GUY,0.308469,percent,2019.0
4,Health,Prevalence of COVID-19,C6_Stay at home requirements,Guyana,GUY,6042.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Guyana,GUY,0.046216,percent,2019.0
9,Governance,Fragile States Index Total ,C6_Stay at home requirements,Guyana,GUY,65.95105985340093,score,2020.0
10,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Guyana,GUY,1.0398,Ones,2018.0
11,Governance,Regulatory quality estimate,C6_Stay at home requirements,Guyana,GUY,-0.6206163,score,2019.0
12,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Guyana,GUY,0.051502,percent,2019.0
14,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Guyana,GUY,82.9711,per 100 people,2019.0
15,Governance,Economic Freedom Score,C6_Stay at home requirements,Guyana,GUY,6.68,score,2018.0
16,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C6_Stay at home requirements,Guyana,GUY,6.6,percent,2020.0
17,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Guyana,GUY,0.081865,percent,2019.0
19,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Guyana,GUY,8.37038,per 100 people,2019.0
20,Social issues ,"Intentional homicides (per 100,000 people)",C6_Stay at home requirements,Guyana,GUY,14.248909188,"proportion, pero 100,000 people",2018.0
22,Economics,Volume of exports,C6_Stay at home requirements,Guyana,GUY,66.164,percent change,2020.0
23,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Guyana,GUY,41.0,score,2020.0
25,Environment,CO2 emissions (kt),C6_Stay at home requirements,Guyana,GUY,2383.55,kt,2016.0
26,Social issues ,Net migration,C6_Stay at home requirements,Guyana,GUY,-30001.0,net total / data are 5 year estimates,2019.0
