rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Indonesia,IDN,47.6906,percent of population,2019.0
2,Health,Prevalence of COVID-19,C6_Stay at home requirements,Indonesia,IDN,650197.0,"Number (cumulative total by Dec 26,2020)",2020.0
3,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Indonesia,IDN,37.0,score,2020.0
4,Demographics,Secure Internet servers ,C6_Stay at home requirements,Indonesia,IDN,1683.846812286413,per 1 million people,2019.0
5,Economics,"Central government debt, total",C6_Stay at home requirements,Indonesia,IDN,31.36619071477803,percent of GDP,2016.0
6,Governance,Serious assault (rate),C6_Stay at home requirements,Indonesia,IDN,4.18,rate,2018.0
7,Social issues ,Press freedom score,C6_Stay at home requirements,Indonesia,IDN,36.82,score,2020.0
8,Economics,Volume of exports,C6_Stay at home requirements,Indonesia,IDN,9.012,percent change,2020.0
9,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Indonesia,IDN,127.492,per 100 people,2019.0
10,Health,Summary exposure value tobacco,C6_Stay at home requirements,Indonesia,IDN,30.98733,Rate (risk-weighted prevalence),2019.0
11,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Indonesia,IDN,3.4778,per 100 people,2019.0
12,Health,Prevalence of down syndrome,C6_Stay at home requirements,Indonesia,IDN,0.000317,percent,2019.0
13,Social issues ,Net migration,C6_Stay at home requirements,Indonesia,IDN,-494777.0,net total / data are 5 year estimates,2019.0
14,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Indonesia,IDN,88.0,percent,2019.0
15,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Indonesia,IDN,9477140.0,number,2019.0
16,Social issues ,Life Ladder ,C6_Stay at home requirements,Indonesia,IDN,5.3445000648498535,score,2021.0
17,Health,Prevalence of total cancers,C6_Stay at home requirements,Indonesia,IDN,0.005006,percent,2019.0
18,Health,Prevalence of obesity,C6_Stay at home requirements,Indonesia,IDN,6.9,percent,2016.0
19,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Indonesia,IDN,0.4269,Ones,2018.0
20,Governance,Control of corruption estimate,C6_Stay at home requirements,Indonesia,IDN,-0.4189961,score,2019.0
21,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Indonesia,IDN,20.34782609,proportion,2020.0
22,Health,Prevalence of Diabetes,C6_Stay at home requirements,Indonesia,IDN,0.041358,percent,2019.0
23,Governance,Government effectiveness estimate,C6_Stay at home requirements,Indonesia,IDN,0.1827407,score,2019.0
24,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Indonesia,IDN,1.4,percent,2018.0
25,Governance,Human Freedom Score ,C6_Stay at home requirements,Indonesia,IDN,7.07,score,2018.0
26,Governance,Human Development Index,C6_Stay at home requirements,Indonesia,IDN,0.718,index,2019.0
27,Environment,Electricity production from coal sources ,C6_Stay at home requirements,Indonesia,IDN,55.77646334792122,percent of total,2015.0
28,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,Indonesia,IDN,29.0,score,2021.0
29,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Indonesia,IDN,2.153758,metric tons per capita,2016.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C6_Stay at home requirements,Indonesia,IDN,16.50265,micrograms per cubic meter,2017.0
31,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Indonesia,IDN,0.038347,percent,2019.0
32,Health,Mortality due to COVID-19,C6_Stay at home requirements,Indonesia,IDN,19514.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Indonesia,IDN,53.1529999,Percentage of females of the total population,2020.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C6_Stay at home requirements,Indonesia,IDN,4.83500004,percent of total labor force,2020.0
35,Social issues ,Proportion of women in managerial positions (%),C6_Stay at home requirements,Indonesia,IDN,27.46,percent,2017.0
36,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Indonesia,IDN,2.4149,Ones,2018.0
37,Health,Hospital beds (per 10 000 population),C6_Stay at home requirements,Indonesia,IDN,10.4,Ones,2017.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C6_Stay at home requirements,Indonesia,IDN,312.0,Cases,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",C6_Stay at home requirements,Indonesia,IDN,12.895292893467,percent of GNI,2018.0
40,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C6_Stay at home requirements,Indonesia,IDN,31.8,percent,2020.0
41,Environment,Renewable energy consumption ,C6_Stay at home requirements,Indonesia,IDN,36.8793481032359,percent of total final energy consumption,2015.0
42,Governance,Voice and accountability estimate,C6_Stay at home requirements,Indonesia,IDN,0.1563942,score,2019.0
44,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),C6_Stay at home requirements,Indonesia,IDN,32.0,proportion,2017.0
45,Governance,Regulatory quality estimate,C6_Stay at home requirements,Indonesia,IDN,-0.0933143,score,2019.0
46,Social issues ,Gini index (World Bank estimate),C6_Stay at home requirements,Indonesia,IDN,37.8,index ,2018.0
47,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Indonesia,IDN,-0.4812067,score,2019.0
48,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Indonesia,IDN,0.103445,percent,2019.0
49,Governance,Rule of law estimate ,C6_Stay at home requirements,Indonesia,IDN,-0.3425302,score,2019.0
50,Economics,Expenditure on social protection (% of GDP),C6_Stay at home requirements,Indonesia,IDN,1.29991,percent,2019.0
51,Environment,"Energy imports, net ",C6_Stay at home requirements,Indonesia,IDN,-103.0913295476628,percent of energy use,2014.0
52,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Indonesia,IDN,0.00335,percent,2019.0
53,Environment,Electricity production from oil sources,C6_Stay at home requirements,Indonesia,IDN,8.39801012035011,percent of total,2015.0
54,Demographics,People with basic handwashing facilities including soap and water (% of population),C6_Stay at home requirements,Indonesia,IDN,64.2036185754851,proportion,2017.0
55,Environment,Fossil fuel energy consumption,C6_Stay at home requirements,Indonesia,IDN,66.08948,percent of total,2014.0
56,Governance,Total freedom in the world score ,C6_Stay at home requirements,Indonesia,IDN,59.0,score,2021.0
57,Economics,Volume of imports,C6_Stay at home requirements,Indonesia,IDN,8.426,percent change,2020.0
58,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C6_Stay at home requirements,Indonesia,IDN,95.5671472610627,percent of total,2017.0
59,Environment,"Electricity production from oil, gas and coal sources",C6_Stay at home requirements,Indonesia,IDN,89.3445705689278,percent of total,2015.0
60,Environment,CO2 emissions (kt),C6_Stay at home requirements,Indonesia,IDN,563324.5,kt,2016.0
61,Environment,Access to electricity ,C6_Stay at home requirements,Indonesia,IDN,98.51,percent of population,2018.0
62,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C6_Stay at home requirements,Indonesia,IDN,9.37423038482666,proportion,2018.0
63,Governance,Economic Freedom Score,C6_Stay at home requirements,Indonesia,IDN,7.39,score,2018.0
64,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Indonesia,IDN,0.026338,percent,2019.0
65,Social issues ,"Primary completion rate, total (% of relevant age group)",C6_Stay at home requirements,Indonesia,IDN,102.334838867188,proportion,2018.0
66,Governance,Aggregate score for the Political Rights category,C6_Stay at home requirements,Indonesia,IDN,30.0,score,2021.0
67,Demographics,People using at least basic sanitation services (% of population),C6_Stay at home requirements,Indonesia,IDN,73.1283873746602,proportion,2017.0
68,Environment,Energy use ,C6_Stay at home requirements,Indonesia,IDN,90.18533955384325,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
70,Environment,"Electricity production from renewable sources, excluding hydroelectric",C6_Stay at home requirements,Indonesia,IDN,11181000000.0,kWh,2015.0
71,Economics,Employment in services (% of total employment) (modeled ILO estimate),C6_Stay at home requirements,Indonesia,IDN,49.6230011,Percentage of total employment,2020.0
72,Social issues ,Coverage of social safety net programs (% of population),C6_Stay at home requirements,Indonesia,IDN,42.42441918,proportion,2017.0
73,Environment,Combustible renewables and waste,C6_Stay at home requirements,Indonesia,IDN,24.79861,percent of total energy,2014.0
74,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Indonesia,IDN,67.4759979,Percentage of total population,2020.0
75,Environment,Electricity production from nuclear sources ,C6_Stay at home requirements,Indonesia,IDN,0.0,percent of total,2014.0
76,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),C6_Stay at home requirements,Indonesia,IDN,0.306796538643539,proportion,2015.0
77,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Indonesia,IDN,0.402865,percent,2019.0
78,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C6_Stay at home requirements,Indonesia,IDN,95.658561706543,proportion,2018.0
79,Economics,"International tourism, receipts",C6_Stay at home requirements,Indonesia,IDN,16912000000.0,US Dollar,2019.0
81,Economics,"Trade, total as % of GDP",C6_Stay at home requirements,Indonesia,IDN,30.22044,percent,2019.0
82,Governance,Fragile States Index Total ,C6_Stay at home requirements,Indonesia,IDN,67.84550475118697,score,2020.0
83,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C6_Stay at home requirements,Indonesia,IDN,11.1,percent,2020.0
84,Demographics,Rural population (% of total population),C6_Stay at home requirements,Indonesia,IDN,44.015,proportion,2019.0
85,Governance,Personal Freedom Score ,C6_Stay at home requirements,Indonesia,IDN,6.74,score,2018.0
86,Economics,"Foreign direct investment, net",C6_Stay at home requirements,Indonesia,IDN,24581570010.0,US Dollar,2019.0
87,Environment,Electric power consumption ,C6_Stay at home requirements,Indonesia,IDN,811.9069049475848,kWh per capita,2014.0
88,Social issues ,Progression to secondary school (%),C6_Stay at home requirements,Indonesia,IDN,91.4969,proportion,2016.0
89,Economics,Expenditure on health (% of GDP),C6_Stay at home requirements,Indonesia,IDN,1.45331,percent,2019.0
90,Environment,Energy use (kg of oil equivalent per capita),C6_Stay at home requirements,Indonesia,IDN,883.918294134837,kg of oil equivalent per capita,2014.0
92,Health,"Immunization, DPT (% of children ages 12-23 months)",C6_Stay at home requirements,Indonesia,IDN,85.0,percent,2019.0
93,Demographics,Internet users (per 100 people),C6_Stay at home requirements,Indonesia,IDN,39.90464,per 100 population,2018.0
97,Economics,Growth rates of household expenditure or income per capita (%),C6_Stay at home requirements,Indonesia,IDN,5.0,percent,2018.0
98,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C6_Stay at home requirements,Indonesia,IDN,26377.6,international $ in PPP,2020.0
99,Demographics,Mobile cellular (per 100 people),C6_Stay at home requirements,Indonesia,IDN,119.3387,per 100 population,2018.0
100,Demographics,Age dependency ratio,C6_Stay at home requirements,Indonesia,IDN,47.63508,percent of total population,2019.0
101,Social issues ,Coverage of unemployment benefits and ALMP (% of population),C6_Stay at home requirements,Indonesia,IDN,7.764673712,proportion,2017.0
102,Demographics,Urban population (% of total population),C6_Stay at home requirements,Indonesia,IDN,55.985,total,2019.0
103,Economics,"Lending interest rates, percent per annum",C6_Stay at home requirements,Indonesia,IDN,10.36583,percent per annum,2019.0
104,Demographics,"Population, total",C6_Stay at home requirements,Indonesia,IDN,270625568.0,total,2019.0
105,Social issues ,"Intentional homicides (per 100,000 people)",C6_Stay at home requirements,Indonesia,IDN,0.43453458884,"proportion, pero 100,000 people",2017.0
107,Demographics,Fixed telephone (per 100 people),C6_Stay at home requirements,Indonesia,IDN,3.10214,per 100 population,2018.0
108,Demographics,Refugee population by country or territory of asylum,C6_Stay at home requirements,Indonesia,IDN,10287.0,proportion,2019.0
109,Economics,Stock market capitalization (US$ million),C6_Stay at home requirements,Indonesia,IDN,523321860000.0,US Dollar,2019.0
110,Economics,Starting a Business (Score),C6_Stay at home requirements,Indonesia,IDN,81.2,Score,2019.0
111,Demographics,Age dependency ratio (% of working-age population),C6_Stay at home requirements,Indonesia,IDN,47.63508269396634,proportion,2019.0
