rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Mali,MLI,13.0,percent of population,2019.0
2,Health,Prevalence of COVID-19,C6_Stay at home requirements,Mali,MLI,6049.0,"Number (cumulative total by Dec 26,2020)",2020.0
3,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Mali,MLI,30.0,score,2020.0
4,Demographics,Secure Internet servers ,C6_Stay at home requirements,Mali,MLI,10.32656831195352,per 1 million people,2019.0
7,Social issues ,Press freedom score,C6_Stay at home requirements,Mali,MLI,34.12,score,2020.0
8,Economics,Volume of exports,C6_Stay at home requirements,Mali,MLI,1.158,percent change,2020.0
9,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Mali,MLI,115.085,per 100 people,2019.0
10,Health,Summary exposure value tobacco,C6_Stay at home requirements,Mali,MLI,13.12539,Rate (risk-weighted prevalence),2019.0
11,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Mali,MLI,0.633974,per 100 people,2019.0
12,Health,Prevalence of down syndrome,C6_Stay at home requirements,Mali,MLI,0.000172,percent,2019.0
13,Social issues ,Net migration,C6_Stay at home requirements,Mali,MLI,-200000.0,net total / data are 5 year estimates,2019.0
14,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Mali,MLI,70.0,percent,2019.0
15,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Mali,MLI,228097.0,number,2019.0
16,Social issues ,Life Ladder ,C6_Stay at home requirements,Mali,MLI,4.723499774932861,score,2021.0
17,Health,Prevalence of total cancers,C6_Stay at home requirements,Mali,MLI,0.001612,percent,2019.0
18,Health,Prevalence of obesity,C6_Stay at home requirements,Mali,MLI,8.6,percent,2016.0
19,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Mali,MLI,0.1286,Ones,2018.0
20,Governance,Control of corruption estimate,C6_Stay at home requirements,Mali,MLI,-0.6966435,score,2019.0
21,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Mali,MLI,27.89115646,proportion,2020.0
22,Health,Prevalence of Diabetes,C6_Stay at home requirements,Mali,MLI,0.017655,percent,2019.0
23,Governance,Government effectiveness estimate,C6_Stay at home requirements,Mali,MLI,-1.056444,score,2019.0
24,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Mali,MLI,1.1,percent,2018.0
25,Governance,Human Freedom Score ,C6_Stay at home requirements,Mali,MLI,5.92,score,2018.0
26,Governance,Human Development Index,C6_Stay at home requirements,Mali,MLI,0.434,index,2019.0
28,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,Mali,MLI,24.0,score,2021.0
29,Environment,CO2 emissions (metric tons per capita),C6_Stay at home requirements,Mali,MLI,0.176967,metric tons per capita,2016.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C6_Stay at home requirements,Mali,MLI,38.52661,micrograms per cubic meter,2017.0
31,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Mali,MLI,0.024749,percent,2019.0
32,Health,Mortality due to COVID-19,C6_Stay at home requirements,Mali,MLI,211.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Mali,MLI,61.237999,Percentage of females of the total population,2020.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C6_Stay at home requirements,Mali,MLI,7.34100008,percent of total labor force,2020.0
35,Social issues ,Proportion of women in managerial positions (%),C6_Stay at home requirements,Mali,MLI,40.15,percent,2018.0
36,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Mali,MLI,0.3585,Ones,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C6_Stay at home requirements,Mali,MLI,52.0,Cases,2019.0
39,Environment,"Adjusted net savings, including particulate emission damage",C6_Stay at home requirements,Mali,MLI,2.48222253465371,percent of GNI,2018.0
40,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C6_Stay at home requirements,Mali,MLI,25.7,percent,2020.0
41,Environment,Renewable energy consumption ,C6_Stay at home requirements,Mali,MLI,61.5269847175779,percent of total final energy consumption,2015.0
42,Governance,Voice and accountability estimate,C6_Stay at home requirements,Mali,MLI,-0.4140995,score,2019.0
43,Health,"Prevalence of HIV, total (% of population ages 15-49)",C6_Stay at home requirements,Mali,MLI,1.2,percent,2019.0
45,Governance,Regulatory quality estimate,C6_Stay at home requirements,Mali,MLI,-0.573186,score,2019.0
47,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Mali,MLI,-2.153436,score,2019.0
48,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Mali,MLI,0.034851,percent,2019.0
49,Governance,Rule of law estimate ,C6_Stay at home requirements,Mali,MLI,-0.8342336,score,2019.0
52,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Mali,MLI,0.000725,percent,2019.0
56,Governance,Total freedom in the world score ,C6_Stay at home requirements,Mali,MLI,33.0,score,2021.0
57,Economics,Volume of imports,C6_Stay at home requirements,Mali,MLI,5.028,percent change,2020.0
58,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C6_Stay at home requirements,Mali,MLI,100.0,percent of total,2017.0
60,Environment,CO2 emissions (kt),C6_Stay at home requirements,Mali,MLI,3179.289,kt,2016.0
61,Environment,Access to electricity ,C6_Stay at home requirements,Mali,MLI,50.9,percent of population,2018.0
63,Governance,Economic Freedom Score,C6_Stay at home requirements,Mali,MLI,5.93,score,2018.0
64,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Mali,MLI,0.024646,percent,2019.0
66,Governance,Aggregate score for the Political Rights category,C6_Stay at home requirements,Mali,MLI,9.0,score,2021.0
71,Economics,Employment in services (% of total employment) (modeled ILO estimate),C6_Stay at home requirements,Mali,MLI,30.1730003,Percentage of total employment,2020.0
74,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Mali,MLI,70.8150024,Percentage of total population,2020.0
77,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Mali,MLI,0.235066,percent,2019.0
82,Governance,Fragile States Index Total ,C6_Stay at home requirements,Mali,MLI,96.04331296449108,score,2020.0
83,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C6_Stay at home requirements,Mali,MLI,2.1,percent,2020.0
85,Governance,Personal Freedom Score ,C6_Stay at home requirements,Mali,MLI,5.9,score,2018.0
92,Health,"Immunization, DPT (% of children ages 12-23 months)",C6_Stay at home requirements,Mali,MLI,77.0,percent,2019.0
94,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C6_Stay at home requirements,Mali,MLI,3.0,rating,2019.0
