rank,Category,Indicator,Policy,Country,ISO,value,unit,year
3,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Niue,NIU,0.335029,percent,2019.0
4,Health,Prevalence of COVID-19,C6_Stay at home requirements,Niue,NIU,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Niue,NIU,0.043864,percent,2019.0
12,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Niue,NIU,0.035593,percent,2019.0
17,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Niue,NIU,0.145487,percent,2019.0
31,Health,Prevalence of down syndrome,C6_Stay at home requirements,Niue,NIU,0.000115,percent,2019.0
38,Health,Mortality due to COVID-19,C6_Stay at home requirements,Niue,NIU,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
39,Health,Summary exposure value tobacco,C6_Stay at home requirements,Niue,NIU,25.73212,Rate (risk-weighted prevalence),2019.0
48,Health,Prevalence of Hypertensive heart disease,C6_Stay at home requirements,Niue,NIU,0.005076,percent,2019.0
50,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C6_Stay at home requirements,Niue,NIU,5.5,percent,2018.0
51,Health,Prevalence of Diabetes,C6_Stay at home requirements,Niue,NIU,0.210708,percent,2019.0
52,Health,Prevalence of obesity,C6_Stay at home requirements,Niue,NIU,50.0,percent,2016.0
65,Economics,"Trade, total as % of GDP",C6_Stay at home requirements,Niue,NIU,65.00378,percent,2018.0
66,Health,Prevalence of total cancers,C6_Stay at home requirements,Niue,NIU,0.011615,percent,2019.0
86,Economics,"International tourism, receipts",C6_Stay at home requirements,Niue,NIU,8000000.0,US Dollar,2017.0
