rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,New Zealand,NZL,90.8111,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,New Zealand,NZL,1760000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,New Zealand,NZL,0.172893,percent,2019.0
4,Health,Prevalence of COVID-19,C6_Stay at home requirements,New Zealand,NZL,1754.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,New Zealand,NZL,0.079306,percent,2019.0
6,Environment,Electric power consumption ,C6_Stay at home requirements,New Zealand,NZL,9026.321041310952,kWh per capita,2014.0
7,Environment,Electricity production from oil sources,C6_Stay at home requirements,New Zealand,NZL,0.0022621875353467,percent of total,2015.0
8,Environment,Energy use ,C6_Stay at home requirements,New Zealand,NZL,109.8352440321211,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
9,Governance,Fragile States Index Total ,C6_Stay at home requirements,New Zealand,NZL,17.879896291384675,score,2020.0
10,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,New Zealand,NZL,12.4482,Ones,2018.0
11,Governance,Regulatory quality estimate,C6_Stay at home requirements,New Zealand,NZL,1.880907,score,2019.0
12,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,New Zealand,NZL,0.040832,percent,2019.0
13,Environment,Fossil fuel energy consumption,C6_Stay at home requirements,New Zealand,NZL,59.74917,percent of total,2015.0
14,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,New Zealand,NZL,134.932,per 100 people,2019.0
15,Governance,Economic Freedom Score,C6_Stay at home requirements,New Zealand,NZL,8.53,score,2018.0
17,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,New Zealand,NZL,0.11078,percent,2019.0
18,Environment,Combustible renewables and waste,C6_Stay at home requirements,New Zealand,NZL,5.104671,percent of total energy,2015.0
19,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,New Zealand,NZL,34.7239,per 100 people,2019.0
20,Social issues ,"Intentional homicides (per 100,000 people)",C6_Stay at home requirements,New Zealand,NZL,0.74435950948,"proportion, pero 100,000 people",2017.0
21,Environment,Energy use (kg of oil equivalent per capita),C6_Stay at home requirements,New Zealand,NZL,4444.725286681028,kg of oil equivalent per capita,2015.0
22,Economics,Volume of exports,C6_Stay at home requirements,New Zealand,NZL,3.067,percent change,2020.0
23,Governance,Corruption Perceptions Index,C6_Stay at home requirements,New Zealand,NZL,88.0,score,2020.0
24,Environment,"Energy imports, net ",C6_Stay at home requirements,New Zealand,NZL,19.47815263060601,percent of energy use,2015.0
25,Environment,CO2 emissions (kt),C6_Stay at home requirements,New Zealand,NZL,34381.79,kt,2016.0
26,Social issues ,Net migration,C6_Stay at home requirements,New Zealand,NZL,74403.0,net total / data are 5 year estimates,2019.0
27,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,New Zealand,NZL,69.7990036,Percentage of total population,2020.0
29,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,New Zealand,NZL,59.0,score,2021.0
30,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,New Zealand,NZL,1.507665,score,2019.0
31,Health,Prevalence of down syndrome,C6_Stay at home requirements,New Zealand,NZL,0.000505,percent,2019.0
32,Environment,Electricity production from coal sources ,C6_Stay at home requirements,New Zealand,NZL,4.252912566451759,percent of total,2015.0
33,Governance,Personal Freedom Score ,C6_Stay at home requirements,New Zealand,NZL,9.21,score,2018.0
34,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,New Zealand,NZL,92.0,percent,2019.0
35,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,New Zealand,NZL,40.83333333,proportion,2020.0
36,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,New Zealand,NZL,64.6780014,Percentage of females of the total population,2020.0
