rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Seychelles,SYC,58.7698,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Seychelles,SYC,20122.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Seychelles,SYC,0.335134,percent,2019.0
4,Health,Prevalence of COVID-19,C6_Stay at home requirements,Seychelles,SYC,202.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Seychelles,SYC,0.041681,percent,2019.0
9,Governance,Fragile States Index Total ,C6_Stay at home requirements,Seychelles,SYC,54.6754977355289,score,2020.0
10,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Seychelles,SYC,8.0773,Ones,2016.0
11,Governance,Regulatory quality estimate,C6_Stay at home requirements,Seychelles,SYC,-0.1530527,score,2019.0
12,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Seychelles,SYC,0.031152,percent,2019.0
14,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Seychelles,SYC,198.152,per 100 people,2019.0
15,Governance,Economic Freedom Score,C6_Stay at home requirements,Seychelles,SYC,7.49,score,2018.0
16,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C6_Stay at home requirements,Seychelles,SYC,9.8,percent,2020.0
17,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Seychelles,SYC,0.136328,percent,2019.0
19,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Seychelles,SYC,27.6031,per 100 people,2019.0
20,Social issues ,"Intentional homicides (per 100,000 people)",C6_Stay at home requirements,Seychelles,SYC,12.537743833,"proportion, pero 100,000 people",2016.0
22,Economics,Volume of exports,C6_Stay at home requirements,Seychelles,SYC,6.072,percent change,2020.0
23,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Seychelles,SYC,66.0,score,2020.0
25,Environment,CO2 emissions (kt),C6_Stay at home requirements,Seychelles,SYC,605.055,kt,2016.0
26,Social issues ,Net migration,C6_Stay at home requirements,Seychelles,SYC,-1000.0,net total / data are 5 year estimates,2019.0
29,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,Seychelles,SYC,43.0,score,2021.0
30,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Seychelles,SYC,0.689437,score,2019.0
31,Health,Prevalence of down syndrome,C6_Stay at home requirements,Seychelles,SYC,0.000143,percent,2019.0
33,Governance,Personal Freedom Score ,C6_Stay at home requirements,Seychelles,SYC,7.18,score,2018.0
34,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Seychelles,SYC,99.0,percent,2019.0
35,Social issues ,Proportion of seats held by women in national parliaments (%),C6_Stay at home requirements,Seychelles,SYC,21.21212121,proportion,2020.0
37,Economics,Volume of imports,C6_Stay at home requirements,Seychelles,SYC,5.821,percent change,2020.0
38,Health,Mortality due to COVID-19,C6_Stay at home requirements,Seychelles,SYC,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
39,Health,Summary exposure value tobacco,C6_Stay at home requirements,Seychelles,SYC,22.59532,Rate (risk-weighted prevalence),2019.0
41,Health,"Physicians (per 1,000 people)",C6_Stay at home requirements,Seychelles,SYC,2.1212,Ones,2016.0
