rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C6_Stay at home requirements,Viet Nam,VNM,68.7,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C6_Stay at home requirements,Viet Nam,VNM,3658010.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C6_Stay at home requirements,Viet Nam,VNM,0.474575,percent,2019.0
4,Health,Prevalence of COVID-19,C6_Stay at home requirements,Viet Nam,VNM,1410.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Prevalence of anxiety disorders,C6_Stay at home requirements,Viet Nam,VNM,0.025153,percent,2019.0
6,Environment,Electric power consumption ,C6_Stay at home requirements,Viet Nam,VNM,1423.68834535005,kWh per capita,2014.0
7,Environment,Electricity production from oil sources,C6_Stay at home requirements,Viet Nam,VNM,0.486029109555528,percent of total,2015.0
9,Governance,Fragile States Index Total ,C6_Stay at home requirements,Viet Nam,VNM,63.885397212926094,score,2020.0
10,Health,"Nurses and midwives (per 1,000 people)",C6_Stay at home requirements,Viet Nam,VNM,1.4463,Ones,2016.0
11,Governance,Regulatory quality estimate,C6_Stay at home requirements,Viet Nam,VNM,-0.2623483,score,2019.0
12,Health,Prevalence of Depressive disorders,C6_Stay at home requirements,Viet Nam,VNM,0.02827,percent,2019.0
14,Demographics,Mobile cellular subscriptions,C6_Stay at home requirements,Viet Nam,VNM,141.227,per 100 people,2019.0
15,Governance,Economic Freedom Score,C6_Stay at home requirements,Viet Nam,VNM,6.2,score,2018.0
16,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C6_Stay at home requirements,Viet Nam,VNM,6.0,percent,2020.0
17,Health,Prevalence of chronic kidney disease,C6_Stay at home requirements,Viet Nam,VNM,0.107366,percent,2019.0
19,Demographics,Fixed broadband subscriptions,C6_Stay at home requirements,Viet Nam,VNM,15.3453,per 100 people,2019.0
22,Economics,Volume of exports,C6_Stay at home requirements,Viet Nam,VNM,12.471,percent change,2020.0
23,Governance,Corruption Perceptions Index,C6_Stay at home requirements,Viet Nam,VNM,36.0,score,2020.0
25,Environment,CO2 emissions (kt),C6_Stay at home requirements,Viet Nam,VNM,192667.8,kt,2016.0
26,Social issues ,Net migration,C6_Stay at home requirements,Viet Nam,VNM,-399999.0,net total / data are 5 year estimates,2019.0
27,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C6_Stay at home requirements,Viet Nam,VNM,77.2990036,Percentage of total population,2020.0
29,Governance,Aggregate score for the Civil Liberties category,C6_Stay at home requirements,Viet Nam,VNM,16.0,score,2021.0
30,Governance,Political stability and absence of violence/terrorism estimate,C6_Stay at home requirements,Viet Nam,VNM,0.1318749,score,2019.0
31,Health,Prevalence of down syndrome,C6_Stay at home requirements,Viet Nam,VNM,0.000126,percent,2019.0
32,Environment,Electricity production from coal sources ,C6_Stay at home requirements,Viet Nam,VNM,29.57144627910466,percent of total,2015.0
33,Governance,Personal Freedom Score ,C6_Stay at home requirements,Viet Nam,VNM,6.3,score,2018.0
34,Health,"Immunization, measles (% of children ages 12-23 months)",C6_Stay at home requirements,Viet Nam,VNM,95.0,percent,2019.0
