rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Aruba,ABW,97.17,percent of population,2019.0
3,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Aruba,ABW,35000.0,number,2019.0
4,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Aruba,ABW,5124.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Aruba,ABW,1.263128,score,2019.0
10,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Aruba,ABW,47.0,"Number (cumulative total by Dec 26,2020)",2020.0
11,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Aruba,ABW,18.2095,per 100 people,2019.0
16,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Aruba,ABW,8.426911,metric tons per capita,2016.0
21,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Aruba,ABW,1.294189,score,2019.0
27,Social issues ,Net migration,C7_Restrictions on internal movement,Aruba,ABW,1004.0,net total / data are 5 year estimates,2019.0
28,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Aruba,ABW,1.029933,score,2019.0
34,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Aruba,ABW,883.747,kt,2016.0
39,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Aruba,ABW,1401.508738265892,per 1 million people,2019.0
41,Environment,Renewable energy consumption ,C7_Restrictions on internal movement,Aruba,ABW,6.72674756598399,percent of total final energy consumption,2015.0
44,Demographics,"Age dependency ratio, old (% of working-age population)",C7_Restrictions on internal movement,Aruba,ABW,20.57685688717561,proportion,2019.0
45,Demographics,Age dependency ratio (% of working-age population),C7_Restrictions on internal movement,Aruba,ABW,46.36745370689062,proportion,2019.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Aruba,ABW,1.9272278754,"proportion, pero 100,000 people",2014.0
56,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Aruba,ABW,2.2,Cases,2019.0
58,Environment,Access to electricity ,C7_Restrictions on internal movement,Aruba,ABW,100.0,percent of population,2018.0
59,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C7_Restrictions on internal movement,Aruba,ABW,97.8074188232422,proportion,2018.0
65,Demographics,People using at least basic sanitation services (% of population),C7_Restrictions on internal movement,Aruba,ABW,97.5434811165022,proportion,2016.0
67,Demographics,Urban population (% of total population),C7_Restrictions on internal movement,Aruba,ABW,43.546,total,2019.0
74,Social issues ,"Primary completion rate, total (% of relevant age group)",C7_Restrictions on internal movement,Aruba,ABW,101.180557250977,proportion,2014.0
78,Governance,Control of corruption estimate,C7_Restrictions on internal movement,Aruba,ABW,1.217238,score,2019.0
82,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Aruba,ABW,1.357372,score,2019.0
84,Demographics,"Population, total",C7_Restrictions on internal movement,Aruba,ABW,106314.0,total,2019.0
85,Demographics,Rural population (% of total population),C7_Restrictions on internal movement,Aruba,ABW,56.454,proportion,2019.0
91,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Aruba,ABW,0.8573601,score,2019.0
117,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Aruba,ABW,135.134,per 100 people,2019.0
