rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Bahamas,BHS,85.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Bahamas,BHS,63.0,score,2020.0
3,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Bahamas,BHS,7733.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Bahamas,BHS,1586.72287807909,per 1 million people,2019.0
6,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Bahamas,BHS,109.249,per 100 people,2019.0
8,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Bahamas,BHS,164.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Bahamas,BHS,13.84884,Rate (risk-weighted prevalence),2019.0
10,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Bahamas,BHS,0.000294,percent,2019.0
11,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Bahamas,BHS,1785.829,kt,2016.0
14,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Bahamas,BHS,0.035205,percent,2019.0
16,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Bahamas,BHS,0.091191,percent,2019.0
17,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Bahamas,BHS,86.0,percent,2019.0
18,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Bahamas,BHS,21.1293,per 100 people,2019.0
19,Social issues ,Net migration,C7_Restrictions on internal movement,Bahamas,BHS,4999.0,net total / data are 5 year estimates,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Bahamas,BHS,0.266667,percent,2019.0
23,Economics,Volume of imports,C7_Restrictions on internal movement,Bahamas,BHS,-2.25,percent change,2020.0
25,Economics,"Central government debt, total",C7_Restrictions on internal movement,Bahamas,BHS,51.46341954143438,percent of GDP,2016.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C7_Restrictions on internal movement,Bahamas,BHS,17.36772,micrograms per cubic meter,2017.0
27,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Bahamas,BHS,0.048978,percent,2019.0
