rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Czech Republic,CZE,80.8669,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Czech Republic,CZE,54.0,score,2020.0
3,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Czech Republic,CZE,618836.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Czech Republic,CZE,56198.25245468269,per 1 million people,2019.0
6,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Czech Republic,CZE,123.536,per 100 people,2019.0
7,Social issues ,Life Ladder ,C7_Restrictions on internal movement,Czech Republic,CZE,6.964700222015381,score,2021.0
8,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Czech Republic,CZE,10271.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Czech Republic,CZE,27.67085,Rate (risk-weighted prevalence),2019.0
10,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Czech Republic,CZE,0.000123,percent,2019.0
11,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Czech Republic,CZE,102217.6,kt,2016.0
12,Environment,Electric power consumption ,C7_Restrictions on internal movement,Czech Republic,CZE,6258.891037036594,kWh per capita,2014.0
13,Social issues ,Press freedom score,C7_Restrictions on internal movement,Czech Republic,CZE,23.57,score,2020.0
14,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Czech Republic,CZE,0.038372,percent,2019.0
15,Environment,Electricity production from nuclear sources ,C7_Restrictions on internal movement,Czech Republic,CZE,32.48886414253897,percent of total,2015.0
16,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Czech Republic,CZE,0.164171,percent,2019.0
17,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Czech Republic,CZE,97.0,percent,2019.0
18,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Czech Republic,CZE,33.5366,per 100 people,2019.0
19,Social issues ,Net migration,C7_Restrictions on internal movement,Czech Republic,CZE,110057.0,net total / data are 5 year estimates,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Czech Republic,CZE,0.179753,percent,2019.0
22,Environment,"Electricity production from oil, gas and coal sources",C7_Restrictions on internal movement,Czech Republic,CZE,55.91531906652465,percent of total,2015.0
23,Economics,Volume of imports,C7_Restrictions on internal movement,Czech Republic,CZE,4.7,percent change,2020.0
24,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Czech Republic,CZE,31.62369863145948,percent of energy use,2015.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C7_Restrictions on internal movement,Czech Republic,CZE,16.07125,micrograms per cubic meter,2017.0
27,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Czech Republic,CZE,0.037042,percent,2019.0
28,Health,Prevalence of Hypertensive heart disease,C7_Restrictions on internal movement,Czech Republic,CZE,0.002634,percent,2019.0
29,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Czech Republic,CZE,0.8856382,score,2019.0
30,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Czech Republic,CZE,52.8160019,Percentage of females of the total population,2020.0
31,Economics,Volume of exports,C7_Restrictions on internal movement,Czech Republic,CZE,4.0,percent change,2020.0
32,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Czech Republic,CZE,7.81,score,2018.0
33,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Czech Republic,CZE,3860.002964140444,kg of oil equivalent per capita,2015.0
34,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Czech Republic,CZE,0.1137794131887286,percent of total,2015.0
35,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Czech Republic,CZE,1.046504,score,2019.0
36,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Czech Republic,CZE,0.9368531,score,2019.0
37,Governance,Personal Freedom Score ,C7_Restrictions on internal movement,Czech Republic,CZE,8.76,score,2018.0
38,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Czech Republic,CZE,1473000.0,number,2019.0
39,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Czech Republic,CZE,0.030152,percent,2019.0
40,Environment,Renewable energy consumption ,C7_Restrictions on internal movement,Czech Republic,CZE,14.8285619496241,percent of total final energy consumption,2015.0
41,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Czech Republic,CZE,0.128147,percent,2019.0
42,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Czech Republic,CZE,99.6772126159304,percent of total,2017.0
43,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Czech Republic,CZE,7627000000.0,kWh,2015.0
44,Health,Prevalence of obesity,C7_Restrictions on internal movement,Czech Republic,CZE,26.0,percent,2016.0
45,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Czech Republic,CZE,6.6,percent,2020.0
46,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Czech Republic,CZE,60.3320007,Percentage of total population,2020.0
47,Environment,Combustible renewables and waste,C7_Restrictions on internal movement,Czech Republic,CZE,6.81918,percent of total energy,2015.0
50,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Czech Republic,CZE,8.3955,Ones,2017.0
51,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Czech Republic,CZE,9.673899,metric tons per capita,2016.0
53,Economics,Employment in services (% of total employment) (modeled ILO estimate),C7_Restrictions on internal movement,Czech Republic,CZE,60.2360001,Percentage of total employment,2020.0
54,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Czech Republic,CZE,0.952085,score,2019.0
57,Governance,Fragile States Index Total ,C7_Restrictions on internal movement,Czech Republic,CZE,37.6,score,2019.0
59,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Czech Republic,CZE,2.5,percent,2020.0
60,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Czech Republic,CZE,4.9,Cases,2019.0
61,Health,"Physicians (per 1,000 people)",C7_Restrictions on internal movement,Czech Republic,CZE,4.1208,Ones,2018.0
62,Governance,Total freedom in the world score ,C7_Restrictions on internal movement,Czech Republic,CZE,91.0,score,2021.0
63,Social issues ,Gini index (World Bank estimate),C7_Restrictions on internal movement,Czech Republic,CZE,24.9,index ,2017.0
65,Governance,Aggregate score for the Civil Liberties category,C7_Restrictions on internal movement,Czech Republic,CZE,55.0,score,2021.0
66,Governance,Human Development Index,C7_Restrictions on internal movement,Czech Republic,CZE,0.9,index,2019.0
67,Governance,Control of corruption estimate,C7_Restrictions on internal movement,Czech Republic,CZE,0.5062277,score,2019.0
68,Environment,Energy use ,C7_Restrictions on internal movement,Czech Republic,CZE,106.3159289322501,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
69,Environment,Electricity production from coal sources ,C7_Restrictions on internal movement,Czech Republic,CZE,53.06115038249249,percent of total,2015.0
70,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C7_Restrictions on internal movement,Czech Republic,CZE,6.3,percent,2018.0
72,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C7_Restrictions on internal movement,Czech Republic,CZE,1.90999997,percent of total labor force,2020.0
73,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Czech Republic,CZE,0.62024059321,"proportion, pero 100,000 people",2017.0
74,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Czech Republic,CZE,8.29,score,2018.0
75,Environment,"Adjusted net savings, including particulate emission damage",C7_Restrictions on internal movement,Czech Republic,CZE,10.1819502482122,percent of GNI,2017.0
