rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Germany,DEU,88.1345,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Germany,DEU,0.120647,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Germany,DEU,40400000.0,number,2019.0
4,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Germany,DEU,1471238.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Germany,DEU,1.618773,score,2019.0
6,Environment,Fossil fuel energy consumption,C7_Restrictions on internal movement,Germany,DEU,78.86255,percent of total,2015.0
7,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Germany,DEU,0.9686926160005117,percent of total,2015.0
8,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Germany,DEU,8.52,score,2018.0
9,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Germany,DEU,29.39,percent,2018.0
10,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Germany,DEU,25640.0,"Number (cumulative total by Dec 26,2020)",2020.0
11,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Germany,DEU,41.9933,per 100 people,2019.0
13,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Germany,DEU,7.85,score,2018.0
14,Governance,Fragile States Index Total ,C7_Restrictions on internal movement,Germany,DEU,23.188488518886743,score,2020.0
15,Environment,"Adjusted net savings, including particulate emission damage",C7_Restrictions on internal movement,Germany,DEU,14.4384263548029,percent of GNI,2018.0
16,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Germany,DEU,8.840129,metric tons per capita,2016.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Germany,DEU,4.1,percent,2020.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C7_Restrictions on internal movement,Germany,DEU,8.9,percent,2018.0
19,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Germany,DEU,0.03995,percent,2019.0
20,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Germany,DEU,1.6,percent,2020.0
21,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Germany,DEU,1.335724,score,2019.0
22,Health,Prevalence of obesity,C7_Restrictions on internal movement,Germany,DEU,22.3,percent,2016.0
23,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Germany,DEU,0.137525,percent,2019.0
24,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Germany,DEU,0.070739,percent,2019.0
25,Economics,Volume of imports,C7_Restrictions on internal movement,Germany,DEU,4.695,percent change,2020.0
26,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Germany,DEU,0.000488,percent,2019.0
27,Social issues ,Net migration,C7_Restrictions on internal movement,Germany,DEU,2719112.0,net total / data are 5 year estimates,2019.0
28,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Germany,DEU,1.585309,score,2019.0
29,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Germany,DEU,61.40016936873751,percent of energy use,2015.0
30,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Germany,DEU,93.0,percent,2019.0
31,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Germany,DEU,89.1743564300489,percent of total,2017.0
32,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Germany,DEU,80.0,score,2020.0
33,Social issues ,Proportion of seats held by women in national parliaments (%),C7_Restrictions on internal movement,Germany,DEU,31.17066291,proportion,2020.0
34,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Germany,DEU,727972.8,kt,2016.0
35,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Germany,DEU,55.2949982,Percentage of females of the total population,2020.0
37,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Germany,DEU,24.87317,Rate (risk-weighted prevalence),2019.0
38,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Germany,DEU,0.122693,percent,2019.0
39,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Germany,DEU,77932.67011255088,per 1 million people,2019.0
40,Governance,Serious assault (rate),C7_Restrictions on internal movement,Germany,DEU,164.48,rate,2018.0
41,Environment,Renewable energy consumption ,C7_Restrictions on internal movement,Germany,DEU,14.2062526977772,percent of total final energy consumption,2015.0
42,Health,"Physicians (per 1,000 people)",C7_Restrictions on internal movement,Germany,DEU,4.2488,Ones,2017.0
43,Environment,Combustible renewables and waste,C7_Restrictions on internal movement,Germany,DEU,4.069535,percent of total energy,2015.0
46,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Germany,DEU,13.2352,Ones,2017.0
48,Social issues ,Press freedom score,C7_Restrictions on internal movement,Germany,DEU,12.16,score,2020.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Germany,DEU,0.9479766191,"proportion, pero 100,000 people",2018.0
52,Governance,Aggregate score for the Political Rights category,C7_Restrictions on internal movement,Germany,DEU,39.0,score,2021.0
53,Governance,Human Development Index,C7_Restrictions on internal movement,Germany,DEU,0.947,index,2019.0
54,Environment,"PM2.5 air pollution, mean annual exposure",C7_Restrictions on internal movement,Germany,DEU,12.02877,micrograms per cubic meter,2017.0
55,Health,"Immunization, measles (% of children ages 12-23 months)",C7_Restrictions on internal movement,Germany,DEU,97.0,percent,2019.0
56,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Germany,DEU,5.8,Cases,2019.0
57,Economics,Employment in services (% of total employment) (modeled ILO estimate),C7_Restrictions on internal movement,Germany,DEU,72.052002,Percentage of total employment,2020.0
58,Environment,Access to electricity ,C7_Restrictions on internal movement,Germany,DEU,100.0,percent of population,2018.0
60,Environment,Electricity production from coal sources ,C7_Restrictions on internal movement,Germany,DEU,44.26280916178212,percent of total,2015.0
62,Social issues ,Life Ladder ,C7_Restrictions on internal movement,Germany,DEU,7.1545000076293945,score,2021.0
63,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Germany,DEU,0.043177,percent,2019.0
64,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C7_Restrictions on internal movement,Germany,DEU,3.0250001,percent of total labor force,2020.0
66,Economics,Volume of exports,C7_Restrictions on internal movement,Germany,DEU,3.798,percent change,2020.0
68,Environment,Energy use ,C7_Restrictions on internal movement,Germany,DEU,74.30740681793812,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
69,Environment,"Electricity production from oil, gas and coal sources",C7_Restrictions on internal movement,Germany,DEU,55.06305316810381,percent of total,2015.0
71,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Germany,DEU,3817.549414554608,kg of oil equivalent per capita,2015.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Germany,DEU,60.7789993,Percentage of total population,2020.0
76,Governance,Personal Freedom Score ,C7_Restrictions on internal movement,Germany,DEU,9.19,score,2018.0
78,Governance,Control of corruption estimate,C7_Restrictions on internal movement,Germany,DEU,1.895473,score,2019.0
79,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Germany,DEU,168389000000.0,kWh,2015.0
81,Environment,Electricity production from nuclear sources ,C7_Restrictions on internal movement,Germany,DEU,14.31992598682927,percent of total,2015.0
82,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Germany,DEU,0.5828653,score,2019.0
86,Governance,Total freedom in the world score ,C7_Restrictions on internal movement,Germany,DEU,94.0,score,2021.0
87,Environment,Electric power consumption ,C7_Restrictions on internal movement,Germany,DEU,7035.48297471676,kWh per capita,2014.0
89,Social issues ,Gini index (World Bank estimate),C7_Restrictions on internal movement,Germany,DEU,31.9,index ,2016.0
90,Health,Prevalence of Hypertensive heart disease,C7_Restrictions on internal movement,Germany,DEU,0.004259,percent,2019.0
91,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Germany,DEU,1.72305,score,2019.0
100,Governance,Aggregate score for the Civil Liberties category,C7_Restrictions on internal movement,Germany,DEU,55.0,score,2021.0
117,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Germany,DEU,128.357,per 100 people,2019.0
