rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Ghana,GHA,39.0,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Ghana,GHA,0.264989,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Ghana,GHA,288531.0,number,2019.0
4,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Ghana,GHA,53653.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Ghana,GHA,0.0468897,score,2019.0
6,Environment,Fossil fuel energy consumption,C7_Restrictions on internal movement,Ghana,GHA,52.54306,percent of total,2014.0
7,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Ghana,GHA,0.0,percent of total,2015.0
8,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Ghana,GHA,7.04,score,2018.0
9,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Ghana,GHA,41.79,percent,2015.0
10,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Ghana,GHA,331.0,"Number (cumulative total by Dec 26,2020)",2020.0
11,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Ghana,GHA,0.188919,per 100 people,2019.0
12,Health,"Prevalence of HIV, total (% of population ages 15-49)",C7_Restrictions on internal movement,Ghana,GHA,1.7,percent,2019.0
13,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Ghana,GHA,6.65,score,2018.0
14,Governance,Fragile States Index Total ,C7_Restrictions on internal movement,Ghana,GHA,64.15816913182405,score,2020.0
15,Environment,"Adjusted net savings, including particulate emission damage",C7_Restrictions on internal movement,Ghana,GHA,-8.40219247954008,percent of GNI,2018.0
16,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Ghana,GHA,0.585289,metric tons per capita,2016.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Ghana,GHA,2.9,percent,2020.0
