rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Montenegro,MNE,73.4767,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Montenegro,MNE,0.199356,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Montenegro,MNE,188175.0,number,2019.0
4,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Montenegro,MNE,43470.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Montenegro,MNE,0.0957448,score,2019.0
6,Environment,Fossil fuel energy consumption,C7_Restrictions on internal movement,Montenegro,MNE,64.6647,percent of total,2014.0
7,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Montenegro,MNE,0.0,percent of total,2015.0
8,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Montenegro,MNE,7.46,score,2018.0
9,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Montenegro,MNE,28.77,percent,2018.0
10,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Montenegro,MNE,620.0,"Number (cumulative total by Dec 26,2020)",2020.0
11,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Montenegro,MNE,28.4689,per 100 people,2019.0
12,Health,"Prevalence of HIV, total (% of population ages 15-49)",C7_Restrictions on internal movement,Montenegro,MNE,0.1,percent,2019.0
13,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Montenegro,MNE,6.94,score,2018.0
14,Governance,Fragile States Index Total ,C7_Restrictions on internal movement,Montenegro,MNE,55.46679468409825,score,2020.0
16,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Montenegro,MNE,3.240945,metric tons per capita,2016.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Montenegro,MNE,10.2,percent,2020.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C7_Restrictions on internal movement,Montenegro,MNE,5.1,percent,2018.0
19,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Montenegro,MNE,0.022365,percent,2019.0
20,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Montenegro,MNE,8.1,percent,2020.0
21,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Montenegro,MNE,0.0266633,score,2019.0
22,Health,Prevalence of obesity,C7_Restrictions on internal movement,Montenegro,MNE,23.3,percent,2016.0
23,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Montenegro,MNE,0.107446,percent,2019.0
24,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Montenegro,MNE,0.042754,percent,2019.0
25,Economics,Volume of imports,C7_Restrictions on internal movement,Montenegro,MNE,-2.435,percent change,2020.0
26,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Montenegro,MNE,0.000168,percent,2019.0
27,Social issues ,Net migration,C7_Restrictions on internal movement,Montenegro,MNE,-2400.0,net total / data are 5 year estimates,2019.0
28,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Montenegro,MNE,0.1562576,score,2019.0
29,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Montenegro,MNE,27.56913690214823,percent of energy use,2014.0
30,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Montenegro,MNE,86.0,percent,2019.0
31,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Montenegro,MNE,100.0,percent of total,2017.0
32,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Montenegro,MNE,45.0,score,2020.0
33,Social issues ,Proportion of seats held by women in national parliaments (%),C7_Restrictions on internal movement,Montenegro,MNE,29.62962963,proportion,2020.0
34,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Montenegro,MNE,2016.85,kt,2016.0
35,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Montenegro,MNE,46.5569992,Percentage of females of the total population,2020.0
37,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Montenegro,MNE,42.78492,Rate (risk-weighted prevalence),2019.0
38,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Montenegro,MNE,0.123401,percent,2019.0
