rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Mauritius,MUS,63.9999,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Mauritius,MUS,0.317767,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Mauritius,MUS,434300.0,number,2019.0
4,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Mauritius,MUS,524.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Mauritius,MUS,0.7635766,score,2019.0
6,Environment,Fossil fuel energy consumption,C7_Restrictions on internal movement,Mauritius,MUS,84.54236,percent of total,2014.0
7,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Mauritius,MUS,37.83783783783784,percent of total,2015.0
8,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Mauritius,MUS,7.55,score,2018.0
9,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Mauritius,MUS,32.14,percent,2018.0
10,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Mauritius,MUS,10.0,"Number (cumulative total by Dec 26,2020)",2020.0
11,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Mauritius,MUS,21.6385,per 100 people,2019.0
12,Health,"Prevalence of HIV, total (% of population ages 15-49)",C7_Restrictions on internal movement,Mauritius,MUS,1.2,percent,2019.0
13,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Mauritius,MUS,8.21,score,2018.0
14,Governance,Fragile States Index Total ,C7_Restrictions on internal movement,Mauritius,MUS,37.18472003299283,score,2020.0
15,Environment,"Adjusted net savings, including particulate emission damage",C7_Restrictions on internal movement,Mauritius,MUS,3.04519887841665,percent of GNI,2018.0
16,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Mauritius,MUS,3.442149,metric tons per capita,2016.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Mauritius,MUS,7.6,percent,2020.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C7_Restrictions on internal movement,Mauritius,MUS,2.5,percent,2018.0
19,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Mauritius,MUS,0.009881,percent,2019.0
20,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Mauritius,MUS,8.7,percent,2020.0
21,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Mauritius,MUS,0.8081411,score,2019.0
22,Health,Prevalence of obesity,C7_Restrictions on internal movement,Mauritius,MUS,10.8,percent,2016.0
23,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Mauritius,MUS,0.152737,percent,2019.0
24,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Mauritius,MUS,0.043671,percent,2019.0
25,Economics,Volume of imports,C7_Restrictions on internal movement,Mauritius,MUS,3.746,percent change,2020.0
26,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Mauritius,MUS,0.000122,percent,2019.0
27,Social issues ,Net migration,C7_Restrictions on internal movement,Mauritius,MUS,0.0,net total / data are 5 year estimates,2019.0
28,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Mauritius,MUS,0.8711399,score,2019.0
29,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Mauritius,MUS,84.5422889477177,percent of energy use,2014.0
30,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Mauritius,MUS,96.0,percent,2019.0
31,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Mauritius,MUS,100.0,percent of total,2017.0
32,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Mauritius,MUS,53.0,score,2020.0
33,Social issues ,Proportion of seats held by women in national parliaments (%),C7_Restrictions on internal movement,Mauritius,MUS,20.0,proportion,2020.0
34,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Mauritius,MUS,4349.062,kt,2016.0
35,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Mauritius,MUS,45.1290016,Percentage of females of the total population,2020.0
37,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Mauritius,MUS,20.56563,Rate (risk-weighted prevalence),2019.0
38,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Mauritius,MUS,0.180578,percent,2019.0
39,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Mauritius,MUS,515.1254907320865,per 1 million people,2019.0
41,Environment,Renewable energy consumption ,C7_Restrictions on internal movement,Mauritius,MUS,11.5373619624728,percent of total final energy consumption,2015.0
42,Health,"Physicians (per 1,000 people)",C7_Restrictions on internal movement,Mauritius,MUS,2.5331,Ones,2018.0
43,Environment,Combustible renewables and waste,C7_Restrictions on internal movement,Mauritius,MUS,5.095082,percent of total energy,2014.0
46,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Mauritius,MUS,3.5152,Ones,2017.0
48,Social issues ,Press freedom score,C7_Restrictions on internal movement,Mauritius,MUS,28.0,score,2020.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Mauritius,MUS,2.9198600992,"proportion, pero 100,000 people",2018.0
52,Governance,Aggregate score for the Political Rights category,C7_Restrictions on internal movement,Mauritius,MUS,37.0,score,2021.0
53,Governance,Human Development Index,C7_Restrictions on internal movement,Mauritius,MUS,0.804,index,2019.0
54,Environment,"PM2.5 air pollution, mean annual exposure",C7_Restrictions on internal movement,Mauritius,MUS,14.45783,micrograms per cubic meter,2017.0
55,Health,"Immunization, measles (% of children ages 12-23 months)",C7_Restrictions on internal movement,Mauritius,MUS,99.0,percent,2019.0
56,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Mauritius,MUS,12.0,Cases,2019.0
57,Economics,Employment in services (% of total employment) (modeled ILO estimate),C7_Restrictions on internal movement,Mauritius,MUS,69.0080032,Percentage of total employment,2020.0
58,Environment,Access to electricity ,C7_Restrictions on internal movement,Mauritius,MUS,97.4660034179688,percent of population,2018.0
