rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Malaysia,MYS,84.2132,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Malaysia,MYS,0.30909,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Malaysia,MYS,6474400.0,number,2019.0
4,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Malaysia,MYS,90816.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Malaysia,MYS,0.5909452,score,2019.0
6,Environment,Fossil fuel energy consumption,C7_Restrictions on internal movement,Malaysia,MYS,96.6282,percent of total,2014.0
7,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Malaysia,MYS,1.158383458897038,percent of total,2015.0
8,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Malaysia,MYS,6.9,score,2018.0
9,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Malaysia,MYS,24.65,percent,2018.0
10,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Malaysia,MYS,432.0,"Number (cumulative total by Dec 26,2020)",2020.0
11,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Malaysia,MYS,9.27863,per 100 people,2019.0
12,Health,"Prevalence of HIV, total (% of population ages 15-49)",C7_Restrictions on internal movement,Malaysia,MYS,0.4,percent,2019.0
13,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Malaysia,MYS,7.58,score,2018.0
14,Governance,Fragile States Index Total ,C7_Restrictions on internal movement,Malaysia,MYS,57.561895525091394,score,2020.0
15,Environment,"Adjusted net savings, including particulate emission damage",C7_Restrictions on internal movement,Malaysia,MYS,2.80734012502582,percent of GNI,2018.0
16,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Malaysia,MYS,8.091592,metric tons per capita,2016.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Malaysia,MYS,6.1,percent,2020.0
18,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C7_Restrictions on internal movement,Malaysia,MYS,1.9,percent,2018.0
19,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Malaysia,MYS,0.007929,percent,2019.0
20,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Malaysia,MYS,20.9,percent,2020.0
21,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Malaysia,MYS,-0.0434295,score,2019.0
22,Health,Prevalence of obesity,C7_Restrictions on internal movement,Malaysia,MYS,15.6,percent,2016.0
23,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Malaysia,MYS,0.062201,percent,2019.0
24,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Malaysia,MYS,0.050227,percent,2019.0
25,Economics,Volume of imports,C7_Restrictions on internal movement,Malaysia,MYS,4.042,percent change,2020.0
26,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Malaysia,MYS,0.000142,percent,2019.0
27,Social issues ,Net migration,C7_Restrictions on internal movement,Malaysia,MYS,249999.0,net total / data are 5 year estimates,2019.0
28,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Malaysia,MYS,0.9986857,score,2019.0
29,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Malaysia,MYS,-5.505028940595212,percent of energy use,2014.0
30,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Malaysia,MYS,98.0,percent,2019.0
31,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Malaysia,MYS,90.537343806725,percent of total,2017.0
32,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Malaysia,MYS,51.0,score,2020.0
33,Social issues ,Proportion of seats held by women in national parliaments (%),C7_Restrictions on internal movement,Malaysia,MYS,14.41441441,proportion,2020.0
34,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Malaysia,MYS,248288.9,kt,2016.0
35,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Malaysia,MYS,50.8989983,Percentage of females of the total population,2020.0
37,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Malaysia,MYS,26.38309,Rate (risk-weighted prevalence),2019.0
38,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Malaysia,MYS,0.105447,percent,2019.0
39,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Malaysia,MYS,6723.927994865191,per 1 million people,2019.0
41,Environment,Renewable energy consumption ,C7_Restrictions on internal movement,Malaysia,MYS,5.19444258901529,percent of total final energy consumption,2015.0
42,Health,"Physicians (per 1,000 people)",C7_Restrictions on internal movement,Malaysia,MYS,1.5358,Ones,2015.0
43,Environment,Combustible renewables and waste,C7_Restrictions on internal movement,Malaysia,MYS,1.32463,percent of total energy,2014.0
