rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Saudi Arabia,SAU,95.7247,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Saudi Arabia,SAU,53.0,score,2020.0
3,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Saudi Arabia,SAU,360690.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Saudi Arabia,SAU,182.558176995522,per 1 million people,2019.0
6,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Saudi Arabia,SAU,120.515,per 100 people,2019.0
7,Social issues ,Life Ladder ,C7_Restrictions on internal movement,Saudi Arabia,SAU,6.49399995803833,score,2021.0
8,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Saudi Arabia,SAU,6101.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Saudi Arabia,SAU,27.17787,Rate (risk-weighted prevalence),2019.0
10,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.000276,percent,2019.0
11,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Saudi Arabia,SAU,563449.2,kt,2016.0
12,Environment,Electric power consumption ,C7_Restrictions on internal movement,Saudi Arabia,SAU,9401.366769356684,kWh per capita,2014.0
13,Social issues ,Press freedom score,C7_Restrictions on internal movement,Saudi Arabia,SAU,62.14,score,2020.0
14,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.049011,percent,2019.0
15,Environment,Electricity production from nuclear sources ,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.0,percent of total,2014.0
16,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.078591,percent,2019.0
17,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Saudi Arabia,SAU,96.0,percent,2019.0
18,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Saudi Arabia,SAU,19.849,per 100 people,2019.0
19,Social issues ,Net migration,C7_Restrictions on internal movement,Saudi Arabia,SAU,674895.0,net total / data are 5 year estimates,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.220727,percent,2019.0
22,Environment,"Electricity production from oil, gas and coal sources",C7_Restrictions on internal movement,Saudi Arabia,SAU,76.21003972382483,percent of total,2015.0
23,Economics,Volume of imports,C7_Restrictions on internal movement,Saudi Arabia,SAU,2.814,percent change,2020.0
24,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Saudi Arabia,SAU,-191.5238831163004,percent of energy use,2014.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C7_Restrictions on internal movement,Saudi Arabia,SAU,87.94545,micrograms per cubic meter,2017.0
27,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.051612,percent,2019.0
28,Health,Prevalence of Hypertensive heart disease,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.000495,percent,2019.0
29,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.3064449,score,2019.0
30,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Saudi Arabia,SAU,22.2579994,Percentage of females of the total population,2020.0
31,Economics,Volume of exports,C7_Restrictions on internal movement,Saudi Arabia,SAU,1.103,percent change,2020.0
32,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Saudi Arabia,SAU,6.31,score,2018.0
33,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Saudi Arabia,SAU,6905.75610293808,kg of oil equivalent per capita,2014.0
34,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Saudi Arabia,SAU,20.4063416248936,percent of total,2015.0
35,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Saudi Arabia,SAU,0.1685559,score,2019.0
36,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Saudi Arabia,SAU,-1.616917,score,2019.0
37,Governance,Personal Freedom Score ,C7_Restrictions on internal movement,Saudi Arabia,SAU,4.26,score,2018.0
38,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Saudi Arabia,SAU,5377980.0,number,2019.0
