rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Syria,SYR,34.2534,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Syria,SYR,0.191192,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Syria,SYR,2843100.0,number,2019.0
4,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Syria,SYR,9928.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Syria,SYR,-2.076063,score,2019.0
6,Environment,Fossil fuel energy consumption,C7_Restrictions on internal movement,Syria,SYR,97.79178,percent of total,2014.0
7,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Syria,SYR,29.06437000167776,percent of total,2015.0
8,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Syria,SYR,3.97,score,2018.0
10,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Syria,SYR,591.0,"Number (cumulative total by Dec 26,2020)",2020.0
11,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Syria,SYR,8.73071,per 100 people,2019.0
12,Health,"Prevalence of HIV, total (% of population ages 15-49)",C7_Restrictions on internal movement,Syria,SYR,0.1,percent,2019.0
13,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Syria,SYR,5.45,score,2018.0
14,Governance,Fragile States Index Total ,C7_Restrictions on internal movement,Syria,SYR,110.74969653593257,score,2020.0
16,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Syria,SYR,1.651774,metric tons per capita,2016.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Syria,SYR,18.2,percent,2020.0
19,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Syria,SYR,0.004978,percent,2019.0
20,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Syria,SYR,29.6,percent,2020.0
21,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Syria,SYR,-1.979875,score,2019.0
22,Health,Prevalence of obesity,C7_Restrictions on internal movement,Syria,SYR,19.5,percent,2016.0
23,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Syria,SYR,0.069903,percent,2019.0
24,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Syria,SYR,0.061582,percent,2019.0
26,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Syria,SYR,0.000451,percent,2019.0
27,Social issues ,Net migration,C7_Restrictions on internal movement,Syria,SYR,-2136954.0,net total / data are 5 year estimates,2019.0
28,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Syria,SYR,-1.711279,score,2019.0
29,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Syria,SYR,47.83373500266329,percent of energy use,2014.0
30,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Syria,SYR,54.0,percent,2019.0
31,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Syria,SYR,100.0,percent of total,2017.0
32,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Syria,SYR,14.0,score,2020.0
33,Social issues ,Proportion of seats held by women in national parliaments (%),C7_Restrictions on internal movement,Syria,SYR,11.2,proportion,2020.0
34,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Syria,SYR,28829.95,kt,2016.0
35,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Syria,SYR,14.3070002,Percentage of females of the total population,2020.0
37,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Syria,SYR,32.0904,Rate (risk-weighted prevalence),2019.0
38,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Syria,SYR,0.093305,percent,2019.0
39,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Syria,SYR,22.61259210896692,per 1 million people,2019.0
40,Governance,Serious assault (rate),C7_Restrictions on internal movement,Syria,SYR,0.8,rate,2018.0
41,Environment,Renewable energy consumption ,C7_Restrictions on internal movement,Syria,SYR,0.52115517170161,percent of total final energy consumption,2015.0
42,Health,"Physicians (per 1,000 people)",C7_Restrictions on internal movement,Syria,SYR,1.2874,Ones,2016.0
43,Environment,Combustible renewables and waste,C7_Restrictions on internal movement,Syria,SYR,0.04948,percent of total energy,2014.0
46,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Syria,SYR,1.5406,Ones,2016.0
48,Social issues ,Press freedom score,C7_Restrictions on internal movement,Syria,SYR,72.57,score,2020.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Syria,SYR,0.87931221497,"proportion, pero 100,000 people",2018.0
52,Governance,Aggregate score for the Political Rights category,C7_Restrictions on internal movement,Syria,SYR,-3.0,score,2021.0
53,Governance,Human Development Index,C7_Restrictions on internal movement,Syria,SYR,0.567,index,2019.0
54,Environment,"PM2.5 air pollution, mean annual exposure",C7_Restrictions on internal movement,Syria,SYR,43.75726,micrograms per cubic meter,2017.0
55,Health,"Immunization, measles (% of children ages 12-23 months)",C7_Restrictions on internal movement,Syria,SYR,59.0,percent,2019.0
56,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Syria,SYR,19.0,Cases,2019.0
57,Economics,Employment in services (% of total employment) (modeled ILO estimate),C7_Restrictions on internal movement,Syria,SYR,62.9980011,Percentage of total employment,2020.0
58,Environment,Access to electricity ,C7_Restrictions on internal movement,Syria,SYR,86.0,percent of population,2018.0
60,Environment,Electricity production from coal sources ,C7_Restrictions on internal movement,Syria,SYR,0.0,percent of total,2015.0
62,Social issues ,Life Ladder ,C7_Restrictions on internal movement,Syria,SYR,3.4619128704071045,score,2015.0
63,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Syria,SYR,0.043886,percent,2019.0
64,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C7_Restrictions on internal movement,Syria,SYR,8.44799995,percent of total labor force,2020.0
69,Environment,"Electricity production from oil, gas and coal sources",C7_Restrictions on internal movement,Syria,SYR,97.69028577820032,percent of total,2015.0
71,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Syria,SYR,577.1856869472814,kg of oil equivalent per capita,2014.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Syria,SYR,43.9580002,Percentage of total population,2020.0
76,Governance,Personal Freedom Score ,C7_Restrictions on internal movement,Syria,SYR,2.49,score,2018.0
78,Governance,Control of corruption estimate,C7_Restrictions on internal movement,Syria,SYR,-1.688553,score,2019.0
79,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Syria,SYR,0.0,kWh,2015.0
81,Environment,Electricity production from nuclear sources ,C7_Restrictions on internal movement,Syria,SYR,0.0,percent of total,2014.0
82,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Syria,SYR,-2.727996,score,2019.0
86,Governance,Total freedom in the world score ,C7_Restrictions on internal movement,Syria,SYR,1.0,score,2021.0
87,Environment,Electric power consumption ,C7_Restrictions on internal movement,Syria,SYR,974.3171391334492,kWh per capita,2014.0
90,Health,Prevalence of Hypertensive heart disease,C7_Restrictions on internal movement,Syria,SYR,0.000935,percent,2019.0
91,Governance,Regulatory quality estimate,C7_Restrictions on internal movement,Syria,SYR,-1.757903,score,2019.0
100,Governance,Aggregate score for the Civil Liberties category,C7_Restrictions on internal movement,Syria,SYR,4.0,score,2021.0
117,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Syria,SYR,113.576,per 100 people,2019.0
