rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,Uruguay,URY,76.9496,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,Uruguay,URY,71.0,score,2020.0
3,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,Uruguay,URY,11436.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,Uruguay,URY,1808.920038339168,per 1 million people,2019.0
6,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,Uruguay,URY,138.075,per 100 people,2019.0
7,Social issues ,Life Ladder ,C7_Restrictions on internal movement,Uruguay,URY,6.431399822235107,score,2021.0
8,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,Uruguay,URY,105.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,Uruguay,URY,27.89703,Rate (risk-weighted prevalence),2019.0
10,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,Uruguay,URY,0.000502,percent,2019.0
11,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,Uruguay,URY,6765.615,kt,2016.0
12,Environment,Electric power consumption ,C7_Restrictions on internal movement,Uruguay,URY,3085.194419300595,kWh per capita,2014.0
13,Social issues ,Press freedom score,C7_Restrictions on internal movement,Uruguay,URY,15.79,score,2020.0
14,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,Uruguay,URY,0.033434,percent,2019.0
15,Environment,Electricity production from nuclear sources ,C7_Restrictions on internal movement,Uruguay,URY,0.0,percent of total,2014.0
16,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,Uruguay,URY,0.056324,percent,2019.0
17,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,Uruguay,URY,94.0,percent,2019.0
18,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,Uruguay,URY,29.2457,per 100 people,2019.0
19,Social issues ,Net migration,C7_Restrictions on internal movement,Uruguay,URY,-15000.0,net total / data are 5 year estimates,2019.0
20,Health,Prevalence of Respiratory infections and tuberculosis,C7_Restrictions on internal movement,Uruguay,URY,0.21988,percent,2019.0
22,Environment,"Electricity production from oil, gas and coal sources",C7_Restrictions on internal movement,Uruguay,URY,11.4410480349345,percent of total,2015.0
23,Economics,Volume of imports,C7_Restrictions on internal movement,Uruguay,URY,7.676,percent change,2020.0
24,Environment,"Energy imports, net ",C7_Restrictions on internal movement,Uruguay,URY,44.43350088159097,percent of energy use,2014.0
25,Economics,"Central government debt, total",C7_Restrictions on internal movement,Uruguay,URY,50.68495587532548,percent of GDP,2016.0
26,Environment,"PM2.5 air pollution, mean annual exposure",C7_Restrictions on internal movement,Uruguay,URY,9.274883,micrograms per cubic meter,2017.0
27,Health,Prevalence of anxiety disorders,C7_Restrictions on internal movement,Uruguay,URY,0.057095,percent,2019.0
28,Health,Prevalence of Hypertensive heart disease,C7_Restrictions on internal movement,Uruguay,URY,0.003156,percent,2019.0
29,Governance,Government effectiveness estimate,C7_Restrictions on internal movement,Uruguay,URY,0.6957388,score,2019.0
30,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Uruguay,URY,55.7249985,Percentage of females of the total population,2020.0
31,Economics,Volume of exports,C7_Restrictions on internal movement,Uruguay,URY,3.254,percent change,2020.0
32,Governance,Economic Freedom Score,C7_Restrictions on internal movement,Uruguay,URY,7.25,score,2018.0
33,Environment,Energy use (kg of oil equivalent per capita),C7_Restrictions on internal movement,Uruguay,URY,1386.020137429516,kg of oil equivalent per capita,2014.0
34,Environment,Electricity production from oil sources,C7_Restrictions on internal movement,Uruguay,URY,11.4410480349345,percent of total,2015.0
35,Governance,Rule of law estimate ,C7_Restrictions on internal movement,Uruguay,URY,0.6212631,score,2019.0
36,Governance,Voice and accountability estimate,C7_Restrictions on internal movement,Uruguay,URY,1.25694,score,2019.0
37,Governance,Personal Freedom Score ,C7_Restrictions on internal movement,Uruguay,URY,8.59,score,2018.0
38,Demographics,Fixed telephone subscriptions,C7_Restrictions on internal movement,Uruguay,URY,1165370.0,number,2019.0
39,Health,Prevalence of total cancers,C7_Restrictions on internal movement,Uruguay,URY,0.019776,percent,2019.0
40,Environment,Renewable energy consumption ,C7_Restrictions on internal movement,Uruguay,URY,58.0220411778528,percent of total final energy consumption,2015.0
41,Health,Prevalence of chronic kidney disease,C7_Restrictions on internal movement,Uruguay,URY,0.097551,percent,2019.0
42,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C7_Restrictions on internal movement,Uruguay,URY,22.3857446597034,percent of total,2017.0
43,Environment,"Electricity production from renewable sources, excluding hydroelectric",C7_Restrictions on internal movement,Uruguay,URY,3902000000.0,kWh,2015.0
44,Health,Prevalence of obesity,C7_Restrictions on internal movement,Uruguay,URY,27.9,percent,2016.0
45,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Uruguay,URY,10.3,percent,2020.0
46,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C7_Restrictions on internal movement,Uruguay,URY,64.1350021,Percentage of total population,2020.0
47,Environment,Combustible renewables and waste,C7_Restrictions on internal movement,Uruguay,URY,33.68126,percent of total energy,2014.0
50,Health,"Nurses and midwives (per 1,000 people)",C7_Restrictions on internal movement,Uruguay,URY,1.9412,Ones,2017.0
51,Environment,CO2 emissions (metric tons per capita),C7_Restrictions on internal movement,Uruguay,URY,1.975863,metric tons per capita,2016.0
52,Demographics,Refugee population by country or territory of asylum,C7_Restrictions on internal movement,Uruguay,URY,498.0,proportion,2019.0
53,Economics,Employment in services (% of total employment) (modeled ILO estimate),C7_Restrictions on internal movement,Uruguay,URY,73.3509979,Percentage of total employment,2020.0
54,Governance,Political stability and absence of violence/terrorism estimate,C7_Restrictions on internal movement,Uruguay,URY,1.045503,score,2019.0
56,Demographics,People using at least basic sanitation services (% of population),C7_Restrictions on internal movement,Uruguay,URY,96.59619233959,proportion,2017.0
57,Governance,Fragile States Index Total ,C7_Restrictions on internal movement,Uruguay,URY,33.405777354578404,score,2020.0
58,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C7_Restrictions on internal movement,Uruguay,URY,11.4731798171997,proportion,2018.0
59,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C7_Restrictions on internal movement,Uruguay,URY,6.5,percent,2020.0
60,Health,"Incidence of tuberculosis (per 100,000 people)",C7_Restrictions on internal movement,Uruguay,URY,35.0,Cases,2019.0
61,Health,"Physicians (per 1,000 people)",C7_Restrictions on internal movement,Uruguay,URY,5.0794,Ones,2017.0
62,Governance,Total freedom in the world score ,C7_Restrictions on internal movement,Uruguay,URY,98.0,score,2021.0
63,Social issues ,Gini index (World Bank estimate),C7_Restrictions on internal movement,Uruguay,URY,39.7,index ,2018.0
65,Governance,Aggregate score for the Civil Liberties category,C7_Restrictions on internal movement,Uruguay,URY,58.0,score,2021.0
66,Governance,Human Development Index,C7_Restrictions on internal movement,Uruguay,URY,0.817,index,2019.0
67,Governance,Control of corruption estimate,C7_Restrictions on internal movement,Uruguay,URY,1.246511,score,2019.0
68,Environment,Energy use ,C7_Restrictions on internal movement,Uruguay,URY,67.34082013375085,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
69,Environment,Electricity production from coal sources ,C7_Restrictions on internal movement,Uruguay,URY,0.0,percent of total,2015.0
70,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C7_Restrictions on internal movement,Uruguay,URY,6.7,percent,2018.0
72,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C7_Restrictions on internal movement,Uruguay,URY,8.77700043,percent of total labor force,2020.0
73,Social issues ,"Intentional homicides (per 100,000 people)",C7_Restrictions on internal movement,Uruguay,URY,12.060453021,"proportion, pero 100,000 people",2018.0
74,Governance,Human Freedom Score ,C7_Restrictions on internal movement,Uruguay,URY,7.92,score,2018.0
75,Environment,"Adjusted net savings, including particulate emission damage",C7_Restrictions on internal movement,Uruguay,URY,5.16804343567211,percent of GNI,2018.0
76,Governance,Aggregate score for the Political Rights category,C7_Restrictions on internal movement,Uruguay,URY,40.0,score,2021.0
77,Social issues ,Proportion of women in managerial positions (%),C7_Restrictions on internal movement,Uruguay,URY,35.92,percent,2018.0
78,Environment,Access to electricity ,C7_Restrictions on internal movement,Uruguay,URY,100.0,percent of population,2018.0
79,Health,Hospital beds (per 10 000 population),C7_Restrictions on internal movement,Uruguay,URY,24.3,Ones,2017.0
80,Governance,Serious assault (rate),C7_Restrictions on internal movement,Uruguay,URY,15.22,rate,2018.0
81,Demographics,Rural population (% of total population),C7_Restrictions on internal movement,Uruguay,URY,4.573999999999998,proportion,2019.0
84,Social issues ,Proportion of seats held by women in national parliaments (%),C7_Restrictions on internal movement,Uruguay,URY,21.21212121,proportion,2020.0
86,Health,"Immunization, measles (% of children ages 12-23 months)",C7_Restrictions on internal movement,Uruguay,URY,96.0,percent,2019.0
88,Environment,Fossil fuel energy consumption,C7_Restrictions on internal movement,Uruguay,URY,46.27031,percent of total,2014.0
89,Demographics,Urban population (% of total population),C7_Restrictions on internal movement,Uruguay,URY,95.426,total,2019.0
