rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C7_Restrictions on internal movement,South Africa,ZAF,56.1674,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C7_Restrictions on internal movement,South Africa,ZAF,44.0,score,2020.0
3,Health,Prevalence of COVID-19,C7_Restrictions on internal movement,South Africa,ZAF,901538.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C7_Restrictions on internal movement,South Africa,ZAF,14353.10503537758,per 1 million people,2019.0
6,Demographics,Mobile cellular subscriptions,C7_Restrictions on internal movement,South Africa,ZAF,165.6,per 100 people,2019.0
7,Social issues ,Life Ladder ,C7_Restrictions on internal movement,South Africa,ZAF,4.956399917602539,score,2021.0
8,Health,Mortality due to COVID-19,C7_Restrictions on internal movement,South Africa,ZAF,24285.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Health,Summary exposure value tobacco,C7_Restrictions on internal movement,South Africa,ZAF,18.18453,Rate (risk-weighted prevalence),2019.0
10,Health,Prevalence of down syndrome,C7_Restrictions on internal movement,South Africa,ZAF,0.000186,percent,2019.0
11,Environment,CO2 emissions (kt),C7_Restrictions on internal movement,South Africa,ZAF,476644.0,kt,2016.0
12,Environment,Electric power consumption ,C7_Restrictions on internal movement,South Africa,ZAF,4197.907046917527,kWh per capita,2014.0
13,Social issues ,Press freedom score,C7_Restrictions on internal movement,South Africa,ZAF,22.41,score,2020.0
14,Health,Prevalence of Depressive disorders,C7_Restrictions on internal movement,South Africa,ZAF,0.044501,percent,2019.0
15,Environment,Electricity production from nuclear sources ,C7_Restrictions on internal movement,South Africa,ZAF,5.529299998797455,percent of total,2014.0
16,Health,Prevalence of Diabetes,C7_Restrictions on internal movement,South Africa,ZAF,0.052268,percent,2019.0
17,Health,"Immunization, DPT (% of children ages 12-23 months)",C7_Restrictions on internal movement,South Africa,ZAF,77.0,percent,2019.0
18,Demographics,Fixed broadband subscriptions,C7_Restrictions on internal movement,South Africa,ZAF,2.13523,per 100 people,2019.0
19,Social issues ,Net migration,C7_Restrictions on internal movement,South Africa,ZAF,727026.0,net total / data are 5 year estimates,2019.0
