rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Bangladesh,BGD,12.9,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Bangladesh,BGD,26.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Bangladesh,BGD,498293.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",C8_International travel controls,Bangladesh,BGD,1596754110.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Bangladesh,BGD,100.1802182879976,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Bangladesh,BGD,0.000138,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Bangladesh,BGD,0.000934,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Bangladesh,BGD,7217.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Bangladesh,BGD,49.37,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Bangladesh,BGD,0.03303,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Bangladesh,BGD,16.84170264262449,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Bangladesh,BGD,24.44582,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Bangladesh,BGD,0.00299,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Bangladesh,BGD,-0.9938096,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Bangladesh,BGD,4.95903,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Bangladesh,BGD,22.4921532083587,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Bangladesh,BGD,221.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Bangladesh,BGD,20.91690544,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Bangladesh,BGD,158000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Bangladesh,BGD,10.74,percent,2017.0
21,Social issues ,Net migration,C8_International travel controls,Bangladesh,BGD,-1847503.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Bangladesh,BGD,-0.7392301,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Bangladesh,BGD,3.6,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Bangladesh,BGD,97.0,percent,2019.0
26,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C8_International travel controls,Bangladesh,BGD,9.76054954528809,proportion,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Bangladesh,BGD,24.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Bangladesh,BGD,30.2,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Bangladesh,BGD,40.605999,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Bangladesh,BGD,5.024600028991699,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Bangladesh,BGD,0.4,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Bangladesh,BGD,34.7470690115416,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Bangladesh,BGD,0.5809,Ones,2018.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Bangladesh,BGD,85.69999999999999,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Bangladesh,BGD,15.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Bangladesh,BGD,1.689515514056701,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Bangladesh,BGD,65.28293926908019,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Bangladesh,BGD,101.549,per 100 people,2019.0
40,Demographics,Urban population (% of total population),C8_International travel controls,Bangladesh,BGD,37.405,total,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Bangladesh,BGD,98.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Bangladesh,BGD,0.044016,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Bangladesh,BGD,36.4150009,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Bangladesh,BGD,100.0,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Bangladesh,BGD,5.3,score,2018.0
46,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Bangladesh,BGD,2.1,percent,2020.0
47,Environment,Electric power consumption ,C8_International travel controls,Bangladesh,BGD,320.2041582054464,kWh per capita,2014.0
48,Environment,Fossil fuel energy consumption,C8_International travel controls,Bangladesh,BGD,73.76894,percent of total,2014.0
49,Governance,Human Freedom Score ,C8_International travel controls,Bangladesh,BGD,5.67,score,2018.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Bangladesh,BGD,0.533299,metric tons per capita,2016.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Bangladesh,BGD,2.3733287962,"proportion, pero 100,000 people",2018.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Bangladesh,BGD,0.063473,percent,2019.0
54,Demographics,"Age dependency ratio, old (% of working-age population)",C8_International travel controls,Bangladesh,BGD,7.662642767158443,proportion,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Bangladesh,BGD,-0.7217754,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Bangladesh,BGD,4.15100002,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Bangladesh,BGD,-0.9289543,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Bangladesh,BGD,1449650.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Bangladesh,BGD,-0.6363084,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Bangladesh,BGD,-0.9181735,score,2019.0
61,Demographics,People using at least basic sanitation services (% of population),C8_International travel controls,Bangladesh,BGD,48.2332427177019,proportion,2017.0
