rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Brunei,BRN,95.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Brunei,BRN,60.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Brunei,BRN,152.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",C8_International travel controls,Brunei,BRN,373256770.0,US Dollar,2019.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Brunei,BRN,10720.42650911063,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Brunei,BRN,0.001039,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Brunei,BRN,0.000477,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Brunei,BRN,3.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Brunei,BRN,49.65,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Brunei,BRN,0.032517,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Brunei,BRN,-357.3943791761478,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Brunei,BRN,23.05778,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Brunei,BRN,0.011454,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Brunei,BRN,0.8018864,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Brunei,BRN,12.5079,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Brunei,BRN,30.3570400049958,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Brunei,BRN,64.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Brunei,BRN,9.090909091,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Brunei,BRN,2000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Brunei,BRN,41.27,percent,2017.0
21,Social issues ,Net migration,C8_International travel controls,Brunei,BRN,0.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Brunei,BRN,1.318309,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Brunei,BRN,14.1,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Brunei,BRN,97.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Brunei,BRN,21.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Brunei,BRN,12.7,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Brunei,BRN,82.8290024,Percentage of total employment,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Brunei,BRN,2.3,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Brunei,BRN,0.0149350358914578,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Brunei,BRN,1.609,Ones,2017.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Brunei,BRN,56.60002751710281,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Brunei,BRN,7.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Brunei,BRN,0.0,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Brunei,BRN,135.1111877980688,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Brunei,BRN,128.645,per 100 people,2019.0
39,Social issues ,Progression to secondary school (%),C8_International travel controls,Brunei,BRN,99.80164,proportion,2017.0
40,Demographics,Urban population (% of total population),C8_International travel controls,Brunei,BRN,77.942,total,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Brunei,BRN,99.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Brunei,BRN,0.116259,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Brunei,BRN,57.6399994,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Brunei,BRN,0.0,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Brunei,BRN,5.41,score,2018.0
46,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Brunei,BRN,9.3,percent,2020.0
47,Environment,Electric power consumption ,C8_International travel controls,Brunei,BRN,10291.1640460845,kWh per capita,2014.0
48,Environment,Fossil fuel energy consumption,C8_International travel controls,Brunei,BRN,99.99519,percent of total,2014.0
49,Governance,Human Freedom Score ,C8_International travel controls,Brunei,BRN,6.01,score,2018.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Brunei,BRN,18.25638,metric tons per capita,2016.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Brunei,BRN,0.084184,percent,2019.0
53,Social issues ,"Primary completion rate, total (% of relevant age group)",C8_International travel controls,Brunei,BRN,100.098007202148,proportion,2019.0
54,Demographics,"Age dependency ratio, old (% of working-age population)",C8_International travel controls,Brunei,BRN,7.21695307653443,proportion,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Brunei,BRN,-0.9489539,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Brunei,BRN,9.04399967,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Brunei,BRN,0.6344553,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Brunei,BRN,86590.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Brunei,BRN,0.6142667,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Brunei,BRN,1.172246,score,2019.0
61,Demographics,People using at least basic sanitation services (% of population),C8_International travel controls,Brunei,BRN,96.3490419463857,proportion,2015.0
62,Economics,"Lending interest rates, percent per annum",C8_International travel controls,Brunei,BRN,5.5,percent per annum,2019.0
65,Demographics,Age dependency ratio (% of working-age population),C8_International travel controls,Brunei,BRN,38.55277211069257,proportion,2019.0
66,Environment,Electricity production from oil sources,C8_International travel controls,Brunei,BRN,1.0,percent of total,2015.0
67,Economics,Expenditure on health (% of GDP),C8_International travel controls,Brunei,BRN,2.03761,percent,2019.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Brunei,BRN,0.018331,percent,2019.0
