rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,36.4538,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,36.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,21772.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,44.52386759278385,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,0.000191,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,0.000748,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,133.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,0.030939,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,7.077538688622894,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,19.0712,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,0.001782,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,-0.5250723,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,0.842738,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,21.3004414446793,percent of GNI,2016.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,137.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,11.37254902,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,105000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,56.89,percent,2017.0
21,Social issues ,Net migration,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,-40000.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,-0.482588,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,10.3,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,76.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,28.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,17.8,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,47.2879982,Percentage of total employment,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,1.2,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,64.5280256540323,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,0.2314,Ones,2014.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,89.72267369142226,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,16.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,0.0,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,147.200682207191,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,145.341,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,84.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Cote d'Ivoire (Ivory Coast),CIV,0.021798,percent,2019.0
