rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Congo,COG,8.65,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Congo,COG,19.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Congo,COG,6200.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Congo,COG,6.133249871573465,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Congo,COG,0.000165,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Congo,COG,0.000673,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Congo,COG,100.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Congo,COG,36.56,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Congo,COG,0.035918,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Congo,COG,-496.5979012317964,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Congo,COG,11.69463,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Congo,COG,0.002845,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Congo,COG,-1.409547,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Congo,COG,0.0105553,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Congo,COG,-39.8500005208172,percent of GNI,2016.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Congo,COG,373.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Congo,COG,11.25827815,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Congo,COG,0.0,kWh,2015.0
21,Social issues ,Net migration,C8_International travel controls,Congo,COG,-20000.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Congo,COG,-1.387707,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Congo,COG,9.6,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Congo,COG,73.0,percent,2019.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Congo,COG,18.0,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Congo,COG,44.4780006,Percentage of total employment,2020.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Congo,COG,0.8,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Congo,COG,62.4021190190415,percent of total final energy consumption,2015.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Congo,COG,92.06819972980338,score,2020.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Congo,COG,0.0,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Congo,COG,99.70950003292798,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Congo,COG,95.3405,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Congo,COG,79.0,percent,2019.0
