rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Dominica,DMA,69.6197,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Dominica,DMA,55.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Dominica,DMA,88.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Dominica,DMA,9817.847593582886,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Dominica,DMA,0.000324,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Dominica,DMA,0.003627,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Dominica,DMA,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Dominica,DMA,0.047509,percent,2019.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Dominica,DMA,12.01604,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Dominica,DMA,0.016689,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Dominica,DMA,0.5262952,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Dominica,DMA,16.0754,per 100 people,2019.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Dominica,DMA,16.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Dominica,DMA,34.375,proportion,2020.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Dominica,DMA,-0.2612646,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Dominica,DMA,27.9,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Dominica,DMA,92.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Dominica,DMA,56.0,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Dominica,DMA,4.3,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Dominica,DMA,7.82979664019173,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Dominica,DMA,1.1189,Ones,2017.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Dominica,DMA,37.0,score,2021.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Dominica,DMA,105.788,per 100 people,2019.0
39,Social issues ,Progression to secondary school (%),C8_International travel controls,Dominica,DMA,96.16173,proportion,2014.0
40,Demographics,Urban population (% of total population),C8_International travel controls,Dominica,DMA,70.786,total,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Dominica,DMA,99.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Dominica,DMA,0.134971,percent,2019.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Dominica,DMA,100.0,percent of total,2017.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Dominica,DMA,2.519851,metric tons per capita,2016.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Dominica,DMA,26.588301147,"proportion, pero 100,000 people",2017.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Dominica,DMA,0.119529,percent,2019.0
53,Social issues ,"Primary completion rate, total (% of relevant age group)",C8_International travel controls,Dominica,DMA,113.926696777344,proportion,2016.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Dominica,DMA,0.8967021,score,2019.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Dominica,DMA,0.1019005,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Dominica,DMA,2660.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Dominica,DMA,0.6863382,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Dominica,DMA,1.073779,score,2019.0
61,Demographics,People using at least basic sanitation services (% of population),C8_International travel controls,Dominica,DMA,77.8927614955628,proportion,2015.0
63,Governance,Serious assault (rate),C8_International travel controls,Dominica,DMA,103.31,rate,2018.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Dominica,DMA,0.035738,percent,2019.0
69,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Dominica,DMA,19.49315,micrograms per cubic meter,2017.0
70,Economics,Volume of imports,C8_International travel controls,Dominica,DMA,-7.425,percent change,2020.0
71,Governance,Human Development Index,C8_International travel controls,Dominica,DMA,0.742,index,2019.0
76,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Dominica,DMA,6.4385,Ones,2018.0
77,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C8_International travel controls,Dominica,DMA,4.0,rating,2019.0
78,Governance,Total freedom in the world score ,C8_International travel controls,Dominica,DMA,93.0,score,2021.0
80,Environment,Access to electricity ,C8_International travel controls,Dominica,DMA,100.0,percent of population,2018.0
82,Economics,Volume of exports,C8_International travel controls,Dominica,DMA,15.527,percent change,2020.0
86,Environment,CO2 emissions (kt),C8_International travel controls,Dominica,DMA,179.683,kt,2016.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Dominica,DMA,0.295447,percent,2019.0
90,Demographics,"Population, total",C8_International travel controls,Dominica,DMA,71808.0,total,2019.0
114,Demographics,Rural population (% of total population),C8_International travel controls,Dominica,DMA,29.214,proportion,2019.0
