rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Gibraltar,GIB,94.4445,percent of population,2019.0
3,Demographics,Fixed telephone subscriptions,C8_International travel controls,Gibraltar,GIB,16968.0,number,2019.0
4,Health,Prevalence of COVID-19,C8_International travel controls,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Mortality due to COVID-19,C8_International travel controls,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Environment,Fossil fuel energy consumption,C8_International travel controls,Gibraltar,GIB,99.51282,percent of total,2014.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Gibraltar,GIB,0.0,kWh,2015.0
14,Environment,Electricity production from coal sources ,C8_International travel controls,Gibraltar,GIB,0.0,percent of total,2015.0
17,Demographics,Fixed broadband subscriptions,C8_International travel controls,Gibraltar,GIB,56.2891,per 100 people,2019.0
20,Environment,Electricity production from nuclear sources ,C8_International travel controls,Gibraltar,GIB,0.0,percent of total,2014.0
22,Environment,Electricity production from oil sources,C8_International travel controls,Gibraltar,GIB,100.0,percent of total,2015.0
47,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
50,Environment,CO2 emissions (kt),C8_International travel controls,Gibraltar,GIB,634.391,kt,2016.0
56,Demographics,Mobile cellular subscriptions,C8_International travel controls,Gibraltar,GIB,120.284,per 100 people,2019.0
58,Environment,Electric power consumption ,C8_International travel controls,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
60,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Gibraltar,GIB,100.0,percent of total,2015.0
63,Demographics,Secure Internet servers ,C8_International travel controls,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
71,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
76,Environment,"Energy imports, net ",C8_International travel controls,Gibraltar,GIB,100.0,percent of energy use,2014.0
79,Environment,Access to electricity ,C8_International travel controls,Gibraltar,GIB,100.0,percent of population,2018.0
80,Environment,Combustible renewables and waste,C8_International travel controls,Gibraltar,GIB,0.0,percent of total energy,2014.0
84,Environment,Renewable energy consumption ,C8_International travel controls,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
