rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Greece,GRC,75.6712,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Greece,GRC,50.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Greece,GRC,129584.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Greece,GRC,6650.60269745534,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Greece,GRC,0.000582,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Greece,GRC,0.00283,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Greece,GRC,4044.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Greece,GRC,28.8,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Greece,GRC,0.063919,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Greece,GRC,64.17554663878474,percent of energy use,2015.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Greece,GRC,34.63954,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Greece,GRC,0.035651,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Greece,GRC,-0.0118192,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Greece,GRC,39.3195,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Greece,GRC,-1.72419681743416,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Greece,GRC,4.3,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Greece,GRC,21.66666667,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Greece,GRC,8752000000.0,kWh,2015.0
