rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Guatemala,GTM,65.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Guatemala,GTM,25.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Guatemala,GTM,132062.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Guatemala,GTM,93.89289079648515,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Guatemala,GTM,0.00039,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Guatemala,GTM,0.00059,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Guatemala,GTM,4589.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Guatemala,GTM,35.74,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Guatemala,GTM,0.043836,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Guatemala,GTM,32.84420957721554,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Guatemala,GTM,10.10445,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Guatemala,GTM,0.004098,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Guatemala,GTM,-0.8984204,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Guatemala,GTM,3.13923,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Guatemala,GTM,1.8211143436748,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Guatemala,GTM,26.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Guatemala,GTM,19.375,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Guatemala,GTM,2803000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Guatemala,GTM,29.72,percent,2017.0
21,Social issues ,Net migration,C8_International travel controls,Guatemala,GTM,-46073.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Guatemala,GTM,-0.6768408,score,2019.0
23,Economics,"Central government debt, total",C8_International travel controls,Guatemala,GTM,22.98888606364395,percent of GDP,2016.0
24,Health,Prevalence of obesity,C8_International travel controls,Guatemala,GTM,21.2,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Guatemala,GTM,90.0,percent,2019.0
26,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C8_International travel controls,Guatemala,GTM,6.89062023162842,proportion,2014.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Guatemala,GTM,31.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Guatemala,GTM,42.8,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Guatemala,GTM,50.2929993,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Guatemala,GTM,6.434500217437744,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Guatemala,GTM,2.1,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Guatemala,GTM,63.6509917919234,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Guatemala,GTM,0.3549,Ones,2018.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Guatemala,GTM,79.17634843834767,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Guatemala,GTM,21.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Guatemala,GTM,21.36010128413818,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Guatemala,GTM,108.7742918158182,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Guatemala,GTM,118.728,per 100 people,2019.0
39,Social issues ,Progression to secondary school (%),C8_International travel controls,Guatemala,GTM,90.16632,proportion,2017.0
40,Demographics,Urban population (% of total population),C8_International travel controls,Guatemala,GTM,51.439,total,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Guatemala,GTM,85.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Guatemala,GTM,0.065413,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Guatemala,GTM,39.9239998,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Guatemala,GTM,100.0,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Guatemala,GTM,6.71,score,2018.0
46,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Guatemala,GTM,5.1,percent,2020.0
47,Environment,Electric power consumption ,C8_International travel controls,Guatemala,GTM,601.1897310887871,kWh per capita,2014.0
48,Environment,Fossil fuel energy consumption,C8_International travel controls,Guatemala,GTM,37.3786,percent of total,2014.0
49,Governance,Human Freedom Score ,C8_International travel controls,Guatemala,GTM,7.21,score,2018.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Guatemala,GTM,1.059948,metric tons per capita,2016.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Guatemala,GTM,22.501348718,"proportion, pero 100,000 people",2018.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Guatemala,GTM,0.088983,percent,2019.0
53,Social issues ,"Primary completion rate, total (% of relevant age group)",C8_International travel controls,Guatemala,GTM,79.1303329467773,proportion,2019.0
54,Demographics,"Age dependency ratio, old (% of working-age population)",C8_International travel controls,Guatemala,GTM,8.05236016672826,proportion,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Guatemala,GTM,-0.3134542,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Guatemala,GTM,2.50699997,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Guatemala,GTM,-0.2249926,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Guatemala,GTM,1974010.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Guatemala,GTM,-1.052289,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Guatemala,GTM,-0.5461909,score,2019.0
61,Demographics,People using at least basic sanitation services (% of population),C8_International travel controls,Guatemala,GTM,65.0631350754195,proportion,2017.0
63,Governance,Serious assault (rate),C8_International travel controls,Guatemala,GTM,11.15,rate,2016.0
64,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Guatemala,GTM,48.3,index ,2014.0
65,Demographics,Age dependency ratio (% of working-age population),C8_International travel controls,Guatemala,GTM,63.36750231512365,proportion,2019.0
66,Environment,Electricity production from oil sources,C8_International travel controls,Guatemala,GTM,18.24923132573702,percent of total,2015.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Guatemala,GTM,0.034051,percent,2019.0
69,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Guatemala,GTM,24.07065,micrograms per cubic meter,2017.0
70,Economics,Volume of imports,C8_International travel controls,Guatemala,GTM,4.12,percent change,2020.0
71,Governance,Human Development Index,C8_International travel controls,Guatemala,GTM,0.663,index,2019.0
72,Demographics,Refugee population by country or territory of asylum,C8_International travel controls,Guatemala,GTM,408.0,proportion,2019.0
73,Governance,Economic Freedom Score,C8_International travel controls,Guatemala,GTM,7.7,score,2018.0
74,Environment,Combustible renewables and waste,C8_International travel controls,Guatemala,GTM,44.56583,percent of total energy,2014.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Guatemala,GTM,62.3839989,Percentage of total population,2020.0
76,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Guatemala,GTM,0.0737,Ones,2018.0
78,Governance,Total freedom in the world score ,C8_International travel controls,Guatemala,GTM,52.0,score,2021.0
79,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Guatemala,GTM,0.3,percent,2019.0
80,Environment,Access to electricity ,C8_International travel controls,Guatemala,GTM,94.6954650878906,percent of population,2018.0
81,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Guatemala,GTM,863.5689345496329,kg of oil equivalent per capita,2014.0
82,Economics,Volume of exports,C8_International travel controls,Guatemala,GTM,3.58,percent change,2020.0
83,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),C8_International travel controls,Guatemala,GTM,0.285758194513619,proportion,2014.0
84,Demographics,People with basic handwashing facilities including soap and water (% of population),C8_International travel controls,Guatemala,GTM,76.6655036207724,proportion,2017.0
86,Environment,CO2 emissions (kt),C8_International travel controls,Guatemala,GTM,16776.53,kt,2016.0
87,Social issues ,Proportion of people living below 50 percent of median income (%),C8_International travel controls,Guatemala,GTM,19.6,proportion,2014.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Guatemala,GTM,0.329238,percent,2019.0
90,Demographics,"Population, total",C8_International travel controls,Guatemala,GTM,16604026.0,total,2019.0
91,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Guatemala,GTM,39.6093326098752,percent of total,2015.0
94,Health,Hospital beds (per 10 000 population),C8_International travel controls,Guatemala,GTM,4.4,Ones,2017.0
97,Demographics,People using safely managed drinking water services (% of population),C8_International travel controls,Guatemala,GTM,55.9907816864662,proportion,2017.0
98,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),C8_International travel controls,Guatemala,GTM,11.0,proportion,2015.0
99,Environment,Electricity production from nuclear sources ,C8_International travel controls,Guatemala,GTM,0.0,percent of total,2014.0
101,Social issues ,Coverage of unemployment benefits and ALMP (% of population),C8_International travel controls,Guatemala,GTM,3.04165663720638,proportion,2014.0
111,Social issues ,Coverage of social safety net programs (% of population),C8_International travel controls,Guatemala,GTM,59.1131857536847,proportion,2014.0
