rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Ireland,IRL,84.5223,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Ireland,IRL,72.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Ireland,IRL,78254.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Ireland,IRL,95278.01994720573,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Ireland,IRL,0.000868,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Ireland,IRL,0.00068,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Ireland,IRL,2149.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Ireland,IRL,12.6,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Ireland,IRL,0.076211,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Ireland,IRL,85.66713691559691,percent of energy use,2015.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Ireland,IRL,23.29941,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Ireland,IRL,0.032995,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Ireland,IRL,1.458099,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Ireland,IRL,29.955,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Ireland,IRL,16.0705067617417,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Ireland,IRL,5.8,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Ireland,IRL,22.5,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Ireland,IRL,7051000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Ireland,IRL,36.02,percent,2018.0
21,Social issues ,Net migration,C8_International travel controls,Ireland,IRL,118020.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Ireland,IRL,1.281375,score,2019.0
23,Economics,"Central government debt, total",C8_International travel controls,Ireland,IRL,84.82955346980103,percent of GDP,2016.0
24,Health,Prevalence of obesity,C8_International travel controls,Ireland,IRL,25.3,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Ireland,IRL,91.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Ireland,IRL,58.0,score,2021.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Ireland,IRL,76.9820023,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Ireland,IRL,7.085299968719482,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Ireland,IRL,5.1,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Ireland,IRL,9.08139901337063,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Ireland,IRL,3.3125,Ones,2018.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Ireland,IRL,19.93941688089731,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Ireland,IRL,39.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Ireland,IRL,17.34581301825688,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Ireland,IRL,39.58085987123543,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Ireland,IRL,105.382,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Ireland,IRL,94.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Ireland,IRL,0.071213,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Ireland,IRL,55.7830009,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Ireland,IRL,0.274091678859734,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Ireland,IRL,9.11,score,2018.0
47,Environment,Electric power consumption ,C8_International travel controls,Ireland,IRL,5672.064134107958,kWh per capita,2014.0
48,Environment,Fossil fuel energy consumption,C8_International travel controls,Ireland,IRL,85.34282,percent of total,2015.0
49,Governance,Human Freedom Score ,C8_International travel controls,Ireland,IRL,8.62,score,2018.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Ireland,IRL,7.930341,metric tons per capita,2016.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Ireland,IRL,0.8716054599,"proportion, pero 100,000 people",2018.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Ireland,IRL,0.095874,percent,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Ireland,IRL,1.335065,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Ireland,IRL,5.15799999,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Ireland,IRL,1.60191,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Ireland,IRL,1767480.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Ireland,IRL,1.39423,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Ireland,IRL,0.9733633,score,2019.0
63,Governance,Serious assault (rate),C8_International travel controls,Ireland,IRL,93.51,rate,2018.0
64,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Ireland,IRL,32.8,index ,2016.0
66,Environment,Electricity production from oil sources,C8_International travel controls,Ireland,IRL,1.44845012278017,percent of total,2015.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Ireland,IRL,0.049923,percent,2019.0
69,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Ireland,IRL,8.208577,micrograms per cubic meter,2017.0
70,Economics,Volume of imports,C8_International travel controls,Ireland,IRL,4.64,percent change,2020.0
71,Governance,Human Development Index,C8_International travel controls,Ireland,IRL,0.955,index,2019.0
73,Governance,Economic Freedom Score,C8_International travel controls,Ireland,IRL,8.13,score,2018.0
74,Environment,Combustible renewables and waste,C8_International travel controls,Ireland,IRL,2.234989,percent of total energy,2015.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Ireland,IRL,61.7630005,Percentage of total population,2020.0
76,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Ireland,IRL,16.0996,Ones,2017.0
78,Governance,Total freedom in the world score ,C8_International travel controls,Ireland,IRL,97.0,score,2021.0
79,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Ireland,IRL,0.2,percent,2019.0
80,Environment,Access to electricity ,C8_International travel controls,Ireland,IRL,100.0,percent of population,2018.0
81,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Ireland,IRL,2819.875851693242,kg of oil equivalent per capita,2015.0
82,Economics,Volume of exports,C8_International travel controls,Ireland,IRL,4.4,percent change,2020.0
86,Environment,CO2 emissions (kt),C8_International travel controls,Ireland,IRL,37711.43,kt,2016.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Ireland,IRL,0.116392,percent,2019.0
91,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Ireland,IRL,62.80650556959323,percent of total,2015.0
99,Environment,Electricity production from nuclear sources ,C8_International travel controls,Ireland,IRL,0.0,percent of total,2015.0
