rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Iceland,ISL,99.011,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Iceland,ISL,75.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Iceland,ISL,5604.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Iceland,ISL,70758.594348944,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Iceland,ISL,0.000652,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Iceland,ISL,0.0013,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Iceland,ISL,28.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Iceland,ISL,15.12,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Iceland,ISL,0.056667,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Iceland,ISL,11.55755169241199,percent of energy use,2015.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Iceland,ISL,26.84943,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Iceland,ISL,0.029362,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Iceland,ISL,1.707973,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Iceland,ISL,40.783,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Iceland,ISL,10.9603888578802,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Iceland,ISL,4.4,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Iceland,ISL,38.0952381,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Iceland,ISL,5014000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Iceland,ISL,41.46,percent,2018.0
21,Social issues ,Net migration,C8_International travel controls,Iceland,ISL,1900.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Iceland,ISL,1.518278,score,2019.0
23,Economics,"Central government debt, total",C8_International travel controls,Iceland,ISL,73.52782995610531,percent of GDP,2016.0
24,Health,Prevalence of obesity,C8_International travel controls,Iceland,ISL,21.9,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Iceland,ISL,93.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Iceland,ISL,57.0,score,2021.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Iceland,ISL,80.064003,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Iceland,ISL,7.553899765014648,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Iceland,ISL,7.0,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Iceland,ISL,77.029689205553,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Iceland,ISL,4.0778,Ones,2018.0
