rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Japan,JPN,84.5881,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Japan,JPN,0.222438,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C8_International travel controls,Japan,JPN,63442800.0,number,2019.0
4,Health,Prevalence of COVID-19,C8_International travel controls,Japan,JPN,193031.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Mortality due to COVID-19,C8_International travel controls,Japan,JPN,2828.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Japan,JPN,0.26257409562,"proportion, pero 100,000 people",2018.0
7,Governance,Economic Freedom Score,C8_International travel controls,Japan,JPN,7.88,score,2018.0
8,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Japan,JPN,11.70478,micrograms per cubic meter,2017.0
9,Environment,Fossil fuel energy consumption,C8_International travel controls,Japan,JPN,93.02646,percent of total,2015.0
10,Environment,Energy use ,C8_International travel controls,Japan,JPN,86.42052960804294,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
11,Health,Prevalence of down syndrome,C8_International travel controls,Japan,JPN,0.000365,percent,2019.0
12,Economics,Volume of imports,C8_International travel controls,Japan,JPN,1.678,percent change,2020.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Japan,JPN,80292000000.0,kWh,2015.0
14,Environment,Electricity production from coal sources ,C8_International travel controls,Japan,JPN,33.15273562543347,percent of total,2015.0
15,Social issues ,Net migration,C8_International travel controls,Japan,JPN,357800.0,net total / data are 5 year estimates,2019.0
16,Governance,Voice and accountability estimate,C8_International travel controls,Japan,JPN,0.9595044,score,2019.0
17,Demographics,Fixed broadband subscriptions,C8_International travel controls,Japan,JPN,32.162,per 100 people,2019.0
18,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Japan,JPN,14.93,percent,2018.0
19,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Japan,JPN,2.4,percent,2020.0
20,Environment,Electricity production from nuclear sources ,C8_International travel controls,Japan,JPN,0.9115531660462143,percent of total,2015.0
21,Governance,Corruption Perceptions Index,C8_International travel controls,Japan,JPN,74.0,score,2020.0
22,Environment,Electricity production from oil sources,C8_International travel controls,Japan,JPN,7.519420129705795,percent of total,2015.0
23,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Japan,JPN,56.0,score,2021.0
24,Governance,Rule of law estimate ,C8_International travel controls,Japan,JPN,1.537965,score,2019.0
25,Social issues ,Progression to secondary school (%),C8_International travel controls,Japan,JPN,99.9955,proportion,2016.0
26,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Japan,JPN,1.041225,score,2019.0
27,Governance,Total freedom in the world score ,C8_International travel controls,Japan,JPN,96.0,score,2021.0
28,Health,Prevalence of Diabetes,C8_International travel controls,Japan,JPN,0.076043,percent,2019.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Japan,JPN,76.7615082281987,percent of total,2017.0
30,Governance,Government effectiveness estimate,C8_International travel controls,Japan,JPN,1.586664,score,2019.0
31,Health,Summary exposure value tobacco,C8_International travel controls,Japan,JPN,23.29695,Rate (risk-weighted prevalence),2019.0
