rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Kuwait,KWT,99.5427,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Kuwait,KWT,42.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Kuwait,KWT,147531.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Kuwait,KWT,438.3084431659656,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Kuwait,KWT,0.000279,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Kuwait,KWT,0.003101,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Kuwait,KWT,916.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Kuwait,KWT,34.3,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Kuwait,KWT,0.052155,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Kuwait,KWT,-391.0584858196405,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Kuwait,KWT,29.30509,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Kuwait,KWT,0.00651,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Kuwait,KWT,-0.132789,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Kuwait,KWT,2.01078,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Kuwait,KWT,18.8837257964463,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Kuwait,KWT,22.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Kuwait,KWT,6.349206349,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Kuwait,KWT,0.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Kuwait,KWT,13.61,percent,2016.0
21,Social issues ,Net migration,C8_International travel controls,Kuwait,KWT,197600.0,net total / data are 5 year estimates,2019.0
