rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Laos,LAO,25.5104,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Laos,LAO,29.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Laos,LAO,41.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",C8_International travel controls,Laos,LAO,1319609800.0,US Dollar,2018.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Laos,LAO,31.24365799073988,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Laos,LAO,0.000211,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Laos,LAO,0.001539,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Laos,LAO,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Laos,LAO,64.28,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Laos,LAO,0.046128,percent,2019.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Laos,LAO,30.45427,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Laos,LAO,0.003364,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Laos,LAO,-1.058229,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Laos,LAO,1.06396,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Laos,LAO,-5.96799950783256,percent of GNI,2016.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Laos,LAO,155.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Laos,LAO,27.51677852,proportion,2020.0
21,Social issues ,Net migration,C8_International travel controls,Laos,LAO,-73518.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Laos,LAO,-0.7845454,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Laos,LAO,5.3,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Laos,LAO,69.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Laos,LAO,11.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Laos,LAO,30.2,percent,2020.0
