rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Liechtenstein,LIE,98.1,percent of population,2019.0
3,Demographics,Fixed telephone subscriptions,C8_International travel controls,Liechtenstein,LIE,14032.0,number,2019.0
4,Health,Prevalence of COVID-19,C8_International travel controls,Liechtenstein,LIE,1725.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Mortality due to COVID-19,C8_International travel controls,Liechtenstein,LIE,22.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Liechtenstein,LIE,2.6372698982,"proportion, pero 100,000 people",2018.0
16,Governance,Voice and accountability estimate,C8_International travel controls,Liechtenstein,LIE,1.259364,score,2019.0
17,Demographics,Fixed broadband subscriptions,C8_International travel controls,Liechtenstein,LIE,45.3747,per 100 people,2019.0
23,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Liechtenstein,LIE,57.0,score,2021.0
24,Governance,Rule of law estimate ,C8_International travel controls,Liechtenstein,LIE,1.679333,score,2019.0
26,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Liechtenstein,LIE,1.627746,score,2019.0
27,Governance,Total freedom in the world score ,C8_International travel controls,Liechtenstein,LIE,90.0,score,2021.0
30,Governance,Government effectiveness estimate,C8_International travel controls,Liechtenstein,LIE,1.696766,score,2019.0
34,Governance,Serious assault (rate),C8_International travel controls,Liechtenstein,LIE,208.34,rate,2018.0
36,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Liechtenstein,LIE,33.0,score,2021.0
38,Governance,Human Development Index,C8_International travel controls,Liechtenstein,LIE,0.919,index,2019.0
50,Environment,CO2 emissions (kt),C8_International travel controls,Liechtenstein,LIE,51.338,kt,2016.0
56,Demographics,Mobile cellular subscriptions,C8_International travel controls,Liechtenstein,LIE,127.06,per 100 people,2019.0
63,Demographics,Secure Internet servers ,C8_International travel controls,Liechtenstein,LIE,48028.61727031221,per 1 million people,2019.0
66,Governance,Control of corruption estimate,C8_International travel controls,Liechtenstein,LIE,1.968311,score,2019.0
71,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Liechtenstein,LIE,1.363269,metric tons per capita,2016.0
79,Environment,Access to electricity ,C8_International travel controls,Liechtenstein,LIE,100.0,percent of population,2018.0
83,Social issues ,Press freedom score,C8_International travel controls,Liechtenstein,LIE,19.52,score,2020.0
84,Environment,Renewable energy consumption ,C8_International travel controls,Liechtenstein,LIE,63.1344414422166,percent of total final energy consumption,2015.0
86,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Liechtenstein,LIE,12.0,proportion,2020.0
93,Governance,Regulatory quality estimate,C8_International travel controls,Liechtenstein,LIE,1.540814,score,2019.0
