rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Lithuania,LTU,81.5819,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Lithuania,LTU,60.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Lithuania,LTU,109429.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Lithuania,LTU,31537.10792566789,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Lithuania,LTU,0.000191,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Lithuania,LTU,0.001309,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Lithuania,LTU,1005.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Lithuania,LTU,21.19,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Lithuania,LTU,0.049785,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Lithuania,LTU,75.04470837028974,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Lithuania,LTU,23.1347,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Lithuania,LTU,0.023727,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Lithuania,LTU,0.675986,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Lithuania,LTU,28.6932,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Lithuania,LTU,11.21549477018,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Lithuania,LTU,42.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Lithuania,LTU,24.11347518,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Lithuania,LTU,1329000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Lithuania,LTU,39.24,percent,2018.0
21,Social issues ,Net migration,C8_International travel controls,Lithuania,LTU,-163902.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Lithuania,LTU,1.043381,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Lithuania,LTU,26.3,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Lithuania,LTU,93.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Lithuania,LTU,52.0,score,2021.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Lithuania,LTU,67.4349976,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Lithuania,LTU,6.25540018081665,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Lithuania,LTU,4.3,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Lithuania,LTU,28.9611792543763,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Lithuania,LTU,6.3528,Ones,2018.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Lithuania,LTU,36.47089084336904,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Lithuania,LTU,38.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Lithuania,LTU,0.0,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Lithuania,LTU,79.80675868393732,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Lithuania,LTU,168.821,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Lithuania,LTU,92.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Lithuania,LTU,0.055796,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Lithuania,LTU,56.2350006,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Lithuania,LTU,95.9998593070447,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Lithuania,LTU,8.64,score,2018.0
47,Environment,Electric power consumption ,C8_International travel controls,Lithuania,LTU,3821.145170437398,kWh per capita,2014.0
48,Environment,Fossil fuel energy consumption,C8_International travel controls,Lithuania,LTU,67.99375,percent of total,2014.0
49,Governance,Human Freedom Score ,C8_International travel controls,Lithuania,LTU,8.37,score,2018.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Lithuania,LTU,4.519456,metric tons per capita,2016.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Lithuania,LTU,4.5693560421,"proportion, pero 100,000 people",2018.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Lithuania,LTU,0.151423,percent,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Lithuania,LTU,1.024853,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Lithuania,LTU,6.26100016,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Lithuania,LTU,1.157364,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Lithuania,LTU,368213.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Lithuania,LTU,1.022871,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Lithuania,LTU,0.842194,score,2019.0
63,Governance,Serious assault (rate),C8_International travel controls,Lithuania,LTU,6.6,rate,2018.0
64,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Lithuania,LTU,37.3,index ,2017.0
66,Environment,Electricity production from oil sources,C8_International travel controls,Lithuania,LTU,6.458431188351339,percent of total,2015.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Lithuania,LTU,0.05422,percent,2019.0
69,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Lithuania,LTU,11.85328,micrograms per cubic meter,2017.0
70,Economics,Volume of imports,C8_International travel controls,Lithuania,LTU,5.428,percent change,2020.0
71,Governance,Human Development Index,C8_International travel controls,Lithuania,LTU,0.882,index,2019.0
73,Governance,Economic Freedom Score,C8_International travel controls,Lithuania,LTU,8.1,score,2018.0
74,Environment,Combustible renewables and waste,C8_International travel controls,Lithuania,LTU,14.99963,percent of total energy,2014.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Lithuania,LTU,61.3779984,Percentage of total population,2020.0
76,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Lithuania,LTU,9.8472,Ones,2018.0
78,Governance,Total freedom in the world score ,C8_International travel controls,Lithuania,LTU,90.0,score,2021.0
79,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Lithuania,LTU,0.2,percent,2019.0
80,Environment,Access to electricity ,C8_International travel controls,Lithuania,LTU,100.0,percent of population,2018.0
81,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Lithuania,LTU,2387.275194407794,kg of oil equivalent per capita,2014.0
82,Economics,Volume of exports,C8_International travel controls,Lithuania,LTU,4.491,percent change,2020.0
86,Environment,CO2 emissions (kt),C8_International travel controls,Lithuania,LTU,12962.85,kt,2016.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Lithuania,LTU,0.2189,percent,2019.0
91,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Lithuania,LTU,52.9356505401597,percent of total,2015.0
99,Environment,Electricity production from nuclear sources ,C8_International travel controls,Lithuania,LTU,0.0,percent of total,2014.0
