rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Latvia,LVA,86.1355,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Latvia,LVA,57.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Latvia,LVA,29427.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Latvia,LVA,19868.37021752007,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Latvia,LVA,0.000188,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Latvia,LVA,0.001599,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Latvia,LVA,409.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Latvia,LVA,18.56,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Latvia,LVA,0.043602,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Latvia,LVA,45.16008774809908,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Latvia,LVA,26.12643,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Latvia,LVA,0.024702,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Latvia,LVA,0.4849398,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Latvia,LVA,26.6892,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Latvia,LVA,4.68337356926135,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Latvia,LVA,26.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Latvia,LVA,30.0,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Latvia,LVA,916000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Latvia,LVA,44.87,percent,2018.0
21,Social issues ,Net migration,C8_International travel controls,Latvia,LVA,-74186.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Latvia,LVA,1.105028,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Latvia,LVA,23.6,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Latvia,LVA,99.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Latvia,LVA,52.0,score,2021.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Latvia,LVA,69.7659988,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Latvia,LVA,6.0320000648498535,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Latvia,LVA,3.7,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Latvia,LVA,38.0980171666829,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Latvia,LVA,3.1905,Ones,2017.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Latvia,LVA,42.31122746144478,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Latvia,LVA,37.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Latvia,LVA,0.0,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Latvia,LVA,85.70529646438861,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Latvia,LVA,108.657,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Latvia,LVA,99.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Latvia,LVA,0.071487,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Latvia,LVA,55.3370018,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Latvia,LVA,89.0140461977576,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Latvia,LVA,8.78,score,2018.0
47,Environment,Electric power consumption ,C8_International travel controls,Latvia,LVA,3507.404520654716,kWh per capita,2014.0
48,Environment,Fossil fuel energy consumption,C8_International travel controls,Latvia,LVA,56.71743,percent of total,2014.0
49,Governance,Human Freedom Score ,C8_International travel controls,Latvia,LVA,8.34,score,2018.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Latvia,LVA,3.574298,metric tons per capita,2016.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Latvia,LVA,4.3558049657,"proportion, pero 100,000 people",2018.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Latvia,LVA,0.160106,percent,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Latvia,LVA,0.8849515,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Latvia,LVA,6.53299999,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Latvia,LVA,1.192686,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Latvia,LVA,227616.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Latvia,LVA,1.013924,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Latvia,LVA,0.4488481,score,2019.0
63,Governance,Serious assault (rate),C8_International travel controls,Latvia,LVA,33.5,rate,2018.0
64,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Latvia,LVA,35.6,index ,2017.0
66,Environment,Electricity production from oil sources,C8_International travel controls,Latvia,LVA,0.0180733779143322,percent of total,2015.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Latvia,LVA,0.051567,percent,2019.0
69,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Latvia,LVA,13.42646,micrograms per cubic meter,2017.0
70,Economics,Volume of imports,C8_International travel controls,Latvia,LVA,3.1,percent change,2020.0
71,Governance,Human Development Index,C8_International travel controls,Latvia,LVA,0.866,index,2019.0
73,Governance,Economic Freedom Score,C8_International travel controls,Latvia,LVA,7.89,score,2018.0
74,Environment,Combustible renewables and waste,C8_International travel controls,Latvia,LVA,28.1941,percent of total energy,2014.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Latvia,LVA,60.9690018,Percentage of total population,2020.0
76,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Latvia,LVA,4.7517,Ones,2017.0
78,Governance,Total freedom in the world score ,C8_International travel controls,Latvia,LVA,89.0,score,2021.0
79,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Latvia,LVA,0.5,percent,2019.0
80,Environment,Access to electricity ,C8_International travel controls,Latvia,LVA,100.0,percent of population,2018.0
81,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Latvia,LVA,2176.84330583785,kg of oil equivalent per capita,2014.0
82,Economics,Volume of exports,C8_International travel controls,Latvia,LVA,1.8,percent change,2020.0
86,Environment,CO2 emissions (kt),C8_International travel controls,Latvia,LVA,7003.97,kt,2016.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Latvia,LVA,0.213861,percent,2019.0
91,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Latvia,LVA,49.82830290981384,percent of total,2015.0
99,Environment,Electricity production from nuclear sources ,C8_International travel controls,Latvia,LVA,0.0,percent of total,2014.0
