rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Maldives,MDV,63.1857,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Maldives,MDV,43.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Maldives,MDV,13444.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Foreign direct investment, net",C8_International travel controls,Maldives,MDV,538536560.0,US Dollar,2018.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Maldives,MDV,725.1112622021158,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Maldives,MDV,0.000146,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Maldives,MDV,0.000875,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Maldives,MDV,48.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Maldives,MDV,29.93,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Maldives,MDV,0.038578,percent,2019.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Maldives,MDV,29.62951,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Maldives,MDV,0.003962,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Maldives,MDV,-0.2625074,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Maldives,MDV,9.94401,per 100 people,2019.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Maldives,MDV,36.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Maldives,MDV,4.597701149,proportion,2020.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Maldives,MDV,19.58,percent,2016.0
21,Social issues ,Net migration,C8_International travel controls,Maldives,MDV,56851.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Maldives,MDV,-0.1942183,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Maldives,MDV,8.6,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Maldives,MDV,99.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Maldives,MDV,21.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Maldives,MDV,14.2,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Maldives,MDV,73.427002,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Maldives,MDV,5.1975998878479,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Maldives,MDV,6.6,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Maldives,MDV,1.00959469325713,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Maldives,MDV,4.5627,Ones,2018.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Maldives,MDV,66.2,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Maldives,MDV,19.0,score,2021.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Maldives,MDV,155.954,per 100 people,2019.0
39,Social issues ,Progression to secondary school (%),C8_International travel controls,Maldives,MDV,98.8576,proportion,2016.0
40,Demographics,Urban population (% of total population),C8_International travel controls,Maldives,MDV,40.238,total,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Maldives,MDV,99.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Maldives,MDV,0.038401,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Maldives,MDV,41.6489983,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Maldives,MDV,0.0,percent of total,2017.0
46,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Maldives,MDV,4.6,percent,2020.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Maldives,MDV,3.038399,metric tons per capita,2016.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Maldives,MDV,0.102554,percent,2019.0
53,Social issues ,"Primary completion rate, total (% of relevant age group)",C8_International travel controls,Maldives,MDV,91.6666717529297,proportion,2019.0
54,Demographics,"Age dependency ratio, old (% of working-age population)",C8_International travel controls,Maldives,MDV,4.762632110566382,proportion,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Maldives,MDV,-0.4419447,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Maldives,MDV,6.43400002,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Maldives,MDV,-0.4796147,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Maldives,MDV,16664.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Maldives,MDV,-0.4110879,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Maldives,MDV,0.013525,score,2019.0
61,Demographics,People using at least basic sanitation services (% of population),C8_International travel controls,Maldives,MDV,99.3729980716322,proportion,2017.0
62,Economics,"Lending interest rates, percent per annum",C8_International travel controls,Maldives,MDV,11.52286,percent per annum,2019.0
63,Governance,Serious assault (rate),C8_International travel controls,Maldives,MDV,71.31,rate,2017.0
64,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Maldives,MDV,31.3,index ,2016.0
