rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Mexico,MEX,70.0699,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Mexico,MEX,31.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Mexico,MEX,1289298.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Mexico,MEX,271.4862346367382,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Mexico,MEX,0.000244,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Mexico,MEX,0.001286,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Mexico,MEX,116487.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Mexico,MEX,45.45,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Mexico,MEX,0.038495,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Mexico,MEX,-4.666485312736533,percent of energy use,2015.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Mexico,MEX,10.96058,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Mexico,MEX,0.007573,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Mexico,MEX,-0.8210801,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Mexico,MEX,15.029,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Mexico,MEX,6.60424393321858,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Mexico,MEX,23.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Mexico,MEX,48.2,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Mexico,MEX,17082000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Mexico,MEX,36.1,percent,2018.0
21,Social issues ,Net migration,C8_International travel controls,Mexico,MEX,-300000.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Mexico,MEX,-0.1570084,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Mexico,MEX,28.9,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Mexico,MEX,73.0,percent,2019.0
26,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C8_International travel controls,Mexico,MEX,16.0160598754883,proportion,2018.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Mexico,MEX,34.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Mexico,MEX,12.1,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Mexico,MEX,61.3730011,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Mexico,MEX,6.316800117492676,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Mexico,MEX,2.7,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Mexico,MEX,9.2152134550018,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Mexico,MEX,2.3827,Ones,2017.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Mexico,MEX,67.19999999999999,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Mexico,MEX,27.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Mexico,MEX,10.86591801708567,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Mexico,MEX,79.39796414945245,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Mexico,MEX,95.1333,per 100 people,2019.0
39,Social issues ,Progression to secondary school (%),C8_International travel controls,Mexico,MEX,96.57231,proportion,2016.0
40,Demographics,Urban population (% of total population),C8_International travel controls,Mexico,MEX,80.444,total,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Mexico,MEX,82.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Mexico,MEX,0.102718,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Mexico,MEX,44.2540016,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Mexico,MEX,99.6561265475774,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Mexico,MEX,6.49,score,2018.0
