rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Mozambique,MOZ,10.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Mozambique,MOZ,25.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Mozambique,MOZ,17256.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Mozambique,MOZ,20.51634266652388,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Mozambique,MOZ,0.000171,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Mozambique,MOZ,0.000836,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Mozambique,MOZ,145.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Mozambique,MOZ,33.79,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Mozambique,MOZ,0.034565,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Mozambique,MOZ,-54.60162753943163,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Mozambique,MOZ,13.39622,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Mozambique,MOZ,0.002234,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Mozambique,MOZ,-0.8010145,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Mozambique,MOZ,0.237252,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Mozambique,MOZ,5.06439305545903,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Mozambique,MOZ,361.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Mozambique,MOZ,42.4,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Mozambique,MOZ,0.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Mozambique,MOZ,24.33,percent,2015.0
21,Social issues ,Net migration,C8_International travel controls,Mozambique,MOZ,-25000.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Mozambique,MOZ,-0.8232896,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Mozambique,MOZ,7.2,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Mozambique,MOZ,87.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Mozambique,MOZ,29.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Mozambique,MOZ,37.8,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Mozambique,MOZ,21.4939995,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Mozambique,MOZ,4.79449987411499,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Mozambique,MOZ,1.7,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Mozambique,MOZ,86.4005089176123,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Mozambique,MOZ,0.0838,Ones,2018.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Mozambique,MOZ,91.69371296150742,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Mozambique,MOZ,14.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Mozambique,MOZ,0.0,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Mozambique,MOZ,363.7078102110269,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
