rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,South Sudan,SSD,7.97743,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,South Sudan,SSD,12.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,South Sudan,SSD,3228.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,South Sudan,SSD,3.435148420559436,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,South Sudan,SSD,0.00013,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,South Sudan,SSD,0.001066,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,South Sudan,SSD,62.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,South Sudan,SSD,44.49,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,South Sudan,SSD,0.043573,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,South Sudan,SSD,-1058.120023078066,percent of energy use,2014.0
12,Health,Summary exposure value tobacco,C8_International travel controls,South Sudan,SSD,12.08813,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,South Sudan,SSD,0.001771,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,South Sudan,SSD,-1.773724,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,South Sudan,SSD,0.00234149,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,South Sudan,SSD,-9.21970306354578,percent of GNI,2015.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,South Sudan,SSD,227.0,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,South Sudan,SSD,28.45953003,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,South Sudan,SSD,2000000.0,kWh,2015.0
21,Social issues ,Net migration,C8_International travel controls,South Sudan,SSD,-870998.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,South Sudan,SSD,-2.451555,score,2019.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,South Sudan,SSD,49.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,South Sudan,SSD,4.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,South Sudan,SSD,30.6,percent,2020.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,South Sudan,SSD,29.7259998,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,South Sudan,SSD,2.816622495651245,score,2017.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,South Sudan,SSD,0.7,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,South Sudan,SSD,39.0743843216671,percent of total final energy consumption,2015.0
34,Governance,Fragile States Index Total ,C8_International travel controls,South Sudan,SSD,110.75219038198196,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,South Sudan,SSD,-2.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,South Sudan,SSD,0.0,percent of total,2015.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,South Sudan,SSD,33.463,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,South Sudan,SSD,49.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,South Sudan,SSD,0.017843,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,South Sudan,SSD,71.0319977,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,South Sudan,SSD,100.0,percent of total,2017.0
46,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,South Sudan,SSD,5.7,percent,2020.0
47,Environment,Electric power consumption ,C8_International travel controls,South Sudan,SSD,43.58172421238587,kWh per capita,2014.0
48,Environment,Fossil fuel energy consumption,C8_International travel controls,South Sudan,SSD,72.22263,percent of total,2014.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,South Sudan,SSD,0.159442,metric tons per capita,2016.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,South Sudan,SSD,0.033404,percent,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,South Sudan,SSD,-1.974809,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,South Sudan,SSD,12.257,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,South Sudan,SSD,-2.048965,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,South Sudan,SSD,0.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,South Sudan,SSD,-1.969724,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,South Sudan,SSD,-2.558902,score,2019.0
66,Environment,Electricity production from oil sources,C8_International travel controls,South Sudan,SSD,99.39393939393939,percent of total,2015.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,South Sudan,SSD,0.034832,percent,2019.0
69,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,South Sudan,SSD,45.57751,micrograms per cubic meter,2017.0
71,Governance,Human Development Index,C8_International travel controls,South Sudan,SSD,0.433,index,2019.0
74,Environment,Combustible renewables and waste,C8_International travel controls,South Sudan,SSD,23.12748,percent of total energy,2014.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,South Sudan,SSD,72.3899994,Percentage of total population,2020.0
77,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C8_International travel controls,South Sudan,SSD,1.5,rating,2019.0
78,Governance,Total freedom in the world score ,C8_International travel controls,South Sudan,SSD,2.0,score,2021.0
79,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,South Sudan,SSD,2.5,percent,2019.0
80,Environment,Access to electricity ,C8_International travel controls,South Sudan,SSD,28.2018566131592,percent of population,2018.0
81,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,South Sudan,SSD,66.34199545366822,kg of oil equivalent per capita,2014.0
86,Environment,CO2 emissions (kt),C8_International travel controls,South Sudan,SSD,1727.157,kt,2016.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,South Sudan,SSD,0.281022,percent,2019.0
91,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,South Sudan,SSD,99.39393939393939,percent of total,2015.0
99,Environment,Electricity production from nuclear sources ,C8_International travel controls,South Sudan,SSD,0.0,percent of total,2014.0
