rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Suriname,SUR,48.9452,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Suriname,SUR,0.299624,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C8_International travel controls,Suriname,SUR,92756.0,number,2019.0
4,Health,Prevalence of COVID-19,C8_International travel controls,Suriname,SUR,5428.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Mortality due to COVID-19,C8_International travel controls,Suriname,SUR,117.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Suriname,SUR,5.433820449,"proportion, pero 100,000 people",2017.0
7,Governance,Economic Freedom Score,C8_International travel controls,Suriname,SUR,6.37,score,2018.0
8,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Suriname,SUR,24.78001,micrograms per cubic meter,2017.0
9,Environment,Fossil fuel energy consumption,C8_International travel controls,Suriname,SUR,76.2535,percent of total,2014.0
10,Environment,Energy use ,C8_International travel controls,Suriname,SUR,68.58189155665983,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
11,Health,Prevalence of down syndrome,C8_International travel controls,Suriname,SUR,0.000312,percent,2019.0
12,Economics,Volume of imports,C8_International travel controls,Suriname,SUR,3.288,percent change,2020.0
13,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Suriname,SUR,0.0,kWh,2015.0
14,Environment,Electricity production from coal sources ,C8_International travel controls,Suriname,SUR,0.0,percent of total,2015.0
15,Social issues ,Net migration,C8_International travel controls,Suriname,SUR,-4999.0,net total / data are 5 year estimates,2019.0
16,Governance,Voice and accountability estimate,C8_International travel controls,Suriname,SUR,0.3897825,score,2019.0
17,Demographics,Fixed broadband subscriptions,C8_International travel controls,Suriname,SUR,13.8156,per 100 people,2019.0
18,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Suriname,SUR,37.27,percent,2015.0
19,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Suriname,SUR,4.0,percent,2020.0
20,Environment,Electricity production from nuclear sources ,C8_International travel controls,Suriname,SUR,0.0,percent of total,2014.0
21,Governance,Corruption Perceptions Index,C8_International travel controls,Suriname,SUR,38.0,score,2020.0
22,Environment,Electricity production from oil sources,C8_International travel controls,Suriname,SUR,39.94685562444641,percent of total,2015.0
23,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Suriname,SUR,45.0,score,2021.0
24,Governance,Rule of law estimate ,C8_International travel controls,Suriname,SUR,-0.0596512,score,2019.0
25,Social issues ,Progression to secondary school (%),C8_International travel controls,Suriname,SUR,66.37433,proportion,2017.0
26,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Suriname,SUR,0.1134033,score,2019.0
27,Governance,Total freedom in the world score ,C8_International travel controls,Suriname,SUR,79.0,score,2021.0
28,Health,Prevalence of Diabetes,C8_International travel controls,Suriname,SUR,0.117576,percent,2019.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Suriname,SUR,100.0,percent of total,2017.0
30,Governance,Government effectiveness estimate,C8_International travel controls,Suriname,SUR,-0.5900614,score,2019.0
31,Health,Summary exposure value tobacco,C8_International travel controls,Suriname,SUR,23.97458,Rate (risk-weighted prevalence),2019.0
33,Health,Prevalence of obesity,C8_International travel controls,Suriname,SUR,8.6,percent,2016.0
34,Governance,Serious assault (rate),C8_International travel controls,Suriname,SUR,63.1,rate,2017.0
35,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Suriname,SUR,2.7569,Ones,2018.0
36,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Suriname,SUR,34.0,score,2021.0
37,Governance,Personal Freedom Score ,C8_International travel controls,Suriname,SUR,8.24,score,2018.0
38,Governance,Human Development Index,C8_International travel controls,Suriname,SUR,0.738,index,2019.0
39,Health,"Physicians (per 1,000 people)",C8_International travel controls,Suriname,SUR,1.2101,Ones,2018.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Suriname,SUR,77.0,percent,2019.0
41,Health,Prevalence of anxiety disorders,C8_International travel controls,Suriname,SUR,0.044546,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Suriname,SUR,38.8069992,Percentage of females of the total population,2020.0
44,Demographics,People with basic handwashing facilities including soap and water (% of population),C8_International travel controls,Suriname,SUR,67.7789706544644,proportion,2014.0
45,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Suriname,SUR,5.3,percent,2018.0
46,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C8_International travel controls,Suriname,SUR,8.0,percent,2020.0
47,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Suriname,SUR,1247.311478135765,kg of oil equivalent per capita,2014.0
48,Health,Prevalence of Depressive disorders,C8_International travel controls,Suriname,SUR,0.050958,percent,2019.0
50,Environment,CO2 emissions (kt),C8_International travel controls,Suriname,SUR,1738.158,kt,2016.0
52,Demographics,Rural population (% of total population),C8_International travel controls,Suriname,SUR,33.905,proportion,2019.0
53,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),C8_International travel controls,Suriname,SUR,4.87027931213379,proportion,2016.0
55,Health,"Prevalence of HIV, total (% of population ages 15-49)",C8_International travel controls,Suriname,SUR,1.3,percent,2019.0
56,Demographics,Mobile cellular subscriptions,C8_International travel controls,Suriname,SUR,139.987,per 100 people,2019.0
57,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Suriname,SUR,51.0130005,Percentage of total population,2020.0
58,Environment,Electric power consumption ,C8_International travel controls,Suriname,SUR,3596.745216690344,kWh per capita,2014.0
59,Economics,Volume of exports,C8_International travel controls,Suriname,SUR,2.296,percent change,2020.0
60,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Suriname,SUR,39.94685562444641,percent of total,2015.0
61,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Suriname,SUR,69.0680008,Percentage of total employment,2020.0
62,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C8_International travel controls,Suriname,SUR,94.3832702636719,proportion,2018.0
63,Demographics,Secure Internet servers ,C8_International travel controls,Suriname,SUR,526.3492860742772,per 1 million people,2019.0
64,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Suriname,SUR,7.47200012,percent of total labor force,2020.0
65,Health,Prevalence of total cancers,C8_International travel controls,Suriname,SUR,0.007681,percent,2019.0
66,Governance,Control of corruption estimate,C8_International travel controls,Suriname,SUR,-0.3932373,score,2019.0
67,Demographics,Refugee population by country or territory of asylum,C8_International travel controls,Suriname,SUR,44.0,proportion,2019.0
68,Demographics,Age dependency ratio (% of working-age population),C8_International travel controls,Suriname,SUR,51.34774187501952,proportion,2019.0
70,Demographics,People using at least basic sanitation services (% of population),C8_International travel controls,Suriname,SUR,84.4575831711356,proportion,2017.0
71,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Suriname,SUR,3.077023,metric tons per capita,2016.0
73,Demographics,"Age dependency ratio, old (% of working-age population)",C8_International travel controls,Suriname,SUR,10.61714446376691,proportion,2019.0
75,Health,Hospital beds (per 10 000 population),C8_International travel controls,Suriname,SUR,30.0,Ones,2017.0
76,Environment,"Energy imports, net ",C8_International travel controls,Suriname,SUR,-43.75983538856124,percent of energy use,2014.0
