rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Slovakia,SVK,82.8537,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Slovakia,SVK,49.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Slovakia,SVK,149275.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Slovakia,SVK,20091.59026657692,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Slovakia,SVK,0.000134,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Slovakia,SVK,0.003006,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Slovakia,SVK,1510.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Slovakia,SVK,22.67,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Slovakia,SVK,0.040329,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Slovakia,SVK,60.65114478134527,percent of energy use,2015.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Slovakia,SVK,24.03725,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Slovakia,SVK,0.027023,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Slovakia,SVK,0.3272027,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Slovakia,SVK,29.0469,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Slovakia,SVK,4.28403859669084,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Slovakia,SVK,4.5,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Slovakia,SVK,20.0,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Slovakia,SVK,2174000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Slovakia,SVK,32.1,percent,2018.0
21,Social issues ,Net migration,C8_International travel controls,Slovakia,SVK,7423.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Slovakia,SVK,0.6739017,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Slovakia,SVK,20.5,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Slovakia,SVK,96.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Slovakia,SVK,53.0,score,2021.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Slovakia,SVK,61.8339996,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Slovakia,SVK,6.330900192260742,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Slovakia,SVK,5.3,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Slovakia,SVK,13.4091682209694,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Slovakia,SVK,3.4156,Ones,2017.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Slovakia,SVK,38.22181460375541,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Slovakia,SVK,37.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Slovakia,SVK,12.51126464403725,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Slovakia,SVK,101.9724004594745,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Slovakia,SVK,135.597,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Slovakia,SVK,97.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Slovakia,SVK,0.078589,percent,2019.0
43,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Slovakia,SVK,51.9609985,Percentage of females of the total population,2020.0
44,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C8_International travel controls,Slovakia,SVK,100.0,percent of total,2017.0
45,Governance,Personal Freedom Score ,C8_International travel controls,Slovakia,SVK,8.26,score,2018.0
47,Environment,Electric power consumption ,C8_International travel controls,Slovakia,SVK,5137.073835193975,kWh per capita,2014.0
48,Environment,Fossil fuel energy consumption,C8_International travel controls,Slovakia,SVK,64.0915,percent of total,2015.0
49,Governance,Human Freedom Score ,C8_International travel controls,Slovakia,SVK,7.95,score,2018.0
50,Environment,CO2 emissions (metric tons per capita),C8_International travel controls,Slovakia,SVK,5.970322,metric tons per capita,2016.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C8_International travel controls,Slovakia,SVK,1.1369852689,"proportion, pero 100,000 people",2018.0
52,Health,Prevalence of chronic kidney disease,C8_International travel controls,Slovakia,SVK,0.119371,percent,2019.0
55,Governance,Voice and accountability estimate,C8_International travel controls,Slovakia,SVK,0.9109987,score,2019.0
56,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Slovakia,SVK,5.10400009,percent of total labor force,2020.0
57,Governance,Regulatory quality estimate,C8_International travel controls,Slovakia,SVK,1.00678,score,2019.0
58,Demographics,Fixed telephone subscriptions,C8_International travel controls,Slovakia,SVK,675297.0,number,2019.0
59,Governance,Rule of law estimate ,C8_International travel controls,Slovakia,SVK,0.5567357,score,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C8_International travel controls,Slovakia,SVK,0.7827882,score,2019.0
63,Governance,Serious assault (rate),C8_International travel controls,Slovakia,SVK,29.29,rate,2018.0
64,Social issues ,Gini index (World Bank estimate),C8_International travel controls,Slovakia,SVK,25.2,index ,2016.0
66,Environment,Electricity production from oil sources,C8_International travel controls,Slovakia,SVK,1.441874436767798,percent of total,2015.0
68,Health,Prevalence of Depressive disorders,C8_International travel controls,Slovakia,SVK,0.035631,percent,2019.0
69,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Slovakia,SVK,17.56291,micrograms per cubic meter,2017.0
70,Economics,Volume of imports,C8_International travel controls,Slovakia,SVK,5.189,percent change,2020.0
71,Governance,Human Development Index,C8_International travel controls,Slovakia,SVK,0.86,index,2019.0
73,Governance,Economic Freedom Score,C8_International travel controls,Slovakia,SVK,7.63,score,2018.0
74,Environment,Combustible renewables and waste,C8_International travel controls,Slovakia,SVK,4.673051,percent of total energy,2015.0
75,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Slovakia,SVK,59.2519989,Percentage of total population,2020.0
76,Health,"Nurses and midwives (per 1,000 people)",C8_International travel controls,Slovakia,SVK,6.0671,Ones,2016.0
78,Governance,Total freedom in the world score ,C8_International travel controls,Slovakia,SVK,90.0,score,2021.0
80,Environment,Access to electricity ,C8_International travel controls,Slovakia,SVK,100.0,percent of population,2018.0
81,Environment,Energy use (kg of oil equivalent per capita),C8_International travel controls,Slovakia,SVK,3003.664219981522,kg of oil equivalent per capita,2015.0
82,Economics,Volume of exports,C8_International travel controls,Slovakia,SVK,5.6,percent change,2020.0
86,Environment,CO2 emissions (kt),C8_International travel controls,Slovakia,SVK,32423.61,kt,2016.0
89,Health,Prevalence of Respiratory infections and tuberculosis,C8_International travel controls,Slovakia,SVK,0.195474,percent,2019.0
91,Environment,"Electricity production from oil, gas and coal sources",C8_International travel controls,Slovakia,SVK,19.9759687593872,percent of total,2015.0
99,Environment,Electricity production from nuclear sources ,C8_International travel controls,Slovakia,SVK,56.87143286272154,percent of total,2015.0
