rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Slovenia,SVN,83.1084,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C8_International travel controls,Slovenia,SVN,60.0,score,2020.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Slovenia,SVN,103555.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,C8_International travel controls,Slovenia,SVN,42538.93539392303,per 1 million people,2019.0
6,Health,Prevalence of down syndrome,C8_International travel controls,Slovenia,SVN,0.000126,percent,2019.0
7,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Slovenia,SVN,0.004626,percent,2019.0
8,Health,Mortality due to COVID-19,C8_International travel controls,Slovenia,SVN,2297.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Social issues ,Press freedom score,C8_International travel controls,Slovenia,SVN,22.64,score,2020.0
10,Health,Prevalence of anxiety disorders,C8_International travel controls,Slovenia,SVN,0.040104,percent,2019.0
11,Environment,"Energy imports, net ",C8_International travel controls,Slovenia,SVN,48.54314649219532,percent of energy use,2015.0
12,Health,Summary exposure value tobacco,C8_International travel controls,Slovenia,SVN,28.80806,Rate (risk-weighted prevalence),2019.0
13,Health,Prevalence of total cancers,C8_International travel controls,Slovenia,SVN,0.031252,percent,2019.0
14,Governance,Control of corruption estimate,C8_International travel controls,Slovenia,SVN,0.9058987,score,2019.0
15,Demographics,Fixed broadband subscriptions,C8_International travel controls,Slovenia,SVN,30.2088,per 100 people,2019.0
16,Environment,"Adjusted net savings, including particulate emission damage",C8_International travel controls,Slovenia,SVN,11.8489361847787,percent of GNI,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C8_International travel controls,Slovenia,SVN,5.4,Cases,2019.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C8_International travel controls,Slovenia,SVN,27.77777778,proportion,2020.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C8_International travel controls,Slovenia,SVN,547000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C8_International travel controls,Slovenia,SVN,38.55,percent,2018.0
21,Social issues ,Net migration,C8_International travel controls,Slovenia,SVN,9999.0,net total / data are 5 year estimates,2019.0
22,Governance,Government effectiveness estimate,C8_International travel controls,Slovenia,SVN,1.081404,score,2019.0
24,Health,Prevalence of obesity,C8_International travel controls,Slovenia,SVN,20.2,percent,2016.0
25,Health,"Immunization, measles (% of children ages 12-23 months)",C8_International travel controls,Slovenia,SVN,94.0,percent,2019.0
27,Governance,Aggregate score for the Civil Liberties category,C8_International travel controls,Slovenia,SVN,56.0,score,2021.0
29,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Slovenia,SVN,61.4780006,Percentage of total employment,2020.0
30,Social issues ,Life Ladder ,C8_International travel controls,Slovenia,SVN,6.460700035095215,score,2021.0
31,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Slovenia,SVN,6.0,percent,2018.0
32,Environment,Renewable energy consumption ,C8_International travel controls,Slovenia,SVN,20.8773961432658,percent of total final energy consumption,2015.0
33,Health,"Physicians (per 1,000 people)",C8_International travel controls,Slovenia,SVN,3.0861,Ones,2017.0
34,Governance,Fragile States Index Total ,C8_International travel controls,Slovenia,SVN,25.84648022438141,score,2020.0
35,Governance,Aggregate score for the Political Rights category,C8_International travel controls,Slovenia,SVN,39.0,score,2021.0
36,Environment,Electricity production from coal sources ,C8_International travel controls,Slovenia,SVN,29.59438482823784,percent of total,2015.0
37,Environment,Energy use ,C8_International travel controls,Slovenia,SVN,93.4972837961122,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
38,Demographics,Mobile cellular subscriptions,C8_International travel controls,Slovenia,SVN,120.846,per 100 people,2019.0
41,Health,"Immunization, DPT (% of children ages 12-23 months)",C8_International travel controls,Slovenia,SVN,95.0,percent,2019.0
42,Health,Prevalence of Diabetes,C8_International travel controls,Slovenia,SVN,0.089385,percent,2019.0
